Nombre;Concejo;Zona;Plazas;Precio;EstanciaMaxima;Tipo;Acceso;FechaDeCierre;Servicios;Dirección;Teléfono;Email;Título;Descripcion;Coordenadas;Slide;Título;Url;Observacion;MasInformacion
Área autocaravanas Valgrande-Pajares;Lena;Centro de Asturias;12;Gratuita;48 h.;Pública;Tanto desde León, como desde Asturias, se llega por la N-630. Una vez arriba en el puerto de Pajares, a la altura del km. 87,300, tomar la salida hacia El Brañillín y la estación de esquí de Valgrande.;;Carga agua potable Vaciado aguas negras Aparcamiento;Brañillín. 33693. Pajares;;;;;42.97889,-5.77194;/documents/39908/62223/valle-de-valgrande.jpg/54a4346b-6676-8754-ed04-c2dc9b120f21?t=1674187969087,/documents/39908/62223/estacion-esqui.jpg/06d446d4-5327-eba8-c55e-858d0cb85c88?t=1674187967221,/documents/39908/62223/pueblo-de-pajares.jpg/bfe99ca5-5103-b6fe-3acd-623086ac7408?t=1674187968472,/documents/39908/62223/pajares.jpg/c14aea92-66bd-c076-3728-d79a15776944?t=1674187967829;Valle de Valgrande,Estación de Esquí Valgrande-Pajares,Pueblo de Pajares,Pajares;,,,;;
Área autocaravanas de MasyMas (Cudillero);Cudillero;Occidente de Asturias;;Gratuita;Sólo el tiempo de repostaje;Privada;Desde la Autovía del Cantábrico [A-8/E-70] tomar la salida 431 hacia Cudillero. Una vez en la rotonda tomar la primera salida hacia la derecha (N-632), dirección Muros del Nalón. A pocos metros en una mini rotonda girar a la derecha al supermercado.;Solamente se puede usar en horario de supermercado;Agua potable Vaciado aguas grises  Vaciado aguas negras Supermercado / tienda Gasolinera próxima <10km.  Wifi Parking  Lavanderia autoservicio;Las Dueñas, s/n 33159 Cudillero;985 590 928;;;;43.55528,-6.16917;/documents/39908/62295/Mas-y-Mas-%281%29.jpg/c6b48519-8200-8c50-8bea-d214229237b7?t=1698150684923,/documents/39908/62295/Mas-y-Mas-%282%29.jpg/b9c63de3-8229-b48a-adff-3b88514d4678?t=1698150686875,/documents/39908/62295/Mas-y-Mas-%283%29.jpg/e835b43c-d68f-8dde-122e-12554a8d2929?t=1698150688253,/documents/39908/62295/Mas-y-Mas-%284%29.jpg/38cb9193-a3d5-e7df-ddc0-2cb2366795c9?t=1698150689677;masymas 1,masymas 2,masymas3,masymas 4;,,,;Punto ecológico para el cambio de aguas. No es posible pernoctar. Solamente se puede utilizar en el horario del supermercado.  ;
Parking autocaravanas Valles del Oso (Tuñón);Santo Adriano;Centro de Asturias;30;;;Pública;Desde Oviedo, autovía A-63 (Grado-La Espina) hasta Trubia. Tras cruzar el puente sobre el río Nalón, tomar desvío a la izquierda por la carretera AS-228 hasta Villanueva, capital del Concejo.;;Pernocta posible Zona infantil Zona de pícnic Admite mascotas;Ctra. AS228, km 8,500. 33115. Tuñón;;;;;43.291667,-5.982778;/documents/39908/62160/casa-rural-tunon.jpg/232f53ba-12f2-3573-b3f5-e8399ce057f6?t=1674187901841,/documents/39908/62160/fuente-tunon.jpg/e03fe333-d38c-f79d-7060-1ad5ad31a2fd?t=1674187903217,/documents/39908/62160/espada%C3%B1a-iglesia-de-santo-adriano-de-tunon.jpg/0ba9772f-0c51-c569-5d70-460bbaf7ed68?t=1674187902497,/documents/39908/62160/rio-trubia-tunon.jpg/e1359309-0076-b533-1d23-daa0c4f35cdb?t=1674187903877;Casa rural en Tuñón,Fuente en Tuñón,Espadaña de la Iglesia de Santo Adriano de Tuñón,Río Trubia a su paso por Tuñón;,,,;Aparcamiento donde se permite el estacionamiento y pernocta de autocaravanas. No se permite desplegar mesas, sillas y demás elementos de acampada.  En el mismo aparcamiento se pueden contratar paseos en bici y otras actividades.;
Área autocaravanas de Santa Eulalia de Oscos;Santa Eulalia de Oscos;Occidente de Asturias;15;Gratuita;48 h.;Pública;Ctra. AS-33 hasta Santa Eulalia de Oscos. En el centro del pueblo girar a la izquierda, hacia abajo. Al llegar a la carretera, tomar la primera calle a la izquieda, unos 200 metros.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Parque infantil;C/ Vilar de Abraira. 33776. Santalla;;;;;43.25778,-7.01861;/documents/39908/62229/santalla-santa-eulalia-de-oscos+%281%29.jpg/91c38537-0384-62fa-6a2f-a2a5ac1edc17?t=1674187973745,/documents/39908/62229/santalla-santa-eulalia-de-oscos+%282%29.jpg/3a73cbea-c92b-e647-415c-a683accc1bc3?t=1674187974382,/documents/39908/62229/santalla-santa-eulalia-de-oscos+%283%29.jpg/f0fd8bb2-6529-d308-0370-3f05c057c8b2?t=1674187974992,/documents/39908/62229/santalla-santa-eulalia-de-oscos+%284%29.jpg/dea5b48e-0fab-bb94-acd1-2a8e8d46e943?t=1674187975795;Santalla en Santa Eulalia de Oscos,Santalla en Santa Eulalia de Oscos,Santalla en Santa Eulalia de Oscos,Santalla en Santa Eulalia de Oscos;,,,;;
Área de Autocaravanas de Sellaño (Ponga);Ponga;Oriente de Asturias;12;Gratuita;;;Carretera AS261;;Pernocta posible  Agua potable Vaciado aguas grises Vaciado aguas negras Conexión eléctrica Servicios hostelería Zona Pic-nic;Pilanegru s/n;985 843 001;registro@ponga.es;;;43.25106,-5.19992;/documents/39908/2646107/area_de_autocaravanas_de_sella%C3%B1o_ponga%282%29.jpg/bcf7edd5-2bd5-ac4c-5104-fe5bf3623817?t=1699270725337,/documents/39908/2646107/area_de_autocaravanas_de_sella%C3%B1o_ponga%283%29.jpg/3059633f-31e6-70a2-43ef-74d35cb2f221?t=1699270726630,/documents/39908/2646107/area_de_autocaravanas_de_sella%C3%B1o_ponga%281%29.jpg/58b412b0-7983-ded3-49fc-ab68b6d5cc5a?t=1699270723939;Casielles-Ponga 2,Ruta al valle de Ponga,Casielles-Ponga 1;,,;;
Área autocaravanas de Lena;Lena;Centro de Asturias;15;Gratuita;48 hs;Pública;Dirección norte: autovía A-66, salida 61 AS-375 Pola de Lena, por vía de servicio de autovía.  Dirección sur: autovía A-66, salida 59, centro urbano, por carretera AS-375 hasta Puente Robledo. ;;Vaciado de aguas grises Vaciado de aguas negras Pernocta posible Agua potable Servicios hostelería  Supermercado / tienda  Gasolinera próxima < 10 km.  Zona Pic-nic Parking ;Recinto ferial de Pola de Lena. 33630. La Pola;;;;;43.153033,-5.824502;/documents/39908/62190/2022-%C3%81rea+autocaravanas+de+Lena+%281%29.jpg/afa3d3d5-19d7-5385-3bc7-575074d69b37?t=1674187932489,/documents/39908/62190/2022-%C3%81rea+autocaravanas+de+Lena+%282%29.jpg/7fdc16d1-3bcc-894c-2a1e-dd87aac7133f?t=1674187933126,/documents/39908/62190/2022-%C3%81rea+autocaravanas+de+Lena+%283%29.jpg/6c1c99f8-c1f1-f269-c986-7adf00909e94?t=1674187934407,/documents/39908/62190/2022-%C3%81rea+autocaravanas+de+Lena+%284%29.jpg/daf47170-f247-0cbe-b79e-70e1d67daa5a?t=1674187935021;Área autocaravanas de Lena,Área autocaravanas de Lena,Área autocaravanas de Lena,Área autocaravanas de Lena;,,,;;
Parking de autocaravanas de Pesoz;Pesoz;Occidente de Asturias;4;;;Pública;Desde Navia y Boal se llega por la AS-12, desde los Oscos por la AS-13 y desde Pola de Allande por la AS-14. El parking está a las afueras del pueblo, junto al Museo del Vino.;;Pernocta posible Restaurante/Cafetería (próximos) Zona pícnic Fuente Admite mascotas;Carretera AS13. 33735. Pezós/Pesoz;;;;;43.25472, -6.878611;/documents/39908/62208/pesoz-%282%29.jpg/3bc60a59-4ad8-bed7-f514-a2e502973981?t=1674187953266,/documents/39908/62208/iglesia-de-santiago.jpg/e9c231fc-e0f7-0702-b23a-6f4e703f8645?t=1674187951382,/documents/39908/62208/pesoz.jpg/4c84587b-117c-42b2-a763-9fa4ced39826?t=1674187953873,/documents/39908/62208/mirador-a-paicega-pesoz.jpg/b3d81e24-9cd7-a2ae-ccf4-c3eb6a1132fa?t=1674187952267;Pezós/Pesoz,Iglesia de Santiago en Pezós/Pesoz,Pezós/Pesoz,Mirador de A Paicega en Pezós/Pesoz;,,,;Parking donde se permite el estacionamiento y pernocta de autocaravanas, pero NO desplegar mesas, sillas y demás elementos de acampada. En el pueblo hay un par de tiendas y restaurantes. ;
Área autocaravanas de La Fuente de los Ángeles (Candás);Carreño;Centro de Asturias;6;Gratuita;48 h.;Pública;A Candás se puede llegar desde la A-8 por la carretera AS-110 o desde Gijón por la AS-118. Una vez en la rotonda donde se unen ambas carreteras seguir indicaciones del área recreativa Fuente de los Ángeles, detrás de la estación del tren.;;Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Zona pícnic Parque infantil Transporte público < 10 km    ;C/ Estacion, 4. 33439. Candás;;;;;43.58472,-5.77194;/documents/39908/62220/candas-puerto-y-playa.jpg/336ae709-231d-267a-0f4a-271a7447810b?t=1674187965177,/documents/39908/62220/atardecer-en-candas.jpg/5692c84a-c280-fb9a-a293-f7a9c52615e4?t=1674187964399,/documents/39908/62220/faro-candas-1.jpg/dcd4f1fb-0c44-c494-5e24-36a4607ab04d?t=1674187965869,/documents/39908/62220/area_Candas1.JPG/3e7460f8-64a8-7b0c-eeab-864e64cf47d3?t=1674187963795;Candás, vistas del puerto y la playa,Atardecer en Candás,Faro de Candás,Área de autocaravanas de Candás;,,,;;
Área de Autocaravanas de Proaza;Proaza;Centro de Asturias;10;;72 h.;;;31/01 a 04/02 / Sábado que se celebra el Certamen de Ganado y cualquier otro día que celebre un evento y se precise ese área.;Pernocta posible Agua potable  Vaciado aguas grises  Vaciado aguas negras Servicio hostelería Supermercado / tienda Gasolinera próxima <10km.  Parking;Plaza el Mercado, Nº 55;;info@proaza.es;;;43.25157, -6.01374;/documents/39908/2562907/Proaza%281%29.jpg/11e9fa83-46b3-ac77-fa1f-b683b87e95e3?t=1698153705984,/documents/39908/2562907/Proaza%282%29.jpg/abf50132-4b9a-b70a-9d3a-ca8d6814451b?t=1698153707792,/documents/39908/2562907/Proaza%283%29.jpg/6681d19c-11e2-4c02-f188-ba809482be1c?t=1698153709116,/documents/39908/2562907/Proaza%284%29.jpg/d09e9317-b3e2-09cc-26df-6ebab23acdde?t=1698153710396;Proaza 1,Proaza 2,Proaza 3,Proaza 4;,,,;;
Área autocaravanas de Grado;Grado;Centro de Asturias;8;Gratuita;72 h.;Pública;Acceso a la villa de Grado por la autovía A-63 y por la nacional N-634, el área de autocaravanas está al lado de la Estación de Autobuses y del área deportiva de El Casal.;;Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera <10 km Zona pícnic Parque infantil Transporte público < 10 km Aparcamiento  Piscinas públicas (próximas);Avda. de los Deportes. 33820. Grau/Grado;985 750 075;turismo@ayto-grado.es;;;43.383500,-6.075432;/documents/39908/62238/Autocaravanas_Grado1.jpg/3a909f0e-d396-a1a4-5692-cb371ec2f2c6?t=1674187986442,/documents/39908/62238/Autocaravanas_Grado.jpg/d2bca568-ef58-6c53-0abe-8c447e35d70f?t=1674187985709,/documents/39908/62238/Autocaravanas_Grado2.jpg/b2660e9a-fbf4-6ccc-b02f-f15053509ed0?t=1674187987052,/documents/39908/62238/Autocaravanas_Grado3.jpg/df6f1353-fb47-3cba-4519-ed0af8a7392e?t=1674187987685;Área de Autocaravanas de de Grado,Área de Autocaravanas de de Grado,Área de Autocaravanas de de Grado,Área de Autocaravanas de de Grado;,,,;;
