Nombre;Concejo;Zona;Dirección;Teléfono;Email;Web;Más información;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción breve;Descripción;Horario y duración de las visitas;Tarifas;Visitas guiadas;Productos que comercializa;Indicar los productos que disponen de D.O.P. o I.G.P.;Observaciones;Coordenadas;Slide;Título;Url
Llagar Casa Trabanco;Gijón;Centro de Asturias;Ctra. de Lavandera, 3255. 33350. Llavandera. Gijón;985 136 462;visitas@trabanco.com;https://www.sidratrabanco.com;;https://www.facebook.com/CasaTrabanco/;;;;https://www.instagram.com/casatrabanco/?hl=es;;;;Si algo nos define en Casa Trabanco es nuestra pasión por la sidra y por la cultura asturiana.;¡Sumérgete en el universo sidrero con Trabanco! Dos experiencias te esperan para descubrir todos sus secretos. ¡No esperes más, elige la tuya! Visita "Orígenes" Se trata de un recorrido por nuestros comienzos, visitando el llagar y la bodega familiar donde Emilio Trabanco comenzó a producir sus primeros litros de sidra allá por 1925. Un paseo que nos llevará a perdernos por los rincones que dan vida a nuestra mejor sidra, bajo los cimientos de la casa familiar, la piedra y los viejos toneles, el olor a manzana y a fermentos, que nos acompañarán en un viaje al pasado para descubrir la elaboración tradicional de la sidra natural. Terminaremos la experiencia con un pequeño curso de escanciado y una degustación de nuestra sidra de tonel. Incluye: Visita a Bodega Casa Alicia y prensas tradicionales Minicurso de escanciado Degustación de sidra de tonel y vaso de sidra de regalo Visita "Orígenes y Túnel de la Sidra" Además de la visita Orígenes, y lo que ésta incluye, ampliaremos nuestro recorrido por el mundo Trabanco en una visita mucho más completa y que representa el crecimiento y la apuesta por nuevos retos. Un pequeño paseo por Lavandera, disfrutando del paisaje, la etnografía y contemplando las pomaradas, nos llevará hasta nuestra bodega el Túnel de la Sidra, ubicada dentro de un antiguo túnel ferroviario construido a principios del SXX, y que hoy guarda algo más de un millón de litros de sidra, además del museo familiar. Terminaremos la visita con un pequeño curso de escanciado y degustación de sidra de tonel. Incluye: Visita al Túnel de la Sidra Paseo por Lavandera Bodega Túnel Museo Familiar Visita a Bodega Casa Alicia y prensas tradicionales Minicurso de escanciado Degustación de sidra de tonel y vaso de sidra de regalo;Visita "Orígenes" 01/11 a 31/03 Viernes: 17:00 h. Sábado: 12:00 y 17:00 h. Domingo: 12:00 h. 01/04 a 31/10:  Viernes: 19:00 h. Sábado: 12:00 y 19:00 h. Domingo: 12:00 h. Duración: 1 h. 15 min. Visita "Orígenes y Túnel de la Sidra" 01/11 a 31/03 Sábado y domingo: 11:00 h. 01/04 a 31/10: Viernes: 18:00 h. Sábado: 11:00 y 18:00 h. Domingo: 11:00 h. Duración: 2 h. aproximadamente;Visita "Orígenes" Mayores 16 años: 12 € Menores (3-15 años): 3 € Descuento de 1,5 € por tique, no acumulables, en compras superiores a 20€. Canjeable tras la visita presentando el tique descuento que la guía les entregará durante la misma. Imprescindible reserva previa a través de nuestra web Visita "Orígenes y Túnel de la Sidra" Mayores 16 años: 16 € Menores (3-15 años): 3 € Descuento de 1,5 € por tique, no acumulables, en compras superiores a 20€. Canjeable tras la visita presentando el tique descuento que la guía les entregará durante la misma. Imprescindible reserva previa a través de nuestra web;;Sidras Naturales: Tradicional Natural Sobre la Madre Selección Selección en copa Sidras naturales CAMÍN: Natural Camín D.O.P sin alcohol Refrescantes Naturales y Espumosas: Pecado del Paraíso (dulce, semiseca, sin alcohol) Pecado Natural Pecado natural sin alcohol AVALON Espumosas de Celebración: Lagar Camín clásica Lagar Camín Brut Lagar Camín sin alcohol Alta gama: Poma Áurea D.O.P. Sidra de autor ALICIA Vermú: Alma de Trabanco Vinagres: Solarina, con la Madre, ecológico;;Agosto, SS y F: se amplían las visitas, ¡¡¡Consúltanos!!! Otras propuestas o flexibilidad de horarios: consultar Grupos de escolares, colectivos especiales y grupos < 65 años: 10% descuento En la visita Orígenes y el Túnel de la Sidra se realiza una pequeña caminata que culmina en una cuesta para acceder a este último (es necesario advertirlo en caso de movilidad reducida o carritos para infantes) Venta de Sidra ONLINE;43.470868,-5.645769;/documents/39908/65958/2021-Llagar_Trabanco+%281%29.jpg/9d279ad8-22f6-e2bb-a43d-1bb342b404ce?t=1674194226087,/documents/39908/65958/2021-Llagar_Trabanco+%282%29.jpg/0e6c5526-9cec-e87f-55a3-1945677bedac?t=1674194226945,/documents/39908/65958/2021-Llagar_Trabanco+%283%29.jpg/f0133d58-1ecc-8eee-39f0-1b5e863efd12?t=1674194227633;Visitas Llagar Sidra Trabanco,Llagar Sidra Trabanco,Llagar Sidra Trabanco;,,
Bodegas Vitheras S.L.;Cangas del Narcea;Occidente de Asturias;Polígono Industrial Obanca Nave D. 33819. Oubanca;676 921 948;info@vitheras.com;https://vitheras.es/;;https://www.facebook.com/Vitheras-993336020701243;;;;;;;;Viticultores Heroicos Asturianos S.L. (Vitheras S.L.) es una bodega situada en el occidente asturiano, que comenzó sus andaduras en el verano de 2014, como la continuación de una tradición centenaria.;La última generación de la casa de Don Juan (los nietos): Carlos Ron Martínez, Laura Ron Martínez, Miguel Lomba Martínez y Pablo Lomba Martínez han tomado el testigo de sus abuelos, que durante sus 80 años han cuidado las vides de estos valles afilados del Río Cibea a no más de 10 km de la Villa de Cangas de Narcea. La viticultura en este tipo de orografías de cultivo difícil (como desniveles, gran altura o islas) es lo que se denomina mundialmente como viticultura heroica. No obstante, la historia de esta bodega se remonta al S.XVI, en concreto al año 1556 en los que se tiene el documento más antiguo que habla sobre la existencia de los viñedos de la familia y de su comercialización (la misma viña que está en producción ahora y replantándose hasta las 7 ha). Concretamente a finales del siglo XIX, los vinos de esta región obtuvieron premios internacionales en Burdeos, Angers, Ruan y Lugo y una cierta difusión internacional. Personajes como Jovellanos hablaban con admiración de estos vinos y el Conde de Toreno, Suarez Cantón o el músico Anselmo González del Valle, cultivaron extensos viñedos en la zona con notable éxito durante el siglo XIX. Aunque la llegada de las enfermedades del Oídio, la Filoxera, el Mildiu y el Black – rot a finales del siglo XIX, principios del XX, afectaron a estos viñedos, al igual que a los de toda Europa, fueron reconstruidos y continuaron durante muchos años produciendo vinos destacables y de calidad similar a los producidos en aquella época en muchas otras regiones europeas. Con la llegada de la minería, la industrialización y el abandono de las zonas rurales en los años 50-60 (siglo XX) la viticultura fue desapareciendo poco a poco, hasta quedar reducida a tan solo pequeñas parcelas cuidadas por los viejos viticultores de la zona, que se resistían a abandonarlas. Desde 1986, Mª del Carmen Martínez, Científica del CSIC, emprende la recuperación de esta zona vitícola completamente caída en el olvido por aquel entonces, rescatando, describiendo, conservando y volviendo a reintroducir en el mercado, tras muchos años de investigación, las variedades autóctonas de la zona como Albarín Blanco, Verdejo Negro, Albarín Negro o Carrasquín y otras foráneas, pero que llevaban siendo cultivadas en esta zona desde siglos anteriores y que mostraban, algunas de ellas, un alto nivel de adaptación, produciendo vinos de gran calidad. Es el caso del Moscatel de Grano Menudo Blanco, o el Moscatel de Grano Menudo Rojo. Esta última desaparecida prácticamente a nivel mundial, siendo Asturias el único lugar de España en el que todavía se cultiva de forma minoritaria. En este punto Vitheras S.L. entra en acción, utilizando para la elaboración de sus vinos las mejores de esas variedades recuperadas, las que producen los vinos de mayor originalidad y calidad, bajo las especiales condiciones de clima y suelo de la viticultura asturiana, aunando la tradición familiar y regional de más de 500 años para la elaboración de un vino de calidad excepcional basado en el concepto de "terroir" en su más amplia acepción.  ;Viernes a Domingo (Consultar previamente);Gratuita;Sí;Vitheras Blanco (DOP) Vitheras Lucía (Rosado) ;;En nuestra tienda online puedes pedir cualquiera de nuestros productos. Repartimos en toda España, islas incluidas.;43.119135, -6.489889;/documents/39908/65928/BodegaVitheras1.jpg/08e41623-e365-32f1-2ec5-50f6fcc6ee50?t=1674194187426,/documents/39908/65928/BodegaVitheras3.jpg/4a512079-0029-5701-7e64-e8ebba3dc639?t=1674194188625,/documents/39908/65928/BodegaVitheras4.jpg/4e357234-9558-3a80-f36a-a66bab46a5e1?t=1674194189202,/documents/39908/65928/BodegaVitheras2.jpg/c3ba7357-5db6-6b3a-ad3e-1c3a6fa20d6c?t=1674194187991;Bodegas Vitheras,Bodegas Vitheras,Bodegas Vitheras,Bodegas Vitheras;,,,
Llagar Herminio;Oviedo;Centro de Asturias;Camino Real, 11. 33010. Colloto/Cualloto. Oviedo;985 794 847;llagar@llagarherminio.com;https://sidreriallagarherminio.es/;;https://www.facebook.com/sidreriallagarherminio;;;;https://www.instagram.com/llagarherminio/;;;;Visitas guiadas a llagar de sidra;Visita por las instalaciones del llagar, desde la recepción de la manzana hasta el embotellado de la sidra.  También hay opción de visita más menu, que sería en la sidrería del propio llagar. ;Visitas guiadas:  Lunes a viernes: 11:00 a 13:00, 16:00 a 18:00 Sábados: 11:00 a 13:00 Visita más menú especial: Lunes a viernes: 11:00 a 13:00, 16:00 a 18:00 Sábado: 11:00 a 13:00;Visitas guiadas:  Adulto: 10€ Menores de 18 años: Gratuito Visitas más menú especial:  Persona: 38€;Sí.;Sidra Herminio ;Sidra Zythos (D.O.P);Los menores de edad han de ir acompañados de un adulto.  En la visita esta incluida degustación de nuestra sidra y un vaso serigrafiado.  Teléfono reservas: 985 794 847 (Ext 3) Correo reservas: llagar@llagarherminio.com;43.37716,-5.80400;/documents/39908/3474458/Dep%C3%B3sitos-%282%29.jpg/8a65b941-8e52-2fa1-0349-12d509a7f963?t=1704355719862,/documents/39908/3474458/Sidra+dulce+%284%29.jpg/064079e8-4b7a-b30c-da42-febf9ca9606b?t=1704355723338,/documents/39908/3474458/Sidrer%C3%ADa-%283%29.jpg/98541843-abdf-96b5-3c59-34ea5f1a0d95?t=1704355724871;Depósitos,Sidra dulce,Sidrería;,,
Llagar Sidra Bernueces;Gijón;Centro de Asturias;Camino de la Nisal, 1104. 33394. Castiello Bernueces;985 131 188 / 669 369 977 / 629 260 301;info@llagarbernueces.com;https://llagarbernueces.com/;;https://www.facebook.com/llagarbernueces;;;;https://www.instagram.com/llagarbernueces/;;;;Sidrería-restaurante que elabora su propia sidra y la acompaña con platos típicos de la región.;Llagar familiar fundado en Gijón en el año 1881, ahora en su 4ª generación. Además de la tradicional sidra asturiana, elaboramos otros productos derivados de la manzana, como sidra dulce y sangría de sidra embotellada.    ;Resto del año:  Sábado y domingo: 13:00 h. y 20:00 h.   Del 01/07 a 15/09:  Martes a viernes: 13:00 h.  Sábado y domingo: 13:00 h. y 20:00 h.  P, SS y Festivos: Consultar  VISITAS GUIADAS + DEGUSTACIÓN DE PRODUCTOS DEL LLAGAR (Sidra de tonel, sidra dulce y sangría de sidra):  Adultos: 6 € *Menores de 16 años: Gratis VISITA GUIADA + DEGUSTACIÓN DE PRODUCTOS DE LLAGAR (Sidra de tonel, sidra dulce y sangría de sidra) + DEGUSTACIÓN DE QUESOS ASTURIANOS CON DUKLCE DE MANZANA: Adultos: 12 € *Menores de 16 años: 6 € VISITA GUIADA + MENÚ DE ESPICHA O MENÚS DE COMIDA O CENA EN EL RESTAURANTE:  Consultar: info@llagardebernueces.com o 669 369 977 (WhatsApp) y en www.llagarbernueces.com  *Las degustaciones de menores de 16 años se ofrecen con sidra dulce Imprescindible cita previa al 985 13 11 88 - 669 369 977 (WhatsApp) - info@llagarbernueces.com;;Conoce la historia del Llagar Bernueces de la mano de una familia llagarera que te contará cómo y cuándo se elabora la sidra en Asturias. Realiza un recorrido por el llagar, visitando las instalaciones y la zona exterior, en plena naturaleza con vistas al monte de Deva, respirando aire puro. En el Llagar de Bernueces, damos la bienvenida a los visitantes para transmitirles el amor por la sidra y por nuestra tierra, mostrándoles cómo se vive en Asturias la cultura sidrera. En el restaurante, podrás disfrutar de la sidra junto a platos tradicionales de la región, como quesos, tortos, fabada, pote asturiano, carnes a la estaca y a la piedra, entre otros. Y no pueden faltar los postres caseros, como el arroz con leche, la tarta de queso, la tarta de la abuela, entre otros. Consulta aquí las visitas-degustación del Llagar Bernueces;Sidra Natural Bernueces Sidra Dulce Bernueces Sangría de Sidra "Sidría" Sidra achampanada Sidru's ;;En el Llagar Bernueces realizamos todo tipo de eventos para grupos: espichas, comidas, cenas, celebraciones... y disponemos de salones privados. Accesible (Ficha de accesibilidad);43.5089256,-5.6205887;/documents/39908/3980902/Llagar_sidra_bernueces_%281%29.jpg/2e69b908-5145-e21d-6164-1263b77333cf?t=1707398196912,/documents/39908/3980902/Llagar_sidra_bernueces_%282%29.jpg/2eb6c3bc-8e42-4bb3-487e-617d3c9da86f?t=1707398198902,/documents/39908/65967/Llagar_Bernueces+%284%29.jpg/5b1017b6-fd32-dc72-9e9e-9bd7487a97c2?t=1674194241673,/documents/39908/3980902/Llagar_sidra_bernueces_%288%29.jpg/4c42f6e9-e28e-014a-ac4f-2b9944023e64?t=1707398205950,/documents/39908/3980902/Llagar_sidra_bernueces_%283%29.jpg/03206839-6688-c136-5cb2-955b477373dd?t=1707398200354,/documents/39908/65967/Llagar_Bernueces+%287%29.jpg/14407bf9-5dd2-f5d4-dbfe-ff4c96e446ed?t=1674194243616,/documents/39908/3980902/Llagar_sidra_bernueces_%284%29.jpg/dbfced00-5724-a43a-464f-cbbd9e403cf3?t=1707398201787,/documents/39908/65967/Llagar_Bernueces+%285%29.jpg/5731cefd-0f3a-e42b-6a6f-cf9307665e46?t=1674194242270,/documents/39908/3980902/Llagar_sidra_bernueces_%289%29.jpg/9b342788-ca6b-0b54-6da1-d3b7ed77772e?t=1707398207248,/documents/39908/65967/Llagar_Bernueces+%282%29.jpg/78a018a8-efae-ca41-8a10-2dec6f802278?t=1674194240433,/documents/39908/3980902/Llagar_sidra_bernueces_%286%29.jpg/84b168cc-f104-11f6-ce7d-60c0ea82ea97?t=1707398204456,/documents/39908/3980902/Llagar_sidra_bernueces_%285%29.jpg/b10c4c91-aba7-ab71-d444-cf21ae81f41b?t=1707398203122;Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces,Llagar Bernueces;,,,,,,,,,,,
Quesería Vega de Tordín;Cabrales;Oriente de Asturias;Camino de la Ería. 33554. Arenas;674 597 738 / 619 301 356;info@vegadetordin.com;;;https://www.facebook.com/QUESERIAVEGADETORDIN;;;;;;;;En una visita guiada a la Quesería-Ganadería Vega de Tordín, se puede ver todo el proceso de elaboración del Queso de Cabrales con DOP;Se trata de una visita de aproximadamente cuarenta y cinco munutos donde se explica todo el proceso de elaboración del afamado Queso Cabrales.  La visita comienza con la historia y orígenes de la quesería, a continuación, se explica la ganadería (alimentación, cuidados...), los más pequeños podrán darle de comer a las vacas, ahí se ve el ordeño en vivo y en directo de una vaca y se explica todo lo relacionado con la calidad de la leche.  Tras la explicación de la ganadería, se pasa al pasillo de visitas dónde se ve la quesería y todo el proceso de elaboración del queso, en el momento que se encuentre.  Se explica todo lo relativo a la elaboración, salado, secado, maduración y etiquetado de los quesos para finalizar con una degustación de los quesos que elaboramos en la quesería.  Al finalizar la visita, se ofrece una degustación de nuestros productos, Las instalaciones son accesibles para personas con movilidad reducida y contamos con amplio aparcamiento para coches y autobuses.  ;Todos los días: 11:00 a 14:00 y 16:00 a 20:00 h. Duración aproximada: 45 min.;4 €;Sí;Queso de Cabrales Vega de Tordín (DOP);;Se recomienda reserva previa ya que las visitas se realizan en grupos reducidos;43.302437,-4.808721;/documents/39908/65997/Queseria_Vega_de_Tordin_3.jpg/1dba27d9-c189-9dc0-63f8-077bea6b83c7?t=1674194283524,/documents/39908/65997/Queseria_Vega_de_Tordin_2.jpg/d300d726-da66-cb8e-b83e-f31b10ab380d?t=1674194281833,/documents/39908/65997/Queseria_Vega_de_Tordin_1.jpg/04e46965-c86d-e155-7006-a31cf0267fd2?t=1674194281107,;Quesería Vega de Tordín,Quesería Vega de Tordín,Quesería Vega de Tordín,Quesería Vega de Tordín;,,,https://www.youtube.com/watch?v=imRCs_W24v0
Quesería Demués;Onís;Oriente de Asturias;Demués. 33556;985 975 097 / 600 419 953;laqueseriademues@hotmail.com;https://www.laqueseriademues.com/;;;;;;https://www.instagram.com/laqueseriademues;;;;Desde este paraíso natural llamado Asturias, creamos nuestros quesos con tres diferentes tipos de leche: vaca, oveja y cabra;Desde el 2019 nuestro proyecto fue claro, diversificar la economía de la zona, potenciar los productos locales, y garantizar la calidad, comprometidos con el medio ambiente y con la dignidad animal, nuestros animales viven en semilibertad en una zona natural protegida y cuidados con esmero. Gracias a ello se proporciona un producto único y de calidad, el queso Gamonéu. Elaboramos exclusivamente Queso Gamonéu, ya que creemos que a este producto es necesario dedicarle todo el tiempo, cómo también dedicar el tiempo necesario al cuidado de la ganadería, consiguiendo así el mejor producto posible: Gamonéu.  ;Todos los días: 10:00 a 13:00 y 16:00 a 18:00 h.;;Sí;Gamonéu (DOP);;Reservas: 985 975 097 / laqueseriademues@hotmail.com Se visita la quesería y la ganadería;43.32171372289854, -4.9871894588879515;/documents/39908/66003/2021-demues+%281%29.jpg/cea934c9-3c57-2c69-cd0a-1286f2d0995b?t=1674194287276,/documents/39908/66003/2021-demues+%282%29.jpg/d0da79be-abf8-79de-40dc-f41d54fee1dd?t=1674194287876,/documents/39908/66003/2021-demues+%283%29.jpg/02d2d8a0-34d6-4d93-e7d6-3e5a4c0587db?t=1674194288526,/documents/39908/66003/2021-demues+%284%29.jpg/3e8e3228-ce10-9b4d-804b-054fdbd03454?t=1674194289245;Quesería Demués 1,Quesería Demués 2,Quesería Demués 3,Quesería Demués 4;,,,
Cofradía de Doña Gontrodo;Oviedo;Centro de Asturias;;610 769 914;malullaco7@yahoo.es;;;;;;;;;;;La Cofradía Gastronómica Doña Gontrodo de Oviedo, constituida solamente por mujeres (única en España), aunque viene funcionando desde hace más de veinte años, verdaderamente oficialmente, comienza su nueva andadura a partir del año 2006 en que los requisitos de las disposiciones vigentes, le exigen el redactar unos nuevos estatutos y registrarse en el Registro Oficial de Sociedades del Principado de Asturias.;La Cofradía Doña Gontrodo está inscripta en la Federación Asturiana (FECOASTUR), así como en la española (FECOES) y en el Consejo Europeo de Cofradías Enogastronómicas (CEUCO). Por tanto sus actuaciones puede realizarlas en territorio nacional y extranjero. En su fundación contaba con 28 cofrades, presidiendo la Junta de Gobierno María Luisa Llavona desde su fundación, a la actualidad y asiste habitualmente a Grandes Capítulos de otras cofradías, a encuentros nacionales de FECOES y a Congresos Europeos. Su objetivo fundamental es la defensa y promoción de la gastronomía asturiana y el rescate de recetas ancestrales para que no pasen al olvido. Hay que tener presente, que cualquier receta de vanguardia, tiene sus raíces en la cocina tradicional. Esta labor didáctica de la cofradía, fue premiada en el año 2014 por la Federación Española de Cofradías Enogastronómicas, entregándoles la distinción personalmente en Oviedo, Don Carlos Martín Cosmen, presidente de este organismo federativo ante la presencia del presidente de la Federación autonómica, Don Sabino González. Para quienes se sorprenden del peculiar nombre de Doña Gontrodo, les diremos que es el reconocimiento y homenaje a una mujer ejemplar y muy valiente para aquellos tiempos del siglo XII. Supo superar todas las críticas de la época y hacer lo que verdaderamente le apetecía. Las damas de la Cofradía Doña Gontrodo, quieren por ello perpetuar su nombre, bautizando con él a su cofradía. Doña Gontrodo fue madre de reina (Doña Urraca de Asturias), ejerció una gran labor piadosa y cuando lo creyó conveniente se retiró a la vida monacal, fundando el Monasterio de la Vega en Oviedo. Fue abadesa en el Monasterio de Las Pelayas, donde actualmente reposan sus restos. En su tumba, la cofradía, le rinde cada año un homenaje floral a Doña Gontrodo.;;;;;;;43.361263,-5.854911;/documents/39908/66444/Do%C3%B1a_Gontrodo.jpg/5bb1f1bc-797d-5f01-1d76-d286cebdc6a5?t=1674194820230,/documents/39908/66444/Do%C3%B1a_Gontrodo_3.jpg/f64ec860-381a-d845-1807-7a62a1180cd7?t=1674194822238,/documents/39908/66444/Do%C3%B1a_Gontrodo_1.jpg/484c2ced-56c3-45d2-c702-ade5804892e1?t=1674194820883,/documents/39908/66444/Do%C3%B1a_Gontrodo_2.jpg/2df47601-86c2-e5b4-5dc1-43f671aea245?t=1674194821562;Cofradía de Doña Gontrodo,Cofradía de Doña Gontrodo,Cofradía de Doña Gontrodo,Cofradía de Doña Gontrodo;,,,
Quesería Ca Sanchu;Grado;Centro de Asturias;Ambás, 15. 33826. Ambás;686 865 822 / 985 752 222;queseriacasanchu@gmail.com;;;https://www.facebook.com/queseriacasanchu/;;;;https://www.instagram.com/marta_casanchu/;;;;Se visita la quesería explicando el proceso artesanal y la tradición familiar en la elaboración del Afuega'l Pitu;Finalmente se ofrece la degustación de los productos. Hacemos reparto en pequeñas tiendas y comercios del área central de Asturias, principalmente Grado y Oviedo y vendemos nuestros productos en el mercado dominical de Grau/Grado.;Miércoles a viernes: 11:00 h a 14:00 h. Duración de las visitas: 1 hora (explicación e historia del proceso de elaboración visita a las instalaciones y prueba de todas las variedades, incluido el postre típico de la zona, la barreña);General: 10€ Menores 8 años: gratis;Sí;Quesos de Afuega' l Pitu (DOP);;Imprescindible reserva previa: 686 865 822 / queseriacasanchu@gmail.com;43.316950, -6.131658;/documents/39908/65988/2021-ca-sanchu+%283%29.jpg/ca952d84-a52e-d5b4-106e-d48d63a07dff?t=1674194274307,/documents/39908/65988/2021-ca-sanchu+%284%29.jpg/60b304f8-4b56-38e5-b3e7-ecdbd8e45c25?t=1674194274908,/documents/39908/65988/2021-ca-sanchu+%282%29.jpg/31168a9b-792b-1f7f-3a6c-5371e5cd1df6?t=1674194273577,/documents/39908/65988/2021-ca-sanchu+%281%29.jpg/bb809b8f-584d-f58f-0753-ca066025fd05?t=1674194272858;Quesos Afuega'l Pitu de la quesería Ca Sanchu,Quesería Ca Sanchu,Quesos Afuega'l Pitu de la quesería Ca Sanchu,Elaboración de Afuega'l Pitu en la quesería Ca Sanchu;,,,
Quesería Temia;Grado;Centro de Asturias;Lgar. Temia, 12. 33820 Rañeces;680 183 046;queseriatemia@gmail.com;;;https://www.facebook.com/pages/category/Producer/Quesos-Temia-101342084927843;;;;https://www.instagram.com/quesosartesanostemia;;;;Ubicada en la pequeña aldea de Temia, en el concejo de Grado, en la carretera que comunica Grado con Yernes y Tameza;Pionera en la elaboración de queso Afuega'l pitu, es heredera de una tradición quesera familiar, dónde se ha transmitido ese cariño por lo artesano y el mundo rural, generación tras generación, y así llegar a nuestros días.;Consultar: 680 183 046 / queseriatemia@gmail.com;;Sí;Queso Afuegal 'l  Pitu (DOP) Requesón Queso a las finas hierbas Queso udre;;;43.330501,-6.075586;/documents/39908/66006/2021-temia+%281%29.jpg/610bf12d-5d0e-9d28-e3f3-0b47e2de9d99?t=1674194289816,/documents/39908/66006/2021-temia+%282%29.jpg/337d3801-b5e6-1017-fca2-30781a1e0937?t=1674194290442,/documents/39908/66006/2021-temia+%283%29.jpg/f0676610-b047-a71d-aa3d-1cec14d405af?t=1674194291008,/documents/39908/66006/2021-temia+%284%29.jpg/cf451224-4525-76aa-f3c2-3c53818d6bec?t=1674194291579;Queso de Afuega'l Pitu atroncao de la quesería Temia,Barreña elaborada por la quesería Temia,Nuestras vacas,Vista de la quesería Temia;,,,
Cofradía del Desarme;Oviedo;Centro de Asturias;Monte Auseva, 8;630 294 955;carloscristos@otea.es / info@otea.es;;;;;;;;;;;La Cofradía del Desarme se fundó en el año 2012 en Oviedo y se presentó públicamente el 19 de octubre de aquel año coincidiendo con la celebración del Menú del Desarme  ;En el año 2012 la celebración del Menú del Desarme, una de las manifestaciones gastronómicas con mayor solera de cuantas se celebra en Asturias, deparó una importante noticia para Asturias: el nacimiento y presentación pública de la Cofradía del Desarme, una nueva asociación gastronómica auspiciada y promovida por hosteleros de Oviedo desde la asociación Hostelería de Asturias que tiene como objetivo fundamental fomentar, conservar y divulgas, tanto a nivel nacional como internacional, la cultura gastronómica relacionada con el acto gastronómico, histórico y sociocultural del Desarme y con ello promover a la ciudad de Oviedo y sus actividades con la finalidad  de generar visitar y potenciar el turismo en la ciudad. El Desarme es un Menú que se sirve en Oviedo cada 19 de Octubre y pose una hondísima tradición que tiene sus raíces en la Primera Guerra Carlista, El Desarme es una tradición gastronómica de Oviedo que tiene sus orígenes en la primera mitad del siglo XIX y en el contexto de las Guerras Carlistas. Se mezcla historia y leyenda, pero la tradición indica que los Liberales lograron desarmar a los Carlistas y al servirles una opípara comida a base de garbanzos con bacalao y espinacas y callos. Fuera como fuera Oviedo ha venido celebrando el Desarme y su menú desde entonces de forma más o menos irregular y desde los años 50 de forma regular y multitudinaria. El atuendo de la Cofradía, atendiendo a su origen hostelero, está formado por una chaqueta de cocinero, con el logo de la Cofradía que representa a un esquemático soldado de la época a caballo que en vez de espada blande una cuchara y un mandil azul. El traje complementa con un paño de cocina que se sitúa en la cintura en la parte de la izquierda y donde se colocan los distintos pines, insignias y distintivos de otras Cofradias y entidades. El conjunto se completa con un cucharón de madera que se porta junto al paño de cocina. La Cofradia asiste y participa, siempre que lo permitan las fechas, a cuantos certámenes, capítulos  o reuniones que dentro del ámbito Enogastronomicas se celebran en Asturias y en España. Con ello cumple la tarea de difusión del Menú del Desarme y junto a ello de la ciudad de Oviedo y Asturias y de su gastronomía. La Cofradía celebra con carácter anual el Gran Capitulo en el que se nombran Cofrades de Honor y  se inscriben nuevos Cofrade Número, que cumplan los estatutos de la Cofradia. Esta celebración se realiza el sábado más próximo  al día 19 de Octubre, que es la fecha en la que desde hace decenas de años se sirve en Oviedo el Menú del Desarme.  ;;;;;;;43.368505,-5.854445;/documents/39908/66483/Cofradia_del_Desarme_2.jpg/4fe93263-8c53-8050-cd32-a1a1c4da5b70?t=1674194866601,/documents/39908/66483/Cofradia_del_Desarme_1.jpg/ddcce280-dec1-b402-bde6-234aa2bc0d0a?t=1674194865254,/documents/39908/66483/Cofradia_del_Desrme_4.jpg/4da72936-204d-7318-f96e-20753cada2f5?t=1674194868390,/documents/39908/66483/Cofradia_del_Desarme_5.jpg/6fe7264a-c369-809e-40a9-8122cbf2926c?t=1674194867763;Cofradía del Desarme,Cofradía del Desarme,Cofradía del Desarme,Cofradía del Desarme;,,,
