Alt Imagen Destacada;Nombre;Concejo;Zona;Extensión;Periodo de visita;Altitud máxima;Datos de Contacto;Uso;Servicios;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal;Url;Archivo;Título;Título;Seleccionar heading;Contenido Texto;Imagen;Pie de foto;ALT de la imagen;TITLE de la imagen;Título;InformacionTexto;Localización;Flora;Fauna;Horarios y Tarifas;Qué ver;OtrosDatos;Q de Calidad;Reserva de la Biosfera;Coordenadas;Slide;Título;Url;Observaciones;Más Información;Trámites relacionados
;Tejo de Santa Coloma;Allande;Occidente de Asturias;;;;;;;;;;;;;;;;;;;;;;;;Uno de los tejos más longevos de Asturias es este Monumento Natural.;El Tejo de Santa Coloma constituye uno de los ejemplos típicos de árboles de esta especie situados en el entorno de las iglesias, ermitas o capillas por toda Asturias. Alcanza una altura de 8 metros y un perímetro de 5,6 metros, manteniéndose en un buen estado de conservación. Se trata, probablemente, del tejo más longevo de Asturias, ya que se le calcula que tiene más de 1.000 años de antigüedad. Está ubicado junto a la iglesia románica construida en 1785 y levantada sobre los restos de otra iglesia del siglo XIV. Los cristianos asimilaron el carácter mágico que le dieron al tejo las antiguas civilizaciones, por eso normalmente se ubican junto a iglesias y ermitas, y en muchos casos, como el de Santa Coloma, tiene un altar junto a su tronco, para celebrar la misa el día del Corpus.;El Tejo de Santa Coloma se encuentra en el municipio de Allande, junto a la iglesia de Santa Coloma.;;;;;;;;+43.296476,-6.724094;/documents/39908/44103/Tejo-de-Santa-Coloma-%282%29.jpg/c626e9b3-51a4-ca38-9257-781439ca0df9?t=1674172566948,/documents/39908/44103/Tejo-de-Santa-Coloma-%285%29.jpg/671f6c08-9a02-9698-42d6-f598241580ea?t=1674172568789,/documents/39908/44103/Tejo-de-Santa-Coloma-%286%29.jpg/59adf553-ec7d-a854-c804-73e57a8ef424?t=1674172569359,/documents/39908/44103/Tejo-de-Santa-Coloma-%283%29.jpg/31e242e4-8934-0a1a-3ccc-9e2205a7aa5d?t=1674172567565;Tejo de Santa Coloma,Tejo de Santa Coloma,Tejo de Santa Coloma,Tejo de Santa Coloma;,,,;Tejo de Santa Coloma;;
;Monumento Natural Ruta del Alba;Sobrescobio;Centro de Asturias;;;;;;;;;;;;;;;;;;;;;;;;El Monumento comprende el curso y el desfiladero del río Alba entre Soto y la cabecera del río, lugar conocido como Cruz de los Ríos;Se trata de un desfiladero muy angosto tallado por el río originando paisajes de gran espectacularidad, especialmente en la época del deshielo cuando se forman numerosas cascadas y saltos de agua. La Ruta del Alba, por su belleza y fácil andadura, sin grandes desniveles, se ha convertido en uno de los elementos más emblemáticos del Parque Natural de Redes. En Soto, hermoso pueblo de hórreos, corredores y balaustres de castaño a sólo dos kilómetros de Rusecu/Rioseco, capital municipal, se toma un ancho camino por el que el tránsito rodado se ha restringido exclusivamente a los vehículos agrarios. Esta vía era el paso utilizado de antiguo por pastores y arrieros para alcanzar el valle vecino del Aller. Posteriormente esta vía sirvió para la evacuación del hierro procedente de la mina Carmen. Esta ruta, también llamada Foces del Llaímo, discurre paralela al río Alba, y es de ida y vuelta, con una duración aproximada de cuatro horas, apta para toda la familia.;La Ruta del Alba se encuentra en el municipio de Sobrescobio, discurre paralela al arroyo del mismo nombre, desde la Cruz de los Ríos hasta la piscifactoría de El Alba.;;;;;;;;+43.187590,-5.472347;/documents/39908/44121/RutaDelAlba1.jpg/5e5a5cb4-e793-af89-0f29-581eaf159da7?t=1674172582241,/documents/39908/44121/RutaDelAlba3.jpg/15a32bba-1794-6179-7643-ac8af82adacb?t=1674172583958,/documents/39908/44121/RutaDelAlba2.jpg/8d7707ad-14f3-804a-1806-364e1583a6dd?t=1674172582927,/documents/39908/44121/RutaDelAlba4.jpg/fae2c93c-8bf1-26bb-da66-36bc433f4ad5?t=1674172584584;Rutal del Alba,Rutal del Alba,Rutal del Alba,Rutal del Alba;,,,;Ruta del Alba;;
;La Cueva;Piloña;Oriente de Asturias;;;;;;Ubicada a pie de carretera Zona cercada Bar / cafetería próximos Fuente Aseos (a partir de Semana Santa) Accesible Contenedores Ruta de senderismo cercana Acceso para tráfico rodado Acceso para utocares Zona de aparcamiento Zona infantil Zona de mesas Ubicada junto a un río;;;;;;;;;;;;;;;;;;El Área Recreativa de La Cueva se ubica muy cerca de Infiesto, en un entorno natural en medio de amplios prados a orillas del Río de La Marea.;Los servicios de bar y aseos están disponibles a partir de la Semana Santa y las piscinas descubiertas abren en la temporada estival. Junto a la misma se encuentra el Santuario de la Virgen de La Cueva, lugar emblemático y de culto de los Asturianos. Desde la misma Área Recreativa y El Santuario de La Cueva, parte un sendero a orillas del Río de La Marea, que nos permite dar un agradable paseo  de unos 3 Km (ida).  hasta el lugar conocido como la Peridiella.;Desde Oviedo por la N-634, coger la salida a Infiesto, y una vez pasado el puente sobre el río, continuar a la derecha siguiendo las indicaciones a La Marea y El Campu por la AS-254 para en unos 600 m. llegar al Área Recreativa de la Cueva.;;;;;;;;43.349630, -5.373543;/documents/39908/61791/LaCueva_1.jpg/37331265-3a92-64e5-f85c-434660062924?t=1674187577313,/documents/39908/61791/LaCueva_2.jpg/aa72244d-bf91-22e2-9f9b-d74fc63b3a0f?t=1674187577907,/documents/39908/61791/LaCueva_3.jpg/8b7b9d1f-056f-8b5c-954f-15f891d8980f?t=1674187578544,/documents/39908/61791/LaCueva_4.jpg/7e71961b-b9f4-12e5-4d86-135c82fef9e4?t=1674187579138;Área recreativa de La Cueva,Área recreativa de La Cueva,Área recreativa de La Cueva,Área recreativa de La Cueva;,,,;;;
;Reserva Natural Parcial Barayo;Navia y Valdés;Occidente de Asturias;2;Primavera y verano;;Oficina de Turismo de Luarca Teléfono: 985 640 083 Correo: turismo@ayto-valdes.net Oficina de Turismo de Navia Teléfono: 985 473 795 Correo: turismo@ayto-navia.es;;;;;;;;;;;;;;;;;;;;La Reserva Natural Barayo, uno de los entornos privilegiados de la costa asturiana;El ámbito geográfico objeto de protección comprende el tramo costero, a caballo entre los concejos de Valdés y Navia. El río Barayo forma en su desembocadura, un complejo estuarino de alto valor natural y elevada calidad paisajística. A nivel europeo, la Reserva Natural Parcial Barayo, se encuentra dentro de la Red Natural 2000, por estar declarado Zona Especial de Conservación (ZEC) y Zona de Especial Protección para las Aves (ZEPA). El río, a pesar de su curso corto, apenas 12 km, ha excavado en esta rasa un valle angosto, con laderas escarpadas, en cuya desembocadura forma un estuario con varios meandros. El río se acerca a la zona de playa por la parte oriental, aunque desemboca en la parte occidental, y salvo la playa de Barayo y la de Sabugo, el resto de la costa es acantilada, con varios islotes de pequeño tamaño. Estos acantilados sufren el constante azote del oleaje, conformando durante esta eterna batalla numerosos pedreros y cuevas.  ;Barayo está situada entre los concejos de Navia y Valdés, incluyendo, por el litoral, desde la Punta Arnao hasta la Playa de Sabugo.;La vegetación de playas y dunas se encuentra en excelente estado de conservación, con una buena representación de las comunidades de arribazón de la clase Cakiletea maritimae. En los extremos de la ensenada de Barayo existen complejos de vegetación de acantilados típica de la costa occidental asturiana, y en las laderas que cierran la desembocadura del río domina la serie de las carbayeras oligótrofas galaico-asturianas. La existencia de comunidades de vegetación de acantilados, dunas, cañaverales y las alisedas postdunares bien conservadas constituyen un conjunto único en la región.;Los ejemplares más importantes de la fauna de Barayo son la nutria, emblema de la reserva, que en ocasiones se puede contemplar recorriendo la playa -hecho exclusivo del occidente asturiano-, y el ostrero, del que conviene destacar aproximadamente una decena de parejas cría anualmente en la región. Ambas especies están incluidas en las categorías de Interés Especial y Sensibles a la alteración de su hábitat dentro del Catálogo Regional de Especies de Vertebrados Amenazados.;;;;;;+43.561548,-6.615143;/documents/39908/44076/Rio_Playa_Barayo_Navia.jpg/01a1b658-9345-3904-1c4e-96d9602656b2?t=1674172543439,/documents/39908/44076/ReservasBarayo1.jpg/24c5a5d2-b781-9067-99af-5f4e6827fb3d?t=1674172541638,/documents/39908/44076/ReservasBarayo3.jpg/03565d4b-34e5-d798-fe0a-c16c15f75907?t=1674172542829,/documents/39908/44076/ReservasBarayo2.jpg/54684154-140f-0dc9-f8ca-8e459ea00bc9?t=1674172542261;Barayo,Barayo,Barayo,Barayo;,,,;Prohibido perros (y otros amínales domésticos) sueltos.  ;;
;Parque Nacional de Los Picos de Europa;Amieva, Cabrales, Cangas de Onís, Onís y Peñamellera Baja;Oriente de Asturias;646;;2.648 m. en Torrecerredo (macizo central);;;;;;;;;;;;/documents/39908/1661302/Informacion_general_Parque_Picos_Europa.pdf/a314047f-4127-9d9a-3091-a756b47c9e8e?t=1687422664577,/documents/39908/1661302/Rutas_senalizadas_por_Picos_de_Europa.pdf/a3516e10-75f9-d1f4-c150-6f8cb034dd37?t=1687421997626,/documents/39908/1661302/Normativa+Acampada+en+Picos+de+Europa.pdf/60a0cb6a-b6bc-15e0-85ae-ea16fce05b81?t=1687421992790,/documents/39908/1661302/Dec%C3%A1logo+turismo+responsable.pdf/3ed002b5-ddda-02c7-77e6-cf2bcbb35135?t=1687421990581;Información General al Parque Nacional de Los Picos de Europa,Rutas señalizadas en el Parque Nacional de Los Picos de Europa,Normativa Acampada de Picos de Europa,Decálogo de Turismo Responsable;;;;;;;;Las cumbres más altas de la Cordillera Cantábrica se encuentran en este paraje donde se gestó la legendaria historia de Asturias;Distintos plegamientos y glaciaciones han conformado un tortuoso paisaje modelado por el hielo y el efecto de las aguas sobre la piedra caliza, formando un grandioso karst de montaña. Los tres macizos principales de esta maravilla natural se ven limitados por profundos valles y gargantas, aparecidos ante el paso erosionador de las afiladas lenguas de hielo de los glaciares y de la fuerza de las aguas de los ríos que, aún hoy, siguen modelando a su gusto la piedra, disolviendo la caliza. La Reserva de la Biosfera de Picos de Europa y Parque Nacional del mismo nombre, fue declarado Reserva de la Biosfera en el año 2003. Está formada por los municipios de Amieva, Cabrales, Cangas de Onís, Onís y Peñamellera Baja. Hay una pequeña zona del municipio de Peñamellera Alta que forma también parte del Parque Nacional aunque no de la Reserva de la Biosfera, esto es debido a que la ampliación del Parque Nacional fue posterior a la declaración de Reserva de la Biosfera. Los ríos Dobra, afluente del Sella, y Deva flanquean los montes al oeste y al este de la cordillera, siendo el Cares y su afluente el Duje los encargados de distribuir el parque en sus tres macizos. En el macizo Central encontramos las cumbres más elevadas de la Cordillera Cantábrica en los escarpados Urrieles, donde se eleva la más emblemática referencia de Los Picos de Europa: la inmensa belleza del Picu Urriellu o Naranjo de Bulnes. Sus 2.519 metros de complicada orografía no han evitado la instalación humana, siendo famoso el pueblo de Bulnes. Hasta el año 2001, únicamente se podía acceder por un estrecho y escarpado sendero en la montaña. Desde entonces, el acceso es más sencillo gracias al funicular que atraviesa la montaña desde la localidad de Poncebos. Al este de los Urrieles se encuentra el macizo Oriental, el Ándara, el más pequeño de perfil más suave, cuya cima más alta se encuentra en la Morra de Lechugales con 2.400 metros de altura. El más occidental de los tres macizos es el de los Picos del Cornión, cercano al Real Sitio de Covadonga, destino de peregrinación religiosa de miles de personas al año. Allí los lagos Enol y Ercina reflejan las altivas montañas donde se gestó la legendaria historia de Asturias. En la misma cueva de Covadonga se puede disfrutar de la huella omnipresente del proceso kárstico de los Picos, en la fotográfica surgencia del río Orandi, bajo la imagen de la Virgen. Entre los Urrieles y el Cornión, separando de sur a norte los macizos Central y Occidental, discurre el río Cares, cuyas cristalinas aguas azotan con bravura todo su recorrido. De las hermosas cumbres del macizo Occidental, destaca La Peña Santa de Castilla, con 2.596 metros. En su camino encontramos el Mirador de Ordiales, donde un desplome de casi 1.000 metros cae hasta el valle, impresionando a todo el que lo visita. En el Parque Nacional de Picos de Europa todo tipo de mascotas deben llevarse adecuadamente controladas por su dueño (atrailladas, es decir, sujetas mediante correa), excepto guardianes de rebaños y perros guía, toda vez que el Parque Nacional es zona de régimen cinegético especial y, por otra parte y dada la abundancia de ganado en determinadas épocas del año, deben evitarse las molestias al mismo.;;Las grandes áreas de roquedo, prácticamente desnudas de vegetación, constituyen la nota dominante en el paisaje de los Picos de Europa, sobre todo por encima de los 1.500 metros. En altitudes inferiores, matorrales y pastos alternan con los restos de vegetación arbolada. En la zona de potencialidad forestal los tipos de bosque dominante son los hayedos, robledales, bosques mixtos y encinares. Los tilos ofrecen su flor medicinal a los habitantes de Caín y variedades de flores nacidas en condiciones extremas, siembran de colores los recónditos senderos de las cumbres. Las características de los Picos de Europa corresponden a las del clima de alta montaña, cuyas temperaturas oscilan alrededor de los 8°C en media montaña y por debajo de los 0°C en las cumbres, donde aumentan las precipitaciones y existe una fuerte innivación, básicamente invernal.;Se combinan en este paraje una gran variedad de paisajes diferentes, que dan cobijo a un peculiar reino animal de singular importancia en el conjunto de la península Ibérica. Es habitual observar el vuelo del águila real dominando la montaña, a buitres y alimoches anidando en las escarpadas paredes de los montes, urogallos en las zonas forestales, o a los ánades reales pescando en los lagos de Covadonga, junto a las fochas del Ercina y las chovas piquigualdas que encuentran alimento a la sombra de los visitantes. Adentrándonos en los roquedos de las altas montañas es fácil toparse con los despeinados rebecos que en primavera mudan su pelaje hasta volverse de un intenso castaño rojizo. Los corzos, animales emblemáticos de estos bosques, conviven con perdices y jabalíes. Los ríos que atraviesan los Picos de Europa vibran con la revoltosa presencia de nutrias, truchas, salmones, tritones alpinos y la víbora Seoane. En las numerosas cuevas calizas, viven importantes poblaciones de murciélagos y es fácil distinguir en las majadas abandonadas a gran cantidad de lechuzas esperando la llegada de la noche para salir a cazar.;;Centro de Recepción de Visitantes, Casa Dago (Cangas de Onís). Centro de Visitantes Pedro Pidal Lagos de Covadonga (Cangas de Onís). Cueva-Exposición del Quesu y centros de producción artesanal del Queso Cabrales (DOP) (Cabrales). Rutas: del Cares (Cabrales), Entrelagos (Cangas de Onís), Panes-Alles (Peñamellera Alta y Peñamellera Baja). Espacios protegidos dentro del Parque: Monumentos Naturales de la Torca de Urriellu (Cabrales), Sistema del Trave (Cabrales), Sistema del Jitu (Onís), Red de Toneyu (Amieva). Observación de flora y fauna: águila real, rebeco, hayas. Real Sitio de Covadonga (Cangas de Onís). Lagos de Covadonga (Ercina y Enol) (Cangas de Onís). Majada de Belbín (Onís). Bulnes y su funicular Cabrales). ¿Qué debo saber antes de visitar el Parque Nacional de Los Picos de Europa?.  Así suenan Los Picos de Europa. ;;;true;43.263064,-4.775271;/documents/39908/44442/mirador-de-la-princesa.jpg/1711864d-a7dd-a303-28c1-e06442dacd91?t=1687423519941,/documents/39908/44442/lago-ercina.jpg/c406985e-512d-14b8-1455-a076c47cc984?t=1687423821068,/documents/39908/44442/ruta-carres.jpg/8cd98a15-159e-7023-b62e-da7e32fba9e2?t=1687423516167,;Mirador de La Princesa. Parque Nacional de Los Picos de Europa,Lago Ercina. Parque Nacional de Los Picos de Europa,Ruta del Cares,Vídeo del Parque Nacional de Los Picos de Europa;,,,https://www.youtube.com/watch?v=FHgKpk1SyAM;;;
;La Degollada;Candamo;;;;;;;Zona de seguridad Punto panorámico Bar / Cafetería Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa ubicada en un hermoso pinar en La Reigada, Candamo.;Falso llano en lo alto de la Sierra de Pedroso, rodeado de pinos, desde el que se avista, hacia el sureste el Monte Naranco con Oviedo al fondo, y hacia el sur, la Cordillera Cantábrica, con las Sierras del Aramo y Tameza en primer término. Muy popular es la Jira que tiene lugar cada año en el Área Recreativa de la Degollada el último domingo de mayo.;Desde Puente de Peñaflor accedemos a la carretera AS-234, en dirección a Avilés. A 200 m. parte una desviación que nos conduce directamente al área.;;;;;;;;43.444669,-6.013086;/documents/39908/61830/Candamo4.jpg/0ead69fb-412c-2d88-75a9-b79e7cdf122a?t=1674187601957;Candamo;;;;
;Puertos de Marabio;Proaza, Teverga, Yernes y Tameza;Centro de Asturias;;;;;;;;;;;;;;;;;;;;;;;;El Monumento Natural de los Puertos de Marabio está formado por dolinas y valles ciegos.;Es un espacio natural protegido por la existencia de un peculiar complejo kárstico, formado por dolinas y valles ciegos que le dan un gran interés hidrogeológico. Tiene tres grandes cavidades: el Sumidoiro del Fondadal, con 156 metros de profundidad, la Cueva del Vistulaz y el Sistema Vegalonga, que con sus 5.900 metros de desarrollo representa uno de los principales complejos subterráneos de la región. En los puertos podemos encontrar pastizales con cervuno y superficie matorral, generalmente brezales, tojales, acebos, Genista occidentalis, espinos albares y endrinos.  ;Los Puertos de Marabio se encuentran entre los concejos de Yernes y Tameza, Teverga y Proaza, y están delimitados al este por la sierra de Peña Padiella, al oeste por la Sierra de la Granda, al norte por el Pico Caldoveiro y al sur por la divisoria de aguas del río Santibáñez.;;;;;;;;+43.211932,-6.117668;/documents/39908/44097/MonumentoPuertosMarabio2.jpg/e46109cd-e982-4b1b-04de-a7eaffc032fd?t=1674172562796,/documents/39908/44097/MonumentoPuertosMarabio1.jpg/5ecc324a-1f8a-fd8d-1169-d4df6cff9614?t=1674172562147,/documents/39908/44097/MonumentoPuertosMarabio3.jpg/18172356-3917-af4a-cb61-7f17bc27a50f?t=1674172563378,/documents/39908/44097/MonumentoPuertosMarabio4.jpg/e65f1cb5-1a59-a7e3-b37f-300e13d991fc?t=1674172564415;Puertos de Marabio,Puertos de Marabio,Puertos de Marabio,Puertos de Marabio;,,,;Puertos de Marabio;;
;Puerto Cerredo;Degaña;;;;;;;Zona de seguridad Punto panorámico Bar / Cafetería Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa en una pradería alpina próxima a Cerredo, en Degaña.;A una altitud de 1.341 m. se divisa Peña Mayor y el valle del río Cerredo.;Desde Degaña por el puerto de Rañadoiro se accede al área que se encuentra en la margen izquierda en puerto Cerredo y lindando con León.;;;;;;;;42.955017,-6.439229;/documents/39908/61920/Degana4.jpg/cac7300d-fd42-c394-5ed2-3f233c84b8d0?t=1674187659231;Degaña;;;;
;Campa Felguera;Laviana;;;;;;;Zona de seguridad Punto panorámico Fuente Acceso tráfico rodado Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa de montaña próxima Villoria, en La Pola Llaviana/Pola de Laviana.;Se encuentra a una altura que ronda los 800 metros rodeada por su parte norte de montañas y con unas buenas vistas en su parte sur. El área recreativa cuenta en sus inmediaciones con una pequeña capilla dedicada a Santiago.;Desde La Pola Llaviana/Pola de Laviana tomamos dirección a Villoria por la AS-252 y en este pueblo nos desviamos a la izquierda hasta llegar a la localidad de Fechaladrona. Desde este pueblo nos quedarán unos 2 kilómetros para llegar al área.;;;;;;;;43.194003,-5.554113;/documents/39908/61812/CampaFelguera_1.jpg/139bdedc-c7c6-8f6d-9f55-be80987847c9?t=1674187594874,/documents/39908/61812/CampaFelguera_2.jpg/5072d36a-967b-30b8-4be5-2e404ec0eafb?t=1674187595495,/documents/39908/61812/CampaFelguera_3.jpg/49e22892-9b30-4a06-638e-c32ff80acbc9?t=1674187596093,/documents/39908/61812/CampaFelguera_4.jpg/dd6d1e72-f994-8321-3a6b-7f3832856beb?t=1674187596763;Área recreativa Campa Felguera,Área recreativa Campa Felguera,Área recreativa Campa Felguera,Área recreativa Campa Felguera;,,,;;;
;Valliniello;Avilés;Centro de Asturias;;;;Lg. Llantao. 33490. Valliniello;;Aparcamiento Acceso autobuses Barbacoas Mesas/bancos Agua  Zona infantil A pie de carretera Zona cercada Contenedores/papeleras;;;;;;;;;;;;;;;;;;Área boscosa con laguna y zonas para juegos infantiles y deportes.;Situada muy cerca de la ciudad de Avilés. Para acceder a ella, por la A8, hay que desviarse hacia Avilés, en dirección al puerto, y en la primera salida a la derecha hay que meterse para girar en una rotonda hacia Luanco. Después de pasar una segunda rotonda, hay que tomar la carretera a la derecha y ya llegamos al área. El aparcamiento se encuentra a pie de área. Dispone de 20 mesas con bancos, área de juegos infantiles y canchas deportivas... entre otros.;;;;;;;;;43.562667, -5.895389;/documents/39908/9035181/mesas-picnic.jpg/905e7ffa-370b-88f6-bb48-77989fb9d5d6?t=1733916941973,/documents/39908/9035181/cartel-anunciador.jpg/31f7ebec-5759-f7c8-b1ee-faca0e4ac6dd?t=1733916937941,/documents/39908/9035181/juegos-infantiles.jpg/571a5e23-0fba-26ab-58e1-e9e5a1ea0175?t=1733916940683,/documents/39908/9035181/aparcamiento+%282%29.jpg/e8655e76-718b-8c5e-7fc0-c58ff18819a2?t=1733916935112,/documents/39908/9035181/contenedor.jpg/199ed8b9-5f66-b4a2-ad1e-6bffce8ecbc6?t=1733916939309,/documents/39908/9035181/aparcamiento+%281%29.jpg/4f79a272-b48c-891f-6bb1-02e448a26c74?t=1733916933033;Mesas pícnic área recreativa,Cartel anunciador área recreativa,Juegos infantiles área recreativa Valliniello,Zona de aparcamiento,Zona de contenedores,Zona de aparcamiento;,,,,,;;;
