Nombre;Zona;Tipo;Municipio;Localidad;Días;Email;Web;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción Corta;Descripción;Coordenadas;Slide;Título;Url
San Timoteo;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Valdés;Luarca/??uarca;22 Agosto;;;;;;;;;;;San Timoteo en Luarca/??uarca, con el chambrón y la T;Las fiestas de San Timoteo comienzan en Luarca/??uarca la noche del 21 de agosto, con fuegos artificiales. En esa noche hay verbena, distintos ambientes para los distintos gustos de los más jóvenes o los más mayores. El día siguiente, 22 de agosto, se realiza la romería de San Timoteo. Por la mañana se lanzan petardos para despertar al pueblo. Las distintas peñas se equipan con los víveres y todo el mundo se dirige a la ermita de San Timoteo. La ermita está en el llamado Campo de San Timoteo. Los romeros van con grupos de gaiteros, vestidos con "chambrón", con bastón y la T de pan al cuello. Una vez se llega a la ermita, se realiza la misa y se saca al santo a una capilla exterior. Después de la sencilla ceremonia, comienza el almuerzo romero, en los campos que rodean la ermita. Más información;43.543920, -6.535111;/documents/39908/63408/San_Timoteo_1.jpg/8ba812d8-71c7-fb9d-93fd-e029a8e3c398?t=1674191255920,/documents/39908/63408/San_Timoteo_3.jpg/ac333d42-b61c-450f-d5e6-d950d06ed4dc?t=1674191257185,/documents/39908/63408/San_Timoteo_2.jpg/fb52fae8-ec6a-67f4-af43-4410da76f52d?t=1674191256498,/documents/39908/63408/San_Timoteo.jpg/3e5ff6d1-20b9-8173-d753-ae5e49346dd8?t=1674191255196;San Timoteo,San Timoteo,San Timoteo,San Timoteo;,,,
Nuestra Señora del Carmen - La Descarga;Occidente de Asturias;Fiesta de interés turístico del Principado de Asturias;Cangas del Narcea;Cangas del Narcea;16 Julio;;;;;;;;;;;El más grandioso homenaje a la Virgen en forma de pólvora;La Virgen del Carmen es una de las que concitan mayor devoción de toda Asturias, y no solo en la franja costera – es la patrona de los marineros -, sino también en el interior. Para muestra, un botón: Cangas del Narcea. Cada 16 de julio la villa canguesa vibra literalmente con la famosa Descarga. En torno a las ocho de la tarde de ese día, y justo cuando el paso de la Virgen atraviesa el viejo puente para dirigirse a su capilla, el cielo cangués se inunda de voladores y pólvora durante varios minutos. El cielo se vuelve blanco, y el embriagador aroma de la pólvora invade todos los rincones. La sensación de la Descarga es única e indescriptible, y solo viviéndola puede apreciarse en toda su dimensión. Es el eterno homenaje de las peñas canguesas a la Virgen y a los que ya no están, pero de alguna forma reviven en ese momento. Al caer la noche los artísticos y sentidos fuegos artificiales de la medianoche ponen el broche de oro a una fiesta emblemática que aúna las tres vertientes: Devoción, juerga y arte. Más información;43.175473, -6.550772;/documents/39908/63435/descarga1.jpg/2756af58-6e68-fef1-a954-95ba432ab1ab?t=1674191287815,/documents/39908/63435/Nuestra_Se%C3%B1ora_del_Carmen_La_Descarga_Cangas_1.jpg/3a92873f-0b53-746a-53b9-0f07c6fd9a5e?t=1674191289220,/documents/39908/63435/Nuestra_Se%C3%B1ora_del_Carmen_La_Descarga_Cangas_2.jpg/a3ce5be8-bde7-3cf4-a20d-cca3f5526b55?t=1674191289885,;Nuestra Señora del Carmen. La Descarga,Nuestra Señora del Carmen. La Descarga,Nuestra Señora del Carmen. La Descarga,Nuestra Señora del Carmen. La Descarga;,,,https://www.youtube.com/watch?v=30Q1O0Qs08c
Fiesta de los Huevos Pintos;Centro de Asturias;Fiesta de interés turístico;Siero;La Pola Siero;Martes de Pascua;;;https://www.facebook.com/pages/Sociedad-de-Festejos-de-Pola-de-Siero/423971514322692;;;;;;;;Fiesta de los Huevos Pintos en La Pola Siero, una artística tradición;Esta fiesta se celebra siempre el martes siguiente al Domingo de Pascua. Desde primera hora de la mañana el entorno más histórico y céntrico de La Pola Siero se llena de puestos engalanados para la ocasión en los que se pueden contemplar y adquirir Huevos Pintos, con decoraciones y tamaños muy variados, aunque la mayoría incluyen en su artístico diseño motivos alusivos a la cultura tradicional asturiana, así como distintas frases y símbolos. Un momento muy especial de esta fiesta es la Bendición de los Huevos Pintos en la plaza del Ayuntamiento, y a partir de ese instante corre la sidra, la buena gastronomía, la gaita y la fiesta, hasta culminar con una verbena que se prolonga hasta la madrugada. La tradición de los Huevos Pintos es de incierto origen y tiene varios siglos. Concretamente en Siero se ha transmitido de forma oral de generación en generación, y tal vez está vinculada - es solo una hipótesis - que llegaron de Centroeuropa a trabajar en las minas tanto en Siero como en Langreo, donde se exploran los primeros yacimientos de hulla. Más información;43.393427, -5.660276;/documents/39908/63378/Fiesta_de_los_Huevos_Pintos_3.jpg/f000c682-4d98-7fcb-a6ac-9ba3deea0706?t=1674191220303,/documents/39908/63378/Fiesta_de_los_Huevos_Pintos_1.jpg/95da0591-593d-6915-297d-b4569abd5589?t=1674191219091,/documents/39908/63378/Fiesta_de_los_Huevos_Pintos.jpg/06a13e54-2ff2-01c4-c4ed-1e6e2974aaaa?t=1674191218527,/documents/39908/63378/Fiesta_de_los_Huevos_Pintos_2.jpg/5535fa66-2fb9-2757-01d4-5e9a1cb50d76?t=1674191219717;Fiesta de los Huevos Pintos 1,Fiesta de los Huevos Pintos 2,Fiesta de los Huevos Pintos 3,Fiesta de los Huevos Pintos 4;,,,
Sacramental de Cue;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Llanes;Cue;24 Junio;;;;;;;;;;;O el arte por los suelos;La localidad de Cue, situada a 2 kilómetros de la capital del concejo, Llanes, celebra el 24 de junio su fiesta patronal. Tras días de duro e intenso trabajo por parte de los vecinos, el día 24 las calles de la localidad se muestran adornadas con alfombras florales que conducen a cada uno de los dos altares y por los que transitan las procesiones que tienen lugar a primera hora de la tarde y tras la misa. La procesión es recibida en cada barrio con una generosa descarga de voladores. La elaboración de las alfombras cuenta con un pequeño pique amistoso entre Barrio de Arriba y de Abajo por elaborar la más vistosa y colorida. Cada uno de los barrios presentan características particulares en la confección de sus alfombras. Así, en el del Barrio de Abajo, cuyo símbolo floral es la siempreviva, se utilizan también otros materiales perecederos como la hierba cortada y la turba. En el Barrio de Arriba, cuyo símbolo floral es el clavel, se emplea además grijo teñido con tinte de agua, cenoyu y espadañas. En ambos predominan los motivos religiosos. La sacramental es sin duda una de las fiestas más coloridas, aromáticas y rituales de todo el oriente asturiano. Más información;43.411693, -4.735728;/documents/39908/63411/fit_sacramental_cue.jpg/3caffc1e-dcbd-20a6-e7c9-6e05ad6080e5?t=1674191257786;Alfombras Florales en Cue;
Fiesta de El Bollo;Centro de Asturias;Fiesta de interés turístico;Avilés;Avilés;Lunes de Pascua;;;;;;;;;;;Fiesta de El Bollo en Avilés, el más animado almuerzo en el casco histórico de la Villa del Adelantado;La Fiesta de El Bollo en Avilés es el colofón ideal a las fiestas de Semana Santa en Avilés, también conocida como Villa del Adelantado en clara referencia a la insigne figura de D. Pedro Menéndez, marino y fundador de la primera ciudad de Estados Unidos. La fiesta se celebra el domingo y el lunes de Pascua. El domingo hay desfile de carrozas y grupos folclóricos, y el lunes, tras la misa en San Nicolás de Bari y el correspondiente pregón, una multitudinaria comida de confraternización en las calles del Casco Antiguo de Avilés. La verdad es que no existe nada parecido en toda Asturias: miles de personas sentados para cuenta de manjares astures varios y como escenario uno de los Cascos Históricos más importantes de España. Por cierto, la fiesta recibe su nombre, del bollo o bizcocho regalado por los padrinos a sus ahijados el Domingo de Pascua.  Más información;43.553603, -5.920635;/documents/39908/63579/Bollo_Aviles_4.jpg/fbd9c728-8e18-7076-ae36-39e2227cd71a?t=1674191465275,/documents/39908/63579/Bollo_Aviles_1.jpg/a646f96d-5e81-b2c4-a0e3-4c213f5a5d4c?t=1674191463445,/documents/39908/63579/Bollo_Aviles_2.jpg/ae00fbdd-d774-58c7-712a-e98cf24a6bca?t=1674191464106,/documents/39908/63579/bollo2.jpg/e26ba985-e605-593d-09c5-d36bec3f2a22?t=1726652533014;Fiesta del Bollo en Avilés,Fiesta del Bollo en Avilés,Fiesta del Bollo en Avilés,Fiesta del Bollo en Avilés;,,,
San Roque;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Tineo;Tinéu;16 Agosto;;;;;;;;;;;San Roque en Tineo, la fiesta más jacobea;Son las fiestas más importantes de Tineo y se celebran en el Campo de San Roque y en la villa, a mediados del mes de agosto. Los días grandes de las fiestas son el 15 de agosto (Día del Bollo) y el 16 de Agosto (Día Grande de San Roque), pero las fiestas tienen su comienzo unos días antes, con el Día de las Peñas, y finalizan, el 18 de Agosto (Fin de Fiestas) Para buscar el origen de las fiestas de San Roque hay que remontarse a cuando fue fundada la Capilla en el Campo de San Roque en el siglo XIV y los peregrinos que iban camino a Santiago de Compostela homenajeaban al santo en su festividad. En el siglo XIX, llegado el 16 de agosto, se reunían en torno a la ermita gentes con ganado, especialmente ovino y caprino, para vender o comprar y, alrededor de ellos, ocupaban sitio gentes de la villa que vendían patatas cocidas, avellanas, pan de escanda y otros productos de la tierra. Hoy en día se continúa con aquella tradición de la comida en el campo, que la aparición de las "peñas" (en la última década del siglo XX) ha venido a incrementar notablemente. Las barricas de sidra y vino son ya un espectáculo habitual en el campo al lado de las cestas repletas de comidas típicas tinetenses: jamón, lomo, chosco y todo tipo de embutidos y productos cárnicos. Es y será el gran momento de la unión familiar y uno de los principales acontecimientos de la fiesta. Fundamental sigue siendo, el Campeonato de Bolos de la modalidad Tineo que se sigue celebrando en la bolera del Campo de san Roque, y el Desfile de Carrozas, que tiene lugar el 18 de agosto, que es desde el siglo XX toda una tradición, junto con la elección de las Reina de las fiestas. Estas fiestas son la cita anual de las familias y el retorno de los tinetenses ausentes. Más información;43.338952, -6.403307;/documents/39908/63462/San_Roque_Tineo_2.jpg/ec33347b-89e1-8d32-8ff6-608b63f4c724?t=1674191320338,/documents/39908/63462/San_Roque_Tineo.jpg/351bebab-e4da-ad53-e0c5-1c44e54bedb4?t=1674191319024,/documents/39908/63462/San_Roque_Tineo_1.jpg/3328eac9-9fcb-7e39-c668-400d65c7894c?t=1674191319686,/documents/39908/63462/San_Roque_Tineo_3.jpg/5570e634-ea5b-5314-b2b7-4faf7863f83a?t=1674191321487;San Roque,San Roque,San Roque,San Roque;,,,
Fiesta de Santa María Magdalena en Cangas del Narcea;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Cangas del Narcea;Cangas del Narcea;22 Julio;;;;;;;;;;;El complemento ideal del Carmen;Las Fiestas de Santa María Magdalena no se conciben sin las Fiestas del Carmen, ni éstas sin aquellas. En realidad las fiestas de la Magdalena son una prolongación de las primeras, y es precisamente este nuevo episodio festivo el que hace que los cangueses se pasen casi todo el mes de julio viviendo por y para las devociones y procesiones de sus vírgenes. El Día grande de esta fiesta coincide seis después de la Fiesta del Carmen. Ese día hay procesión, misa en la basílica, una tirada (de voladores) en honor a la virgen, y por supuesto no falta la jira y una animada verbena. Con estas fiestas se pone el broche de oro a varias semanas de ininterrumpida fiesta y animación en la villa canguesa, que luce a rebosar de turistas, lugareños y cangueses que se encuentran fuera de su tierra y regresan cada año ávidos de encuentros familiares, pólvora y devoción. Y por supuesto todas estas fiestas conllevan numerosos actos lúdicos y culturales que transcurren a lo largo del mes de julio. Más información;43.177883, -6.549943;/documents/39908/63495/Fiesta_de_Santa_Maria_Magdalena_Cangas_del_Narcea.jpg/e1f50396-4c79-1b20-79b3-cdecd534613f?t=1674191364031,/documents/39908/63495/fit_magdalena_cangas_narcea.jpg/bb2ac2a3-ba95-5bbe-6e9b-00116b210706?t=1674191363457;Fiesta de Santa María Magdalena,Fiesta de Santa María Magdalena;,
Certamen del Queso de Cabrales;Oriente de Asturias;Fiesta de interés turístico del Principado de Asturias;Cabrales;Arenas;25 Agosto;;;;;;;;;;;La fiesta más sabrosa;El último domingo de cada mes de agosto Arenas se engalana para celebrar el certamen de uno de los quesos más conocidos y célebres del mundo: El queso de Cabrales. Ese día los cabraliegos echan la casa por la ventana, y  tanto lugareños como foráneos se afanan en conocer todos los quesos que compiten y en disfrutar del ambiente de fiesta asturiana que allí tiene lugar desde primera hora de la mañana. La jornada es intensa y sabrosa, y no faltan las bandas de gaitas y los grupos folclóricos. Durante toda la semana tienen lugar diferentes actos culturales y gastronómicos vinculados al queso y su entorno, que van desde catas, visitas a museos y cuevas, exposiciones, presentaciones, mercáu tradicional, rutas etnográficas, partidas de bolos, festival folclóricos, exposición de trajes de aldeana, etc. En definitiva todo un homenaje a la cultura del queso y al medio social y natural en el que elabora. Y en realidad mucho más que una fiesta gastronómica. Sin duda una de las citas ineludibles en el verano asturiano. Más información;43.302694, -4.816613;/documents/39908/63507/certamenCabrales2.jpg/3cf8269d-6043-994b-ec8b-e4773ff02342?t=1674191385424,/documents/39908/63507/certamenCabrales1.jpg/53df10ed-5f06-0116-526b-b1b44d8def13?t=1674191384775,;Queso de Cabrales,Queso de Cabrales,Queso de Cabrales;,,https://www.youtube.com/watch?v=1l4Wl7eBEUQ
Feria del Salmón;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Salas;Corniana/Cornellana;Abril (13 y 14);;;;;;;;;;;Feria del Salmón en Corniana/Cornellana, un verdadero homenaje al rey del río;La feria del Salmón es una ocasión ideal para conocer Corniana/Cornellana y todas las bellezas de su entorno, tanto a nivel natural como cultural. El mes de abril, época en la que se abre la veda de la pesca con muerte, es el tiempo propicio para esta original cita, dedicada de manera monográfica al salmón y su medio. Además, la feria cuenta con el aliciente de la subasta del Campanu de Asturias (el primer salmón de la temporada), que se convierte en todo un acontecimiento social, deportivo y cultural en esta tierra. La vida del salmón y su entorno son el eje central de una feria donde las actividades en la naturaleza, principalmente la pesca y la caza, así como otras vinculadas al turismo activo son un verdadero aliciente para propios y foráneos. Paralelamente al desarrollo de la feria, se programan actividades relacionadas con los atractivos de Cornellana y el río Narcea, como es una ruta del salmón guiada, o algunas visitas al imponente monasterio de San Salvador de Cornellana, uno de los más significativos hitos del Camino de Santiago. Más información;43.412317, -6.157626;/documents/39908/63624/Feria_del_Salmon_2.jpg/e5a2d3a4-9fa3-5c50-952a-7e2ec127fcd1?t=1674191532453,/documents/39908/63624/Feria_del_Salmon.jpg/e8e0fc47-3db7-d3e6-1e35-3906727cbc0b?t=1674191530008,/documents/39908/63624/Feria_del_Salmon_3.jpg/83aefb10-8dd4-a105-293b-33e62d362865?t=1674191533080,/documents/39908/63624/Feria_del_Salmon_1.jpg/173e24b0-aa33-f6b4-cedb-f3b99b824635?t=1674191531773;Feria del Salmón,Feria del Salmón,Feria del Salmón,Feria del Salmón;,,,
Festival de la Sidra Natural en Nava;Centro de Asturias;Fiesta de interés turístico nacional;Nava;Nava;Julio (13 y 14);;www.lacomarcadelasidra.com;;;;;;;;;Festival de la Sidra Natural de Nava, genuino donde los haya;Es el más veterano de los festivales sidreros que se celebran en Asturias, y data de la década de los años 60 del siglo XX. Lo que comenzó como un homenaje a la bebida asturiana por excelencia se ha consolidado como una fiesta a la que acuden miles de personas cada año, y que se celebra en pleno verano. Este festival, en el que hay concurso de sidras y de escanciadores de sidra, cuenta con numerosas actividades vinculadas al mundo de la manzana y la sidra, y de la cultura y tradiciones asturianas, y renueva su programa año a año. El lugar en el que se celebra, Nava, es una de las capitales asturianas de la producción sidrera, y allí se encuentran productores y llagareros que tienen instalaciones clásicas y otras totalmente modernas. Además, esta villa de la Comarca de la Sidra es muy conocida dentro y fuera de Asturias por ser la sede del Museo de la Sidra, donde de forma amena e interactiva se puede conocer el mundo y la cultura de la sidra, desde sus inicios hasta el momento presente. Más información;43.358222, -5.506580;/documents/39908/63417/Festival_de_la_Sidra_Natural_Nava_1.jpg/b3751a6f-3424-5656-73d7-05918ad932d3?t=1674191264988,/documents/39908/63417/Festival_de_la_Sidra_Natural_Nava.jpg/88976662-fd53-69b0-0892-b8747f19ccb6?t=1674191264374,/documents/39908/63417/Festival_de_la_Sidra_Natural_Nava_2.jpg/b2032b94-7c79-a58c-7b28-750981835793?t=1674191265548,/documents/39908/63417/Festival_de_la_Sidra_Natural_Nava_3.jpg/3b6336d5-2729-08e3-0d8f-cd6b2b5d7570?t=1674191266095;Festival de la Sidra Natural de Nava,Festival de la Sidra Natural de Nava,Festival de la Sidra Natural de Nava,Festival de la Sidra Natural de Nava;,,,
