Nombre;Concejo;Zona;Dirección;Código postal;Localidad;Teléfono;Email;Web;Más información;Archivo;Título;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Título;Texto;Horario;Tarifas;Fecha de Construcción;Observaciones;Coordenadas;Slide;Título;Url;Limitación del tamaño/peso de la mascota;Se admiten P.P.P - Perros potencialmente peligrosos;Número máximo de perros por persona;Cupo máximo de perros en el interior;Acceso al interior;Acceso a terraza o zona exterior;Admiten otras mascotas además de perros;Otras mascotas permitidas;Detalle de las normas específicas
CI del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 'Casa Florencio';Degaña;Occidente de Asturias;Bº San Roque;33812;Zarréu;610 588 462;turismodegania@degania.org;https://www.degania.org;;/documents/39908/3854133/CALENDARIO+RENA+2024.pdf/15cbaad7-8593-72fb-42ac-d624a866e947?t=1706016277328;Agenda de Jornadas y Actividades;https://www.facebook.com/Turismo-Dega%C3%B1a-104271048061243;;;;;;;;Casona de siglo XIX con hórreo de cubierta de pizarra y Capilla en la misma finca. En la actualidad alberga la Oficina Municipal de Turismo de Degaña, las Oficinas de la Guardería Rural y la Exposición temporal SEPTIMIVS NERVA;La Casona sigue la tipología de la arquitectura tradicional popular de la zona, mantiene la distribución original de dos plantas en forma de "L", con las distintas estancias, las destinadas al ganado vacuno y a las destinadas a vivienda como La L.lariega. Todo el conjunto gira alrededor de un patio central empedrado, con hórreo de cubierta de pizarra (originalmente era de paja), y Capilla dedicada a la Virgen del Carmen con un retablo barroco policromado de la primera mitad del siglo XVIII. En la actualidad alberga la Oficina Municipal de Turismo de Degaña, las Oficinas de la Guardería Rural y la Exposición temporal SEPTIMIVS NERVA, organizada por el Ayuntamiento de Degaña en colaboración con la Asociación Histórico- Cultural ANTIQVI MORES. En el futuro, se tiene intención de organizar más exposiciones en colaboración con las Asociaciones Culturales del concejo. Prohibido el acceso con mascotas al interior.;01/07 a 30/09 y Semana Santa (jueves a domingo): 10:00 a 14:00 y 15:00 a 18:30 h.;Adultos: 1,5 € Gratis: +65 años, - 6 años y residentes en el concejo;;;;/documents/39908/46464/ot-degana.jpg/ed7d3245-e531-f196-f9a3-fba36c60119d?t=1674175211336,/documents/39908/46464/IMG_20200825_131846%281%29.jpg/e29bf7ba-5e92-562a-3019-4bba8d6c6158?t=1674175209520,/documents/39908/46464/IMG_20200825_131853%281%29.jpg/1cf1d9c3-85b7-e345-1514-3e8c4e0a1a87?t=1674175210431,/documents/39908/46464/IMG_20200825_131512%282%29.jpg/9d15ee7c-c670-f3ae-e94d-140343831762?t=1674175208603;Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 'Casa Florencio',Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 'Casa Florencio',Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 'Casa Florencio',Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 'Casa Florencio';,,,;;;;;;;;;
Museo de la Escuela Rural de Asturias;Cabranes;Oriente de Asturias;Carretera AS-255, km 7.5;33310;Viñón;985 898 213;museodelaescuelarural@cabranes.es;;;;;;;;;;;;;En esta antigua escuela, construida en 1908, el visitante se verá inmerso en una atmósfera que le transportará a otro tiempo;La pretensión de dichas colecciones es la de ilustrar la vida en un concejo del interior de Asturias. "El hogar" está representado a través de mobiliario y enseres que nunca faltaban en una casa de aldea, maseras, aparadores... los cuales sirven de soporte para exhibir una amplia muestra de cerámica tradicional Asturiana. La segunda planta está dedicada a "La Escuela" con un aula documental y la recreación de un "Aula del ayer", dispuesta conforme al recuerdo de sus protagonistas, junto con los pupitres, enciclopedias, mapas...aportando al visitante una amplia visión, no exenta de nostalgia, sobre la escuela tradicional. Hay posibilidad de visitas guiadas.;Miércoles, jueves y domingo: 11:00 a 14:00 h.. Viernes y sábado: 11:00 a 14:00  y 17:00 a 19:00 h. Cerrado: 9, 30 y 31 de agosto.  ;Individual: 2 € Grupos > 20 pax: 1,50 € Miércoles y < 12 años: Gratis ;;;43.427449,-5.42417;/documents/39908/46905/2022-museo-escuela-rural+%281%29.jpg/5c38df80-c15b-7b52-abac-a0647079d634?t=1674175524406,/documents/39908/46905/2022-museo-escuela-rural+%285%29.jpg/9c155d4d-e466-05ab-f5c1-913fd6a5b580?t=1674175527029,/documents/39908/46905/2022-museo-escuela-rural+%282%29.jpg/4cf1e896-ef91-0dd3-adb3-1644e78d2f02?t=1674175525061,/documents/39908/46905/2022-museo-escuela-rural+%284%29.jpg/97cdcfbe-f70b-b67e-d151-7321e32411c0?t=1674175526285;Museo de la Escuela Rural de Asturias,Museo de la Escuela Rural de Asturias,Museo de la Escuela Rural de Asturias,Museo de la Escuela Rural de Asturias;,,,;Hasta 7 Kg;No;1;;Si;Si;No;;Hay varias salas para visitar, las personas con perro deben de esperar a que no haya otros visitantes. Los perros deben de estar en todo momento en el cuello de sus dueños.  El museo es pequeño no se pueden tener perros deambulando... aunque esten atados, tropiezan con muebles, con otras personas etc. Es necesario que no ladren, ningún visitante tiene ganas de escuchar un perro ladrando durante una hora.
Colegiata de Nuestra Señora de Covadonga;Cangas de Onís;Oriente de Asturias;;33589;Cuadonga/Covadonga;985 846 035;;;;;;;;;;;;;;Tiene su origen en el siglo XVII.;La Colegiata de Covadonga está ubicada en una plaza del entorno de la Basílica de Covadonga. La Colegiata de San Fernando ocupa el lado izquierdo de la misma, mientras que el frente y el lado derecho son construcciones contemporáneas. La Colegiata de San Fernando tiene origen en el siglo XVII, aunque ha sufrido remodelaciones. Se estructura en planta rectangular, dividida en dos pisos, en torno a un patio interior. Tiene una torre en uno de los extremos y una capilla ocupa el lado próximo a la cueva. Los materiales utilizados son mampostería para los muros y sillería en las esquinas, líneas de imposta, realce de vanos, etc. La cubierta es a dos aguas en el cuerpo central y cinco para la torre. En la fachada principal se abre una puerta de arco recto moldeado, y flanqueada por dos pilastras de piedra que se prolongan hasta la parte superior del edificio. Encima de la puerta se abre un balcón que se corona por un frontón con escudo. Desde la puerta se accede al patio interior. La planta baja del claustro es de arquería de medio punto sobre pilar de sección cuadrada. El piso superior se sujeta con pies derechos de madera y barandilla. En el patio se conservan dos sepulcros de difícil datación. La torre, de sección cuadrada, ofrece una gran austeridad de fachadas, sólo interrumpida por líneas de impostas y los vanos abiertos en sus muros.;;;Siglo XVII;Posible visita si se habla con las monjas de la Casa de Ejercicios, que está al lado.;43.307926,-5.054678;/documents/39908/46590/ColegiatadeNuestraSenoradeCovadonga1.jpg/da4a6d0e-ab33-cd89-0583-c6142cd84c00?t=1674175290157,/documents/39908/46590/ColegiatadeNuestraSenoradeCovadonga2.jpg/224f25d9-8329-0b45-bc68-10921b48a6e3?t=1674175290746,/documents/39908/46590/ColegiatadeNuestraSenoradeCovadonga3.jpg/c801599f-4c08-b1f4-324b-b8656bfebd41?t=1674175291480;,,;,,;;;;;;;;;
Exposición Permanente Semana Santa de Villaviciosa;Villaviciosa;Oriente de Asturias;Plaza San Francisco;33300;Villaviciosa;;nazarenovilla@yahoo.es;https://semanasantadevillaviciosa.com/museo;;;;https://www.facebook.com/cofradiajesusnazarenovilla;;;;https://www.instagram.com/nazarenovillaviciosa;;;;La Sala Museo aglutina la esencia de la Semana Santa Villaviciosina en un espacio desde el cuál los visitantes pueden disfrutar de los tesoros de la Cofradía de Jesús Nazareno.;En dicha sala se puede encontrar casi en su totalidad las Imágenes con sus andas, farolillos y estandartes que llenan las calles de Villaviciosa desde el domingo de Ramos hasta el domingo de Resurrección, así como un recorrido fotográfico sobre lo que fueron y lo que son nuestras procesiones. Completa la exposición un audiovisual en el que se explica más detalladamente lo que es, lo que significa y la valía que tiene la Semana Santa villaviciosina, no solo desde el punto de vista religioso, sino también como una forma de manifestación cultural, artística e histórica.  ;Julio y agosto: Martes a sábado: 11:30 a 13:30 y 17:00 a 20:00 h. 06/12 a 05/01:   Lunes a domingo: 12:00 a 14:00 y 17:00 a 20:00 h. Resto del año (consultar): nazarenovilla@yahoo.es;Gratuito;;;43.47907,-5.43408;/documents/39908/11640261/museo-semana-santa+%281%29.jpg/2df65213-09ee-f1c1-3a85-fc2be78077c6?t=1738670316356,/documents/39908/11640261/museo-semana-santa+%284%29.jpg/711de369-04f7-c2ae-e22f-70ebda6e5bc2?t=1738670322940,/documents/39908/11640261/museo-semana-santa+%283%29.jpg/6932432a-3e32-9fdc-dc11-02388f015538?t=1738670320991,/documents/39908/11640261/museo-semana-santa+%285%29.jpg/8b16d067-6697-ff5d-e539-262838e345b8?t=1738670324853;Exposición Permanente Semana Santa de Villaviciosa,Exposición Permanente Semana Santa de Villaviciosa,Exposición Permanente Semana Santa de Villaviciosa,Exposición Permanente Semana Santa de Villaviciosa;,,,;;;;;;;;;
Centro de Interpretación Armando Palacio Valdés;Laviana;Centro de Asturias;AS252;33987;Entrialgo;985 611 377;palaciovaldes@laviana.es;;;;;;;;;;;;;El Centro de Interpretación se ubica en la Casa Natal del autor de "La Aldea Perdida";Este centro se encuentra en una casona rural de dos plantas levantada en el siglo XVIII, que ha experimentado sucesivas ampliaciones y modificaciones. El edificio está compuesto de tres cuerpos, el central más adelantado, y dos laterales en los que destacan los corredores de la primera planta. En la planta baja se encuentran la recepción, la tienda, una sala multiusos, las oficinas y talleres para diversos usos. En la planta alta se ubica el museo propiamente dicho. Alguno de los espacios en que ha sido dividida lleva un nombre relacionado con la novela "La Aldea Perdida". En el centro podremos ver una serie de exposiciones permanentes: El hombre. El microcosmos del autor. El entorno humano y el medio natural que le ve nacer. La obra literaria. Un reflejo de su producción literaria y de la difusión de la misma. Podemos oír su voz y escuchar algún extracto de las novelas. Nolo y Demetria. El ritmo vital del campesino viene señalado por las actividades diarias y por el ciclo estacional. El novelista describe paisaje, personajes, lugares, viviendas y actividades. Plutón y Joyana. Nace una nueva manera de ganarse la vida. El trabajo en el interior, el sonido de la pica contra la roca sustituye al repiqueteo del martillo al cabruñar. Negrura, explosiones, escombros, vagones, ruido, carbón, mucho carbón... El territorio. Un espacio poblado desde antiguo que aglutina caracteres rurales y urbanos. Actividades agrícolas y ganaderas conviven con la explotación del carbón y los espacios naturales.;Cerrado temporalmente;;;;43.235699,-5.552755;/documents/39908/46893/MuseoArmandoPalacio1.jpg/fae4c099-496a-d68a-e408-ba6f38833f37?t=1703583711259,/documents/39908/46893/MuseoArmandoPalacio3.jpg/3bd8e7db-8bd9-fad1-e60f-43a4b0aea7bd?t=1674175511238,/documents/39908/46893/MuseoArmandoPalacio4.jpg/779de1fb-6eb6-3b8a-366b-fd31838df727?t=1674175511948;Centro de Interpretación Armando Palacio Valdés,Centro de Interpretación Armando Palacio Valdés,Centro de Interpretación Armando Palacio Valdés;,,;;;;;;;;;
Dolmen de Entrerríos;Illano;Occidente de Asturias;;33734;Enterríos;;;;https://www.castrosdeasturias.es/castros/58/15/dolmen-de-entrerrios;;;;;;;;;;;La monumentalidad del dolmen lo convierte en uno de los ejemplos más soberbios de la arquitectura megalítica regional.;Dice la leyenda, que el dolmen de Entrerríos o de la Llastra (piedra) da Filadoira, la transportada una vieja hilandera en la cabeza sin parar de hilar, por toda la sierra desde San Roque hasta la Sierra de Entrerríos, para colocarla como cubierta de un dolmen. Alejándonos de leyendas, la más antigua huella del paso del hombre por estas tierras altas de la cuenca del Navia han sido las correspondientes a las primeras comunidades vinculadas a una economía de producción. Ligados a una actividad ganadera y a una incipiente explotación agrícola del territorio, no renuncian a la tradicional actividad de caza y recolección. Estos grupos fueron los constructores de las primeras arquitecturas monumentales que conocemos, dólmenes, círculos líticos y estructuras tumulares diversas. Son éstas, construcciones megalíticas de carácter funerario no exentas de cierto contenido territorial. La necrópolis de Entrerríos está compuesta por cinco túmulos. Presenta una cámara de planta poligonal de la que desaparecieron los ortostatos que cerraban el lado N. En el E. Se abriría la entrada a través de un corredor, solamente iniciado, compuesto por dos bloques dispuestos paralelamente y con una cámara amplia cerrada superiormente por un gran bloque de cubrición.;Visita libre.;     ;IV-III milenio A.C.;CÓMO LLEGAR: carretera AS-12 Navia-Grandas de Salime. Tomar la desviación a Entrerríos. Permitido el acceso de mascotas.;43.269351,-6.348085;/documents/39908/46152/dolmen+de+Entrerr%C3%ADos+o+de+la+Llastra+%28piedra%29+da+Filadoira+%283%29.jpg/87a4bf9d-6f00-bea3-a9d5-6c8ac9f4939e?t=1674174841532,/documents/39908/46152/dolmen+de+Entrerr%C3%ADos+o+de+la+Llastra+%28piedra%29+da+Filadoira+%282%29.jpg/e4cef5be-445e-6c18-b850-274eb9fe7dc5?t=1674174840895,/documents/39908/46152/dolmen+de+Entrerr%C3%ADos+o+de+la+Llastra+%28piedra%29+da+Filadoira+%284%29.jpg/bf9f4df6-9cfc-9252-362b-00d8df0b52f0?t=1674174842127,/documents/39908/46152/dolmen+de+Entrerr%C3%ADos+o+de+la+Llastra+%28piedra%29+da+Filadoira+%281%29.jpg/3eab5394-158f-d8f1-4832-78a7c30bce47?t=1674174840332;Dolmen de Entrerríos,Dolmen de Entrerríos,Dolmen de Entrerríos,Dolmen de Entrerríos;,,,;;;;;;;;;
Museo de la Siderurgia de Asturias (MUSI);Langreo;Centro de Asturias;C/ Hornos Altos (Ciudad Industrial Valnalón);33930;La Felguera;985 678 477;info@musiasturias.es;https://www.ayto-langreo.es/web/musi;;;;https://www.facebook.com/MUSIAsturias;https://twitter.com/MUSIAsturias;;;https://www.instagram.com/MUSIAsturias/;;;;Una impresionante torre de refrigeración de la antigua fábrica siderúrgica de la empresa Duro Felguera alberga el Museo de la Siderurgia de Asturias;La singular construcción troncocónica, de 45 metros de altura, conforma un espacio circular distribuido en tres pisos y cubierto por un lucernario que ofrece una vertiginosa vista de las paredes de la gran chimenea. El recorrido por sus salas nos habla de una época y un territorio marcado por la gran aventura industrial de Duro y Compañía, que a mediados del siglo XIX creó en La Felguera una fábrica siderúrgica pionera en España. En la planta baja se encuentra, además de la recepción, una magnífica maqueta de la fábrica, el desarrollo del proceso siderúrgico integral y la sala de audiovisuales, donde podremos disfrutar de la proyección de un video explicativo sobre la fabricación del acero. En la primera planta encontraremos paneles y maquetas junto con otros objetos, la colección propiamente dicha, que nos acercan al territorio de las Cuencas Mineras, lugar de origen y desarrollo no solo de la minería sino también de la siderurgia en Asturias a lo largo de los siglos XIX y XX. También podremos contemplar en esta planta el despacho de D. Pedro Duro junto con algunos magnificos documentos del s.XIX. En la planta inferior, y para terminar, encontraremos la Sala Bayer, un interesante espacio de paneles donde se muestra la historia de la Aspirina y cómo la farmacéutica alemana asentó una factoría en el concejo de Llangréu / Langreo.;Horarios:  01/01 a 29/02 y 01/11 a 31/12: Sábado: 9:45 a 14:00 y 15:45 a 19:00 h.  Domingo: 9:45 a 14:00 h. 01/03 a 31/03: Viernes: 9:00 a 14:00 h.  Sábado: 9:45 a 14:00 y 15:45 a 19:00 h. Domingo: 9:45 a 14:00 h.  01/04 a 30/06 y 01/09 a 31/10:  Viernes y sábado: 9:45 a 14:00 y 15:45 a 19:00 h. Domingo: 9:45 a 14:00 h.  01/07 a 31/08:  Martes a sábado: 9:45 a 14:00 y 15:45 a 19:00 h.  Domingo: 9:45 a 14:00 h.  Tarifas:  Consultar aquí;;;Acceso practicable y movilidad interior accesible.  ;43.308876,-5.687857;/documents/39908/46803/MUSI1.jpg/595bc070-24c8-d0dc-744a-e3e50fc2656a?t=1674175381529,/documents/39908/46803/MUSI2.JPG/99123e57-a970-4f39-e7be-0a28e604c344?t=1674175382136,/documents/39908/46803/MUSI3.jpg/d3b0ae98-6da0-caad-c729-400248960020?t=1674175383890,/documents/39908/46803/MUSI4.jpg/6487ab2e-970d-b7d9-31e2-01294123af0c?t=1674175384538;Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI;,,,;;;;;;;;;
Centro de Interpretación de la Ría del Nalón 'Puerta del Mar';Soto del Barco;Centro de Asturias;Edificio Puerta del Mar;33125;L'Arena;985 586 558;turismo-festejos@sotodelbarco.com;;;;;;;;;;;;;La exposición permanente del Centro de Interpretación Puerta del Mar, recrea la historia de la industria de la pesca de la angula y las vidas de las carboneras;La Puerta del Mar cuenta con una exposición permanente donde se desarrollan contenidos relacionados con las características medioambientales de la Ría del Nalón y la cultura etnográfica del concejo. La importancia de la angula y su ciclo biológico, centran buena parte de su exposición, junto con otras actividades que supusieron uno de los motores económicos del lugar como fueron las Fábricas de Conservas de Pescado y la recogida del Carbón en la Ría.;Julio y agosto: Imprescindible reservar: 985 586 558 / turismo@sotodelbarco.com;Gratuito;;;43.556963,-6.076272;/documents/39908/46362/2022-CI+de+la+R%C3%ADa+del+Nal%C3%B3n+Puerta+del+Mar+%281%29.jpg/3f2745d3-9fe2-647b-e031-9351e91dcf2d?t=1674175074179,/documents/39908/46362/2022-CI+de+la+R%C3%ADa+del+Nal%C3%B3n+Puerta+del+Mar+%282%29.jpg/ac793766-85ae-f293-b7e5-93cfa8e3360a?t=1674175074736,/documents/39908/46362/2022-CI+de+la+R%C3%ADa+del+Nal%C3%B3n+Puerta+del+Mar+%283%29.jpg/87bf8b06-1cde-6f74-b368-9d880a446d1b?t=1674175075415,/documents/39908/46362/InterpretacionNalon2.jpg/76ba464d-7447-e7cd-9c21-a0e431872109?t=1674175073630;Exterior del Centro de Interpretación de la Ría del Nalón 'Puerta del Mar',Interior del Centro de Interpretación de la Ría del Nalón 'Puerta del Mar',Interior del Centro de Interpretación de la Ría del Nalón 'Puerta del Mar',Interior del Centro de Interpretación de la Ría del Nalón 'Puerta del Mar';,,,;;;;;;;;;
Centro de Interpretación de la Cueva de la Peña;Candamo;Occidente de Asturias;Palacio Valdés-Bazán;33828;San Román;678 764 207;casacultura@candamo.es;;;;;;;;;;;;;La mejor interpretación del arte rupestre;Tras varios años de forzoso cierre de la Cueva de la Peña para permitir la recuperación de las pinturas prehistóricas, hoy puede ser visitada por un pequeño número de personas durante un corto espacio de tiempo al año, de tal manera que la demanda supera la escasa oferta de visitas. Por ello, el Centro de Interpretación contribuye a paliar muchos de esos deseos que no pueden ser satisfechos. El centro muestra, mediante representaciones volumétricas a escala, los principales conjuntos de pinturas y grabados paleolíticos existentes en la Cueva de la Peña y está destinado a una mejor comprensión, conocimiento y difusión del arte paleolítico asturiano y en concreto de la Cueva de la Peña. El palacio Valdés-Bazán es una casona nobiliaria, construida a principios del siglo XVII, en la localidad de San Román. Cuenta con diversos espacios dedicados a las actividades desarrolladas en el concejo, tales como: biblioteca pública, sala de conferencias, aulas de informática y salas polivalentes (talleres de artesanía, etc.). Asimismo acoge una sala de exposiciones temporales y dos aulas dedicadas a la Cueva de la Peña. Dicha caverna está situada en la misma localidad de San Román. Su acceso se restringe a cupos de 25 personas al día, durante los meses de julio, agosto y primera quincena de septiembre, previa reserva en el Ayuntamiento de Candamo. La cueva conserva pinturas y grabados realizados durante los periodos Solutrense y Magdaleniense (18000-13000 A.C.);Martes y jueves: 11:00 a 18:00 h. Servicio de guía: 10:00, 11:00, 12:00 y 13:00 h. Cerrado: 01/10 a 31/10;Individual: 2 € Niños (hasta 16): 1 € Grupo adultos (+15): 1,50 € Grupo niños (+15): 0,60 € Gratis: miércoles ;;;43.450294,-6.073628;/documents/39908/46344/2022-CavernaCandamo3+%281%29.jpg/0b5971a6-8797-ca09-eadc-b311b1d82de8?t=1674175054792,/documents/39908/46344/2022-CavernaCandamo3+%282%29.jpg/9fb27e68-3247-77f4-2f7a-610d7ee5dd66?t=1674175055411,/documents/39908/46344/2022-CavernaCandamo3+%284%29.jpg/f4de0a4f-f6db-43fe-36b1-ad0e5798efd9?t=1674175056563,/documents/39908/46344/2022-CavernaCandamo3+%283%29.jpg/7e3c4b35-46f0-7a04-c646-4fb97028eaee?t=1674175055987;Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña,Centro de Interpretación de la Cueva de la Peña;,,,;;;;;;;;;
Conjunto Etnográfico de Os Teixóis;Taramundi;Occidente de Asturias;Os Teixóis;33771;As Veigas;696 440 640;;https://osteixois.es;;;;;;;;;;;;Ubicado en el concejo de Taramundi, es ejemplo de patrimonio preindustrial vinculado a la cultura y paisaje de la zona;El conjunto etnográfico de Os Teixóis data del siglo XVIII y está basado en el aprovechamiento integral de la energía hidráulica del río. En él se puede visitar una amplia muestra de arquitectura popular formada por casonas, cabazos y hórreos. Actualmente se encuentra en perfecto estado de conservación y en funcionamiento, siendo un recurso visitable. Acceso sólo mediante visita guiada.  Prohibido el acceso de mascotas al interior. Acceso practicable. Movilidad interior inaccesible. Dispone de taberna tradicional y merendero en el que se ofrece la posibilidad de degustar una buena comida casera.;Consultar;Consultar  ;;;43.341276,-7.079722;/documents/39908/61977/2022-Conjunto+Etnogr%C3%A1fico+de+Os+Teix%C3%B3is+%284%29.jpg/7f61f219-e98b-50e5-ceaa-d8f2b737fea9?t=1674187709016,/documents/39908/61977/2022-Conjunto+Etnogr%C3%A1fico+de+Os+Teix%C3%B3is+%283%29.jpg/93ab6a2e-ca73-1edc-82b2-f61ca8f59385?t=1674187708436,/documents/39908/61977/2022-Conjunto+Etnogr%C3%A1fico+de+Os+Teix%C3%B3is+%282%29.jpg/6e7a80c8-ce8e-1d40-da21-7ea402c60f95?t=1674187707646,/documents/39908/61977/2022-Conjunto+Etnogr%C3%A1fico+de+Os+Teix%C3%B3is+%281%29.jpg/7974baad-7c57-8c61-8f0d-214910df268a?t=1674187707080;Conjunto Etnográfico de Os Teixois,Conjunto Etnográfico de Os Teixois,Conjunto Etnográfico de Os Teixois,Conjunto Etnográfico de Os Teixois;,,,;;;;;;;;;
