Nombre;Zona;Dirección 2;Dirección;Localidad;Concejo;Código Postal;Teléfono;Email;Web;Facebook;Twitter;Instagram;TikTok;Youtube;Abierto todo el año;Apertura;Horario;Más información;Visitas guiadas;Exposiciones;Observaciones;QCalidad;Información y normas para mascotas;Coordenadas;Slide;Título;Url;Limitación del tamaño/peso de la mascota;Se admiten P.P.P - Perros potencialmente peligrosos;Número máximo de perros por persona;Cupo máximo de perros en el interior;Acceso al interior;Acceso a terraza o zona exterior;Admiten otras mascotas además de perros;Otras mascotas permitidas;Detalle de las normas específicas
Oficina de turismo de Cabrales;;Plaza de los Cuatro Caños;Plaza de los Cuatro Caños;Arenas;Cabrales;33554;985 846 484;oficinadeturismo@cabrales.es;https://www.cabrales.es;;;;;;No;Abril a noviembre;Abril a noviembre:  Miércoles a domingo: 10:00 a 14:00 y 16:00 a 19:00 h. Cerrado: lunes, martes, 21 y 22 de septiembre  ;;;;;;;43.30318,-4.81751;/documents/39908/46950/Cabrales.jpg/f9092eb9-ef4e-1e21-114d-e87dfee50879?t=1674175543635;Cabrales;;;;;;;;;;
Oficina de turismo de Siero;Centro de Asturias;Palacio Marqués de Santa Cruz. Alcalde Parrondo, s/n;Palacio Marqués de Santa Cruz. Alcalde Parrondo, s/n;Pola de Siero;Siero;33510;985 725 424 (Ayuntamiento);turismo@ayto-siero.es;https://www.ayto-siero.es/;;;;;;;;Consultar;;;;;;;43.390088,-5.663658;/documents/39908/47064/OTSiero.jpg/2b792111-0510-f10a-7a6c-4da64bff7835?t=1674175580254;Exterior de la Oficina de Turismo de Siero;;;;;;;;;;
Oficina de turismo de Lena;Centro de Asturias;Marqués de San Feliz, 2;Marqués de San Feliz, 2;La Pola;Lena;33630;985 497 608;turismo@aytolena.es;https://www.aytolena.es/;https://www.facebook.com/OficinaTurismoLena;;https://www.instagram.com/turismolena;;;Si;;17/06 a 15/09 Martes a viernes: 10:00 a 13:00 y 16:00 a 18:00 h. Sábados: 10:00 a 13:00 y 16:30 a 18:00 h. Domingos: 10:00 a 13:00 h.;;;;;;;43.160709,-5.827519;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;Perros siempre atados o en transportín. PPP con bozal.  
Oficina de turismo de Cangas del Narcea;Occidente de Asturias;Palacio de Omaña. Plaza La Oliva;Palacio de Omaña. Plaza La Oliva;Cangas del Narcea;Cangas del Narcea;33800;985 811 498;turismo@ayto-cnarcea.es;https://www.ayto-cnarcea.es/oficina-de-turismo;https://www.facebook.com/NarceaTurismo;https://www.instagram.com/narcea_turismo;;;;Si;;Martes a viernes: 11:00 a 14:00 y 16:00 a 18:30 h.  Sábados y domingos: 11:00 a 14:00 h.  Cerrado: lunes, 24, 25, 31 diciembre, 01/01 a 01/02;;;;;;;43.177134,-6.551716;/documents/39908/46956/OT+Cangas+del+Narcea.jpg/ca5b9b83-9f01-b675-852d-1c3201528a94?t=1674175546186;OT Cangas del Narcea - Palacio de Omaña;;;;;;;;;;
Punto de información turística en La Escalerona;Centro de Asturias;Playa de San Lorenzo. Escalera 4;Playa de San Lorenzo. Escalera 4;Gijón/Xixón;Gijón;33202;985 341 771;turismo@gijon.es;https://www.gijon.es/es,;;https://twitter.com/gijon;https://www.instagram.com/gijon/?hl=es;;;No;;Consultar horario aquí;;;;;true;;43.542311,-5.659271;/documents/39908/46977/PIT_la-escalerona.jpg/f120d9b7-0485-969c-af02-d786d85224d3?t=1674175554173;Punto de información turística en La Escalerona;;;;;;;;;;Atados, con bozal las razas que la ley exige y respetando las indicaciones del personal.
Oficina de turismo de Ibias;Oriente de Asturias;Aula de la Naturaleza;Aula de la Naturaleza;San Antolín;Ibias;33810;615 164 329;turismo@ibias.es;https://www.ibias.es/;;;;;;;;Consultar  ;;;;;;;43.039615,-6.872325;/documents/39908/47037/Palloza_Ibias.jpg/4bfc4966-c6b3-2137-1924-a60e4158b15d?t=1674175570653;Centro Interpretación Palloza de Ibias;;;;;;;;;;
Oficina de turismo de Villayón;Occidente de Asturias;Oneta;Oneta;Villayón;Villayón;33717;681 160 058 / 985 625 051 (Ayto);turismo@villayon.es,villayon@villayon.es;https://www.villayon.es/;;;;;;No;;01/07 a 30/09: 11:00 a 19:00 h.;;;;;;;43.465488,-6.66749;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;Hasta 7 Kg;No;Sin limitación;;Si;Si;Si;Sólo animales domésticos;
Oficina de turismo de Peñamellera Baja;Oriente de Asturias;Bº de la Bolera, 1 (Museo de los Bolos);Bº de la Bolera, 1 (Museo de los Bolos);Panes;Peñamellera Baja;33570;985 414 417 / 985 414 008 (Ayto: lunes a viernes de 10:00 a 14:00h);ayuntamiento@aytopbpanes.es,turismo@aytopbpanes.es;https://www.aytopbpanes.es/;;;;;;No;Semana Santa y verano;;;;;;;;43.321792,-4.583721;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Tineo;Occidente de Asturias;Plaza El Fontán, 22;Plaza El Fontán, 22;Tinéu;Tineo;33870;985 900 202;turismo@tineo.es;https://www.tineo.es/;https://www.facebook.com/TurismoTineo;https://twitter.com/TurismoTineo;https://www.instagram.com/turismotineo/?hl=es;;;Si;;01/06 a 31/08: Martes a Domingo: 10:30 a 14:30 y 15:30 a 18:30 h. Cerrado: lunes Resto del año: Lunes a Viernes: 10:00 a 15:00 h. Cerrado: sábado y domingo;;;;;;;43.335034,-6.415051;/documents/39908/47046/tineo.jpg/59b097a7-f61c-a5e2-c002-8eef88b47bbf?t=1674175574291;Oficina de turismo de Tineo;;;;;;;;;;Mascota siempre atadas.
Oficina de turismo de Belmonte de Miranda;Centro de Asturias;Avda. del Parque, 4;;Belmonte/Balmonte;Belmonte de Miranda;33830;985 762 311 / 690 875 551;info@belmontedemiranda.com;https://www.belmontedemiranda.es/turismo,https://www.turismobelmontedemiranda.es;;;;;;Si;;Jueves a lunes: 8:30 a 15:30 h.  Cerrado: martes, miércoles y 31/01 a 06/02;;;;;;;43.283016,-6.218198;/documents/39908/46995/OIT-Belmonte-de-Miranda.jpg/4c26ab7d-b6f0-6b3f-3986-a7b33a9ebf1f?t=1674175559594;Oficina de turismo de Belmonte de Miranda;;Sin limitación;Si;3;3;Si;Si;Si;gatos, urones y similar;Perros siempre atados.
Oficina de turismo de Colunga;Oriente de Asturias;Plaza de la Iglesia;Plaza de la Iglesia;Colunga;Colunga;33320;985 852 200;info@colunga.es;https://www.turismocolunga.es/,https://www.turismocolunga.es/;;;;;;Si;;Miércoles a sábado: 10:00 a 14:30 y 15:30 a 18:00 h. Domingos: 10:00 a 14:30 h. Cerrado: lunes y martes (excepto puentes y festivos);;;;;;;43.48517,-5.270783;/documents/39908/47067/OT_Colunga.jpg/c68f9226-b193-770e-75dd-ea4ebb4ee76f?t=1674175580880;logo;;Sin limitación;Si;Sin limitación;No;Si;;Si;Gatos y similares;Recuerda que hay algunas personas que temen o les causan alergia los animales, por lo que te agradeceremos que lo entiendas y evites molestias o situaciones incómodas. Acuérdate siempre de llevar a tu mascota sujeta con correa y cerca de ti, e incluso si su tamaño lo permite es buena idea que la portes en brazos o con un transportín. Además, si muestra una actitud agresiva, o pertenece a una raza PPP, deberás ponerle el bozal. Es necesario que cumplas con la normativa vigente para la posesión y transporte de tu mascota en especial lo referente a su identificación y condiciones sanitarias. La tenencia y circulación de mascotas de razas o especies potencialmente peligrosas se rige por una normativa específica y más restrictiva, asegúrate de consultarla antes de visitarnos. Si tu mascota se hace pipí o caca recuerda que tendrás que recoger sus deposiciones. Deberás asegurarte de su integridad durante la visita y además vigilarás que no ocasione daños, o desperfectos, a las instalaciones o al entorno.  
Oficina de turismo de Somiedo;Centro de Asturias;Narciso H. Vaquero;Narciso H. Vaquero;La Pola de Somiedo;Somiedo;33840;985 763 758 / 985 763 649;murias_chongas@yahoo.es;https://www.somiedo.es/turismo;;;;;;Si;;01/06 a 30/09: Lunes a domingo: 10:00 a 14:00 y 15:00 a 18:30 h. Resto del año: Martes a sábado: 10:00 a 14:00 y 15:00 a 18:30 h. Domingo: 10:00 a 14:00 h. Cerrado: lunes;;;;;;;43.093196,-6.257499;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Nava;Oriente de Asturias;Plaza José Vicente Ordóñez Noriega 'Pepe El Turrau';Plaza José Vicente Ordóñez Noriega 'Pepe El Turrau';Nava;Nava;33520;985 717 477;turnava@lacomarcadelasidra.com;https://www.lacomarcadelasidra.com/;;;;;;Si;;Otoño e invierno: Martes a sábado: 10:00 a 14:00 h. Cerrado: domingo y lunes Primavera y verano: Miércoles a domingo: 10:00 a 14:30 y 15:30 a 18:00 h. Cerrado: lunes y martes ;;;;;;;43.358301,-5.504945;/documents/39908/46923/Nava.jpg/7391aa74-0c8f-5312-cdc6-93abed7f5288?t=1674175534711;Plaza de Nava;;Sin limitación;Si;Sin limitación;;Si;Si;Si;Sólo animales domésticos;Recuerda que hay algunas personas que temen o les causan alergia los animales, por lo que te agradeceremos que lo entiendas y evites molestias o situaciones incómodas. Acuérdate siempre de llevar a tu mascota sujeta con correa y cerca de tí, e incluso si su tamaño lo permite es buena idea que la portes en brazos o con un transportin. Además, si muestra una actitud agresiva, o pertenece a una raza PPP, deberás ponerle el bozal. Es necesario que cumplas con la normativa vigente para la posesión y transporte de tu mascota en especial lo referente a su identificación y condiciones sanitarias. La tenencia y circulación de mascotas de razas o especies potencialmente peligrosas se rige por una normativa específica y más restrictiva, asegúrate de consultarla antes de visitarnos. Si tu mascota se hace pipí o caca recuerda que tendrás que recoger sus deposiciones. Deberás asegurarte de su integridad durante la visita y además vigilarás que no ocasione daños, o desperfectos, a las instalaciones o al entorno.
Oficina de turismo de San Tirso de Abres;Occidente de Asturias;Regada;Regada;O Chao;San Tirso de Abres;33774;985 476 407;santirsotur2@hotmail.com,administracion@santirsodeabres.es;https://www.santirsodeabres.es/;;;;;;No;;01/07 a 31/08: Lunes a domingo: 10:00 a 16:00 h.;;;;;;;43.410722,-7.143035;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Boal;Occidente de Asturias;Avda. de Asturias, 1 (Casa de Cultura);Avda. de Asturias, 1 (Casa de Cultura);Bual;Boal;33720;985 620 046;oficinadeturismo@boal.es;https://www.boal.es/;;;;;;No;;01/07 a 31/10: Martes a sábado: 10:30 a 14:30 y 15:30 a 18:00 h. Domingo: 11:00 a 14:00 h.;;;;;;;43.427918,-6.819940;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;Oficina de Turismo de Boal;;;;;;;;;;
