Nombre;Concejo;Zona;Dirección;Código postal;Localidad;Horario;Tarifas;Teléfono;Email;Web;Más información;Época;Gestión;Archivo;Título;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Título;Texto;Coordenadas;Slide;Título;Url;Fecha de Construcción;Observacion
Iglesia de San Juan (Amandi);Villaviciosa;Oriente de Asturias;C/Palacio;33311;Amandi;Julio, Agosto y Septiembre: 11:30-13:30 h. 17:00-19:00 h Lunes cerrado Octubre a Junio: Martes y sábados: 11:30-13:30 h;;985 890 073;;;;Románico. Siglos XVII - XVIII;;;;;;;;;;;;Edificio complejo que tiene casi todos los elementos románicos.;La Iglesia de San Juan de Amandi tiene origen en época prerrománica, según noticias documentales, pero estilísticamente corresponde a la fase barroca del románico asturiano, con elementos de carácter goticista. Tiene planta de nave única con cabecera semicircular. A los lados norte y sur se han añadido dos compartimentos y un pórtico semicircular sobre columnas toscanas que rodea a la iglesia, sobre este pórtico del siglo XVII se sitúa una espadaña barroca de dos huecos, del siglo XVIII. Recorriendo externamente el edificio, se encuentran dos portadas de acceso: una en el imafronte ricamente decorada, de arco apuntado y fuertemente abocinada, y otra en el lateral sur, de arco de medio punto y decoración más sencilla. El cuerpo de la nave se remata con canecillos. El ábside semicircular se decora con cuatro columnas entregas que se rematan con capiteles, una imposta ajedrezada recorre horizontalmente el ábside. En el interior, la cabecera se separa de la nave por un arco de triunfo de medio punto que apoya en columnas y capiteles decorados. El ábside se divide en dos tramos, separados por otro arco de medio punto en dientes de sierra. Lo más significativo es la doble arquería que adorna toda la cabecera.;43.469545,-5.442676;/documents/39908/46008/SanJuanAmandi1.jpg/3ffa18bb-bc91-8246-4d5f-e559fe4ce7b8?t=1674174717771;Iglesia de San Juan de Amandi;;;
Capilla de la Magdalena (Llanes);Llanes;Oriente de Asturias;Pl. Magdalena, 1;33500;Llanes;;;;;;;;;;;;;;;;;;;Capilla situada en la plaza de la Magdalena, en el Casco Histórico de Llanes, cuya advocación inspira las fiestas de la Magdalena en el verano llanisco.;Levantada sobre una planta anterior, datada en el siglo XIII, la Capilla de la Magdalena se encuentra en pleno Casco Histórico de Llanes, y es una de las referencias religiosas y festivas del verano en la Villa marinera, donde los vecinos celebran La Magdalena, en el mes de julio, con una hoguera, la única que se baila en el Oriente de Asturias. Este ancestral y llamativo rito consiste en que los mozos del pueblo, vestidos de porruanos, cargan con un enorme tronco (h.oguera), y bailan de lado a lado de la calle, rodeados por miles de personas. La Magdalena es uno de los tres bandos de Llanes, junto con San Roque y La Guía.;43.420621,-4.753827;/documents/39908/46080/CapillaMagdalena1.jpg/ce055541-d01b-93ce-93ce-76feb690d82e?t=1674174759531;Capilla de la Magdalena;;;
Iglesia Parroquial de San Martín de Oscos;San Martín de Oscos;Occidente de Asturias;;33777;Samartín;;;;;;;Siglo XIX;;;;;;;;;;;;Está construida siguiendo los estilos de la zona con pizarra y mampostería.;Fue reedificada en la primera mitad del siglo XIX sobre un precedente medieval que se remontaba al prerrománico. La planta está configurada en cruz, con una sola nave que gana altura en el crucero a partir del arco que le da acceso. En él se abren dos arcos de ingreso a las capillas laterales. Como corresponde a la arquitectura de la zona, está construída en mampostería y pizarra, y en el suelo aún se pueden constatar los espacios dedicados a enterramiento dentro del edificio, en el que la familia Mon –uno de los señoríos principales de la zona– posee un sepulcro. Tamién se pueden identificar en este espacio de enterramientos, la jerarquía de las clases de la época, con la separación, mediante una hilera de losas de menos anchura a mitad del crucero y a la entrada de las capillas laterales, del espacio reservado a los privilegiados y al resto del pueblo.;43.264603,-6.961735;/documents/39908/46044/SanMartinOscos1.jpg/7c1cc949-b758-2675-e179-20494ce221b5?t=1674174734147;Iglesia Parroquial de San Martín de Oscos;;;
Monasterio de San Juan Bautista de Corias;Cangas del Narcea;Occidente de Asturias;;33816;Courias;Consultar;Consultar;659 277 277 / 626 991 157;greendoorasturias@gmail.com;;;Renacimiento;;;;;;;;;;;;Es el monumento de mayor interés del concejo de Cangas del Narcea por su importancia histórica y por la calidad artística del conjunto. En 2013 se convirtió en Parador Nacional;El monasterio de San Juan Bautista está situado en la margen derecha del río Narcea, y se comunica con el pueblo de Courias a través de un puente de piedra del siglo XIV. Fue fundado en 1032 por los condes Piniolo y Aldonza. Su mayor época de esplendor se desarrolló en los siglos XII y XIII. En 1763 sufrió un gran incendio que destruyó todas las dependencias monásticas, salvándose únicamente la iglesia, la sacristía y la biblioteca. La remodelación dejó sobre todo su huella en la nueva fachada, monumental y sobria. De su primera fábrica románica no queda resto arquitectónico alguno. Se sabe que tenía un claustro y una iglesia de tres naves. El monasterio fue reconstruido entre los siglos XVI-XVII en estilo herreriano, pero sufrió un incendio en el siglo XVIII que obligó a la reconstrucción del claustro y del perímetro exterior. El conjunto de Corias se estructura en un gran rectángulo en torno a un patio central, en cuya parte derecha se encuentran la iglesia, la sacristía, el refectorio y las cocinas. La fachada exterior se caracteriza por su sobriedad decorativa, apenas rota por los huecos (alternancia de ventanas y balcones) y por las dos portadas laterales. Las puertas se abren bajo arcos de medio punto y el piso se decora con simples pilastras jónicas, pirámides con bola y el escudo de la orden, todo ello en torno a una hornacina con imágenes. La iglesia actual se comenzó en 1593 en estilo renacentista, según los cánones de Juan de Herrera. La planta es de cruz latina, con crucero destacado, amplio presbiterio y una nave con capillas adosadas. Todo el interior se cubre con bóveda de cañón con arcos fajones, excepto en la intersección del crucero que se cubre con cúpula sobre pechinas, iluminada por una linterna. La portada interior de la iglesia se distribuye en tres tramos. El primero corresponde a la portada en arco de triunfo con cuatro pilastras dóricas. En el segundo cuerpo se sitúa una hornacina del santo patrón, también con pilastras. Sobre la imposta se abre el óculo que ilumina el coro. El último tramo se remata en frontón coronado por tres chapiteles de grandes bolas, al gusto clasicista herreriano. Se permite la visita al claustro y zona de uso común, a través del Parador. ;43.195001,-6.544087;/documents/39908/45936/2022-monasterio-corias.jpg/cb38615f-2ea9-472f-d930-4d92eb43bfc5?t=1674174666507,/documents/39908/45936/2022-Monasterio-San-Juan-Bautista-de-Corias-%282%29.jpg/b5c42e0e-4e69-e8d4-b266-ced942a39841?t=1674174665581,/documents/39908/45936/2022-claustro-corias.jpg/baab1ee2-6b21-e7cd-a014-e5065e992057?t=1674174667340,/documents/39908/45936/2022-Monasterio-San-Juan-Bautista-de-Corias-%281%29.jpg/d2297b3b-a2f3-5da9-8ba9-0b3f240e8e6d?t=1674174664581;Monasterio de Corias,Monasterio de Corias,Monasterio de Corias,Monasterio de Corias;,,,;;
Iglesia de Santa María (Llugás);Villaviciosa;Oriente de Asturias;;33311;Llugás;Julio y Agosto: Miércoles: 17:00-19:00 h;;;;;;Románico;;;;;;;;;;;;La iglesia fue reconstruida en el siglo XVII.;La iglesia de Santa María de Llugás, un pequeño pueblo del concejo de Villaviciosa, tiene su origen en el siglo XIII, pero de época románica conserva las dos portadas y el arco de triunfo, ya que la iglesia fue totalmente reconstruida en el siglo XVII. El templo se estructura en planta de cruz latina y gran cabecera poligonal. Tiene una sacristía adosada al muro norte y en el siglo XIX se le añadió un pórtico de columnas, que rodea a la iglesia. Externamente, desde el punto de vista decorativo destacan las dos portadas románicas. La puerta occidental se situa sobre un cuerpo saliente del edificio, rematado con canecillos y metopas, se estructura en tres arquivoltas de medio punto con decoración geométrica y motivos en zig-zag, que apoyan sobre impostas y tres pares de columnas con capiteles decorados con motivos vegetales y figurados. La portada sur es más sencilla, con dos arquivoltas de medio punto decoradas, una con cabezas en pico y otra con rollos zamoranos. La dobre arquivolta está protegida por una moldura guardapolvo y apoya sobre una columna a cada lado con capiteles decorados. En el interior la nave se separa por un arco de triunfo románico de doble arquivolta con motivos en zig-zag, que apoya sobre columnas con capiteles decorados.;43.452899,-5.428587;/documents/39908/46026/SantaMariaLugas1.jpg/53b3f3db-3bf4-de86-2564-879e14477ad9?t=1674174726225;Iglesia de Santa María (Lugás);;;
Iglesia de Santa María (Celón);Allande;Occidente de Asturias;;33889;Celón;;;985 807 201;;;;Románico;;;;;;;;;;;;La iglesia fue restaurada en los años ochenta.;Santa María de Celón conserva una estructura claramente románica aunque a lo largo de los años ha sufrido fuertes modificaciones. Cuenta con planta de nave única con cabecera rectangular y capilla adosada al muro norte. La Iglesia conserva dos portadas románicas, una en el muro sur y otra en el imafronte, siendo esta última un bello exponente del estilo románico con tres arquivoltas de medio punto que se apoyan sobre dos columnas con capiteles decorados. El interior se cubre con cubierta de madera a excepción de la capilla mayor, que se cubre con bóveda de cañón apuntado. La capilla se separa de la nave con un arco de triunfo algo apuntado, y toda la zona del ábside y presbiterio se encuentra decorado con pinturas murales que datan del siglo XVI. Cabe destacar como elementos de importancia la campana menor de la Iglesia del siglo XIII, la segunda en antigüedad que se conserva en Asturias, y la talla románica de la Virgen con niño, fechable en el siglo XIII y que ocupa el centro del retablo del siglo XVIII. La Iglesia de Santa María de Celón fue restaurada en 1982 y 1986, siendo esta última restauración a cargo de la Consejería de Educación, Cultura y Deportes. Se le atribuye una cronología del siglo IX.;43.239763,-6.583155;/documents/39908/46020/santa-maria-celon-1.jpg/cd60d47e-ad5c-d64a-6c76-2ba1138a835a?t=1698998812688,/documents/39908/46020/santa-maria-celon-2.jpg/ac13204c-5bfc-bd38-665d-2d733df04716?t=1698998815175,/documents/39908/46020/SantaMariaCelon1.jpg/f6cea4b7-a6f3-848e-dc9e-c74e027bcc4d?t=1674174725022;Iglesia de Santa María de Celón interior,Iglesia de Santa María de Celón interior,;,,;;Visita al interior durante el culto.
Convento de San Francisco;Tineo;Occidente de Asturias;C/ Mayor;33870;Tinéu;;;;;;;Siglo XIII;;;;;;;;;;;;En el interior se encuentra el Museo de Arte Sacro de Tineo/Tinéu.;Construido en el siglo XIII, del Convento de San Francisco sólo se conserva hoy la capilla de Merás, construida en 1613 por D. Pedro Merás, hoy unida a la nave principal. Destaca por su antigüedad, y por su posición en lo más alto de la Villa. Su portada ojival es influencia del arte bizantino, con dientes de sierra, cornisa ajedrezada y tres columnas por un lado, imprimiendo igualmente su sello en los tres arcos apuntados, sostenidos por grupos de columnas. Responde plenamente a la tipología mendicante: de una sola nave, amplia y diáfana, que muy probablemente cubrieron con armadura de madera. Tal selección no puede considerarse fruto del azar, sino encaminada a lograr un edificio en el que los obstáculos arquitectónicos no perjudicaran ni la acústica ni la visibilidad, pues recordemos que una de las principales actividades de los menores era la predicación. El convento franciscano de Tineo/Tinéu contaba desde estos primeros tiempos con claustro y sala capitular, de los que se tiene noticia únicamente por las detalladas descripciones de don Ciriaco Miguel Vigil. En el interior del templo se encuentra el Museo de Arte Sacro de Tineo/Tinéu, que incluye una gran colección de piezas del concejo.;43.335347,-6.41482;/documents/39908/45927/ConventoSanFrancisco1.jpg/d1959f61-7ea5-f93f-949f-d159da9be24a?t=1674174658611,/documents/39908/45927/ConventoSanFrancisco2.jpg/8ca464d9-abce-6879-eb04-e4fbddc165e0?t=1674174659596,/documents/39908/45927/ConventoSanFrancisco3.jpg/7f5d5f02-e24b-e070-1b75-f8065d9fe50e?t=1674174660250,/documents/39908/45927/ConventoSanFrancisco4.jpg/0d6e9623-8e50-ed7e-8e75-734b44200f6d?t=1674174660867;Convento de San Francisco,Convento de San Francisco,Convento de San Francisco,Convento de San Francisco;,,,;;
La Virgen del Cébrano;Teverga;Centro de Asturias;;33111;Carrea;;;;;;;Barroco (siglo XVII);;;;;;;;;;;;Centro de veneración religiosa.;La iglesia del Cébrano es un santuario mariano muy antiguo. De una sola nave, la cabecera parece anterior al resto del templo. La puerta de la fachada es en arco de medio punto con un gran dovelaje plano, enmarcada por un alfiz sobre pilastras estriadas. Se corona la fachada con una espadaña. Preside la capilla un retablo barroco, de un piso y ático, que acoge la imagen de la Virgen, gótica, del siglo XIV o principios del XV. Se trata de un centro de gran veneración religiosa rehabilitado recientemente, no sólo el interior del templo, sino también el exterior, de donde se eliminó un cementerio que había en el lado norte.;43.147466,-6.072426;/documents/39908/46059/VirgenCebrano1.jpg/3852e7fa-62c3-07c7-6603-52c75391b988?t=1674174740841;La Virgen del Cébrano;;;
Monasterio e Iglesia de San Antolín de Bedón;Llanes;Oriente de Asturias;;33594;Bricia;A convenir (sólo grupos concertados) Reservas: 626 990 398 Abierto todo el año;;626 990 398;;;;Románico;;;;;;;;;;;;El Monasterio de San Antolín de Bedón se levantó en la desembocadura del río Bedón, próximo al mar y a la costa.;Se desconoce su año de construcción, ya que las primeras noticias que tenemos son del siglo XII. El único testimonio que se conserva es la iglesia que se corresponde con un románico avanzado, de transición al gótico, estilo que se insinúa en la utilización del arco apuntado. La planta es basilical de tres naves a distinta altura, separadas por arcos ojivales que se apoyan en sencillos pilares, menos los del crucero y la cabecera que adquieren mayor desarrollo. Finaliza en una cabecera triple con ábsides semicirculares, destacados al exterior y cubiertos con bóveda de cuarto de esfera. El sistema de cubiertas se concibe jerárquicamente pues las naves se cubren con armadura de madera, mientras que en el crucero se utilizan las de crucería y las de cañón apuntado. Los sillares de piedra y los contrafuertes caracterizan el exterior del templo, donde se aprecia un marcado escalonamiento de los volúmenes, pues las naves se cubren a diferente altura, sobresaliendo la central. Molduras horizontales y ventanas sirven para romper la monotonía exterior de los muros semicirculares de la cabecera. A pesar de la sobriedad decorativa del templo, la decoración escultórica subsiste por su carácter didáctico y ocupa espacios exteriores, como los canecillos de los aleros que protegen las portadas. El templo tiene dos portadas, la occidental se compone de cinco arquivoltas apuntadas, con una cornisa adornada con bellísimos canecillos antropomórficos (cazadores), animalísticos (aves) y vegetales. La portada lateral sur responde a muy parecida estructura y ornamentación. Una de ellas servía para conectar la iglesia con el monasterio. El conjunto trasmite la imagen de austeridad de la orden del Císter, basada en la desornamentación y en una parca estética decorativa.;43.438146,-4.869111;/documents/39908/46062/San_Antolin_Bedon_Llanes_Norbert.jpg/016f00f0-e721-558d-945a-d025518f7917?t=1674174743819,/documents/39908/46062/MonasterioSanAntolinBedon1.jpg/a3cdc62a-53c8-bdcf-2431-7406cfab0a23?t=1674174741567,/documents/39908/46062/MonasterioSanAntolinBedon2.jpg/68b96c34-2fdf-db9e-9a58-0b5c711d34e6?t=1674174742809;San Antolín de Bedón,San Antolín de Bedón,San Antolín de Bedón;,,;;
Iglesia de Santa María de Tina;Ribadedeva;Oriente de Asturias;;33590;Pimiango;;;;;;;Siglo XIII;;;;;;;;;;;;Sólo se conservan unas ruinas pero que evocan una gran belleza en el pasado.;Las primeras referencias documentales al lugar aparecen datadas en el siglo XVI, aludiendo a su pertenencia a una abadía del siglo XI de Cervera de Pisuerga, aunque en la actualidad no quedan más que unas ruinas entre árboles, el lugar tiene sin duda un gran encanto. Las actuales ruinas son de un templo del siglo XIII de estilo cisterciense. La puerta de entrada se abre en un muro opuesto a la cabecera y es también apuntada. Adosado a este muro, en el exterior a la derecha, queda lo que parece ser un horno. Dentro del perímetro de la nave se puede ver un sepulcro de piedra cuya lápida aparece tirada fuera. Una imagen románica de la Virgen de Tina, que permaneció en la iglesia estando ya en ruinas y fue resguardada durante la Guerra Civil en las dependencias del faro de San Emeterio, se conserva en la iglesia parroquial de San Roque (Pimiango). Se trata de una talla de madera del siglo XII de la Virgen entronizada con Niño en el regazo. A Santa María de Tina se accede por una pista peatonal que parte de las inmediaciones de la capilla de San Emeterio, cerca de las Cuevas del Pindal.;43.395783,-4.527414;/documents/39908/46029/2021-Iglesia+de+Santa+Mar%C3%ADa+de+Tina+%283%29.jpg/23b32cd7-34b0-a64d-07d6-62edf8e37a42?t=1674174730006,/documents/39908/46029/2021-Iglesia+de+Santa+Mar%C3%ADa+de+Tina+%282%29.jpg/c6e8d146-a20a-c233-b71a-db9aebef22de?t=1674174729414,/documents/39908/46029/SantaMariadeTina3.jpg/fdfd4d7a-a459-0a8e-dc22-1219aa6ec698?t=1674174728074,/documents/39908/46029/2021-Iglesia+de+Santa+Mar%C3%ADa+de+Tina+%281%29.jpg/4e4ede41-4e5a-d6f5-0c10-775631b5ea9f?t=1674174728826;Iglesia de Santa María de Tina,Iglesia de Santa María de Tina,Iglesia de Santa María de Tina,Iglesia de Santa María de Tina;,,,;;
