Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa Gueirúa;Occidente de Asturias;Pequeña cala de cantos rodados situada en Santa Marina La playa de Gueirúa es una pequeña cala de cantos rodados que destaca sobre todo por su paisaje de gran belleza. En su extremo oriental, aparece una hilera de islotes de piedra afilada que salen del océano, restos de una antigua punta fracturada de cuarzo y pizarra. Esta zona es llamada La Forcada, y divide la Gueirúa de la playa del Calabón. Se trata de un territorio virgen, con escasa afluencia de público y sin servicios, aunque no tiene un acceso especialmente complicado. Se llega a través de una senda primero y de unas escaleras después. Situada en la localidad de Santa Marina. Se recomienda extremar las precauciones a la hora del baño. Para acceder y caminar por la playa se recomienda llevar calzado resistente a cantos rodados. ;;;Cudillero;A pie fácil;Cantos rodados;;;;120 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.;;;;;;;;;;;+43.563202,-6.310158;/documents/39908/43503/PlayaLaGueirua3.jpg/0576a37c-b625-e33f-0ffa-aa9da7ac305f?t=1674171638695,/documents/39908/43503/PlayaLaGueirua1.jpg/603e54a7-64d7-ce3c-1478-ece04b01cc03?t=1674171636814,/documents/39908/43503/PlayaLaGueirua4.jpg/bc470238-1ca5-217f-7c90-0eaa5a1b87c7?t=1674171640356;Playa de La Gueirúa / Gairúa,Playa de La Gueirúa / Gairúa,Playa de La Gueirúa / Gairúa;,,
Playa de San Juan de Nieva;Centro de Asturias;La playa está dentro de una zona de especial protección debido a la vegetación dunar que tiene.  Un largo paseo desde Salinas hacía el oriente lleva al caminante a un paisaje totalmente diferente, dejando atrás las torres de edificios de esa localidad turística del concejo de Castrillón, nos encontramos con un sistema dunar que en su día fue el mayor de Asturias.  Dunas de arena dorada jalonadas de vegetación. Se trata de un arenal de 500 metros con aguas de fuerte oleaje y muy expuesta a los vientos del nordeste.  Una playa de una belleza especial, con buenos equipamientos y alta afluencia de público.  ;;;Castrillón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento,Surf;500 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos a la playa desde 15/05 hasta 15/09. En los paseos marítimos, en las proximidades de las playas excepto en los sistemas dunares y en la península de la Peñona, se permitirá la presencia de animales de compañía durante todo el año, debiendo en todo caso ir siempre sujetos por una correa fija de longitud no superior a dos metros y, cuando fuera necesario por las características del animal, deberán ir provistos de bozal. Servicio salvamento: Temporada estival.  ACCESIBLE - PRACTICABLE Aseos adaptados. Rampas de acceso.   ,;;;;;;;;;;;+43.586577,-5.942616;/documents/39908/43416/PlayaSanJuanNievaElEspartal2.jpg/f65c01b1-a2c7-2968-d875-c7dfdc6ebe88?t=1674171547449,/documents/39908/43416/PlayaSanJuanNievaElEspartal3.jpg/6bb4bd9c-8c37-3127-9c1f-b178af30159b?t=1674171548045,/documents/39908/43416/PlayaSanJuandeNievaElEspartal4.jpg/30805104-e5c4-3cea-948b-992bee0a14f7?t=1674171548679;Playa de San Juan de Nieva y el Espartal,Playa de San Juan de Nieva y el Espartal,Playa de San Juan de Nieva y el Espartal;,,
Playa de Oleiros;Occidente de Asturias;Un paraíso de acantilados, pinares y aguas cristalinas Una concha perfecta rodeada de acantilados que terminan en dos áreas rocosas: Mal Perro, a la izquierda, y La Cavona, a la derecha. Así es la playa de Oleiros, un paraíso de aguas limpias y cristalinas, bordeada por pinares y refugiada en una profunda ensenada. La ensenada de Oleiros es adecuada para practicar deportes acuáticos, como la pesca deportiva, el surf y el windsurf. Para llegar a ella hay que caminar unos 20 minutos por un sendero de pinos, y bajar unas cuantas escaleras. No suele registrar una gran ocupación.  No dispone de servicios. Sin vigilancia, ni salvamento. Se recomienda extremar las precauciones a la hora del baño. Para acceder y caminar por la playa se recomienda llevar calzado resistente a rocas o cantos rodados. Situada entre Lamuño y Salamir.;;;Cudillero;A pie fácil;Cantos rodados;;;;700 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.    ;;;;;;;;;;;+43.572423,-6.202260;/documents/39908/43293/2022-PlayaOleiros1+%282%29.jpg/106ce921-5eda-a93e-223b-54d7787cf598?t=1674171405541,/documents/39908/43293/2022-PlayaOleiros1+%281%29.jpg/ea23b5d6-9b7d-01b3-2ab3-c567520ac76c?t=1674171404877,,;Playa de Oleiros,Playa de Oleiros,Playa de Oleiros,Playa de Oleiros;,,,
Playa de las Cámaras o Los Frailes;Oriente de Asturias;Un ambiente tranquilo en el corazón de Celoriu Bajo este rimbombante nombre se encuentra una pequeña playa, ubicada en Celoriu, que en bajamar queda conectada con Palombina, que es el arenal más grande esta localidad turística. Su nombre se refiere a que se abre bajo los pies de un antiguo monasterio. Es un rincón de carácter urbano, de arena blanca, con menos ocupación que Palombina, y un oleaje medio. Se accede desde Celoriu. Dejamos el coche en el aparcamiento y caminamos unos cien metros hacia el este.    ;;;Llanes;A pie fácil y coche;Arena blanca;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables los mismos sus propietarios.  Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del expediente oportuno sancionador. Accesible - Practicable Rampa de acceso.  Aseos accesibles.      ;;;;;;;;;;;+43.431682,-4.808468;/documents/39908/43512/PlayaCamaras1.jpg/6a8954a4-2fc1-1d4a-031f-123f9bac0013?t=1674171648709,/documents/39908/43512/PlayaCamaras2.jpg/2a8dfc2c-8492-ea3e-9d4b-201d736d6de3?t=1674171649307,,;Playa de las Cámaras y de los Frailes,Playa de las Cámaras y de los Frailes,Playa de las Cámaras y de los Frailes,Playa de las Cámaras y de los Frailes;,,,
Playa de San Lorenzo;Centro de Asturias;La bahía de Gijón, la playa más concurrida de Asturias Probablemente la playa de San Lorenzo sea la más conocida de Asturias. Es la bahía de Gijón, una de las más bellas del norte de España, delimitada al oeste por el Cerro de San Catalina y al este por la desembocadura del río Piles. En total, un kilómetro y medio muy frecuentado por bañistas y que cuenta con excelentes equipamientos de todo tipo. La playa cuenta con dos pistas de vóley-playa y en ella se practica también futbol playa (a la altura de la escalera 4). Destaca su paseo marítimo, de casi tres kilómetros.;;;Gijón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento,Surf,Alquiler de tumbonas;1.500 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09.  Se permite el acceso de animales domésticos en la playa de 01/10 a 30/04 (entre escaleras 2 y 8) En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento: consultar    ;;;;;;;;;;;+43.541412,-5.655521;/documents/39908/43419/playa-de-san-lorenzo+%286%29.jpg/0c3aad19-8e46-b75d-108d-2769fc7488f7?t=1715842474363,/documents/39908/43419/playa-de-san-lorenzo+%282%29.jpg/8db8f008-a2cb-2fda-8b35-5a76d3511f1d?t=1715842468604,/documents/39908/43419/playa-de-san-lorenzo+%285%29.jpg/02b0990c-aff0-6a43-8acc-ea31475dc6d4?t=1715842473011,/documents/39908/43419/playa-de-san-lorenzo+%287%29.jpg/ecae79b6-88f2-4b2c-f1b6-285c7b1cddde?t=1715842475684,/documents/39908/43419/playa-de-san-lorenzo+%284%29.jpg/8d2428e9-2704-4e4e-9462-64e9406eb463?t=1715842471381,/documents/39908/43419/playa-de-san-lorenzo+%281%29.jpg/ddda5258-31db-3123-9a37-54f8629b6ded?t=1715842466517;Playa de San Lorenzo,Playa de San Lorenzo,Playa de San Lorenzo,Playa de San Lorenzo,,;,,,,,
Playa de Pormenande;Occidente de Asturias;Un tómbolo une la playa con el islote El Rego La playa de Pormenande es una pequeña cala de gran belleza, de menos de 200 metros de longitud y formada por bolos y grava. A pesar de ser pedregosa es muy segura, con oleaje moderado y protegida del viento. Destaca en ella a su derecha el islote El Rego, al que se puede acceder desde la playa por un pequeño tómbolo. Es la playa principal de la capital del concejo, A Caridá, por lo que su afluencia es mayor que en otros arenales de la zona. Se accede a ella desde la localidad de El Porto/Viavélez.;;;El Franco;A pie y coche;Cantos rodados;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento,Área Recreativa;190 m.;Ordenanza mascotas en la playa: Está prohibida la circulación y estancia de perros y otros animales en las playas fuera de los meses señalados por el Ayuntamiento de El Franco (consultar). Servicio salvamento (01/07 a 31/08): fines de semana  ;;;;;;;;;;;+43.563877,-6.828050;/documents/39908/43320/PlayaPormenande1.jpg/ed4b6c0c-c8d5-cae4-9da4-99ecc09fac27?t=1674171447929,/documents/39908/43320/PlayaPormenande2.jpg/16b4bcd9-8a5b-e54e-1f63-72892eccca83?t=1674171448572,/documents/39908/43320/PlayaPormenande3.jpg/a63436c1-a9e5-d582-d38f-a64d3c72daa8?t=1674171449313,/documents/39908/43320/Pormenande+III.jpg/4a71d6c2-9f0a-3cc8-fb45-6633c2ceefc2?t=1674171451285;Playa de Pormenande,Playa de Pormenande,Playa de Pormenande,Playa de Pormenande;,,,
Playa de Sevalle;Oriente de Asturias;Una cala de difícil acceso entre Toranda y Torimbia Entre Toranda y Torimbia, en el tramo de costa situado frente al pueblo de Niembru, se encuentra la playa de Valle o Sevalle. Es una pequeña concha de arena y rocas, aislada, que cuenta con un incipiente sistema dunar en la parte que linda con las praderías. Está unida a Toranda con la bajamar. Registra un oleaje medio y no presenta una alta ocupación. El acceso, salvo cuando se realiza a través de la playa, es muy complicado, ya que no existe un camino definido. El coche puede aparcarse en Toranda.;;;Llanes;A pie díficil;Arena blanca y rocas;;;;120 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.443596,-4.840461;/documents/39908/43365/PlayaValle1.jpg/0240fe53-40e5-73a6-a057-cf7aa196e673?t=1674171489603;Playa de Valle y Sevalle;
Playa de Gulpiyuri;Oriente de Asturias;Este Monumento Natural no dispone de conexión visible con el mar Es una playa de interior, sin salida directa al mar. Está formada por arena blanca y agua salada, pero el Cantábrico se bate a unos metros y sólo se cuela por debajo de los acantilados. Mide unos cuarenta metros de longitud y apenas se queda con arena durante la pleamar. Registra un fenómeno denominado desagüe cuando comienza la bajamar. Está catalogada como Monumento Natural. Gulpiyuri no dispone de ningún servicio y no es accesible, ya que está rodeada de prados con una mayor altitud. La localidad más cercana es Naves y el acceso se realiza a través de un camino agrícola. El acceso a la playa tanto desde la playa de San Antolín como desde el pueblo de Naves es peatonal. No estando permitida la circulación de vehículos.;;;Llanes;A pie;Arena gruesa;;;Chiringuito (próximo en temporada);40 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.44756,-4.88613;/documents/39908/43560/gulpiyuri+%284%29.jpg/18b07331-5213-75a7-0e21-502965782d72?t=1674171697534,/documents/39908/43560/gulpiyuri+%281%29.jpg/32ff2819-1f68-16ac-6718-cb48899d07fa?t=1674171695774,/documents/39908/43560/gulpiyuri+%282%29.jpg/68a97323-a767-d866-f4a9-c28668f819e6?t=1674171696348,/documents/39908/43560/gulpiyuri+%283%29.jpg/ab857a94-8686-f661-345b-761505e53a17?t=1674171696958;Playa de Gulpiyuri,Playa de Gulpiyuri,Playa de Gulpiyuri,Playa de Gulpiyuri;,,,
Playa del Barrigón;Oriente de Asturias;Pequeña playa que se encuentra en el sector este de la Playa La Isla. En bajamar queda unida a la Playa de La Isla y también a la Playa La Espasa. Los servicios son compartidos con la Playa de La Isla. Oleaje moderado.   ;;;Colunga;A través de unas escaleras.;Arena dorada;;;;;Ordenanza mascotas en la playa: Está prohibido el acceso de perros y demás animales domésticos a las playas, arenales y pedreros, desde 01/06 hasta 30/09.;;;;;;;;;;;43.476353,-5.220205;/documents/39908/43404/el-barrigon+%282%29.jpg/2ba9cdd1-7dbf-9361-d9b4-3528bf84dff1?t=1674171536720,/documents/39908/43404/el-barrigon+%283%29.jpg/29db545c-c341-6c3d-1a5e-4cfa0be8a4f9?t=1674171537333,/documents/39908/43404/el-barrigon+%284%29.jpg/e7c21d21-e960-64a4-853c-f46dfc808f0c?t=1674171538000;Playa del Barrigón,Playa del Barrigón,Playa del Barrigón;,,
Playón de Bayas/El Sablón;Centro de Asturias;Un paseo por el arenal más largo del Principado Larga, de arenas doradas oscuras y fuerte oleaje. Así es el playón de Bayas o el Sablón, un bello arenal que se une con el de Los Quebrantos formando una extensa orilla, de más de tres kilómetros, ideal para largos paseos. Entre ellas, encontramos el río Ranón, límite natural de los concejos de Castrillón y Soto del Barco. En su extremo oriental, aparece una zona conocida como Los Requexinos, de gran belleza natural. Para los viajeros que lleguen a Asturias en avión, el Playón de Bayas no tiene pérdida, es ese gran arenal que se divisa justo antes de aterrizar.;;;Castrillón;A pie fácil y coche;Arena fina;;;Playa sin Humo,Duchas,Aparcamiento,Servicio salvamento,Surf;2.800 m.;Permitido el acceso de mascotas durante todo el año Normas:  Se permite el acceso de perros durante todo el año en la zona habilitada y debidamente señalizada para ellos, fuera de esta zona está prohibido. Deben de permanecer atados. Queda prohibido el acceso y estancia en los sistemas dunares. Aquellos catalogados como P.P.P deben ir siempre con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados. ACCESIBLE - PRACTICABLE Rampa de acceso al arenal para personas con movilidad reducida.  ;;;;;;;;;;;+43.574733,-6.042395;/documents/39908/43395/playon-de-bayas+%281%29.jpg/41298a0a-3c82-25da-77ab-0e13e7c29d7f?t=1716287196109,/documents/39908/43395/playon-de-bayas+%2810%29.jpg/c9609e73-4692-6036-057f-a6dc3588045a?t=1716287329920,/documents/39908/43395/playon-de-bayas+%285%29.jpg/9f61462b-a676-1b8f-e917-d4b4c58ff9c7?t=1716287202104,/documents/39908/43395/playon-de-bayas+%289%29.jpg/aa38d84d-7c03-e738-f751-a9b770aa26fc?t=1716287328410,/documents/39908/43395/playon-de-bayas+%286%29.jpg/f6713f52-2c28-00bc-163e-cf08ad8c3020?t=1716287203720,/documents/39908/43395/playon-de-bayas+%287%29.jpg/d4d11c8e-0169-2b19-b4cd-d92df5b1e370?t=1716287205240,/documents/39908/43395/playon-de-bayas+%284%29.jpg/5e94d8fa-ab50-42aa-06b8-1355fb7bfeb2?t=1716287200547,/documents/39908/43395/playon-de-bayas+%282%29.jpg/1ee7e15d-3aac-a283-a825-0e8624f97d17?t=1716287197652,/documents/39908/43395/playon-de-bayas+%283%29.jpg/42be0b0d-a8c8-52d5-d672-bc8e11bb3f8f?t=1716287199144;Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón,Playón de Bayas / Sablón;,,,,,,,,
