urls,valoracion,numero_votos
https://es.restaurantguru.com/Sidreria-Narcea-Cangas-del-Narcea,90,5048
https://es.restaurantguru.com/Restaurante-Casa-Del-Rio-Cangas-del-Narcea,90,1591
https://es.restaurantguru.com/Bar-Blanco-Cangas-del-Narcea,88,1512
https://es.restaurantguru.com/Restaurante-Leitariegos-Cangas-del-Narcea,86,507
https://es.restaurantguru.com/Restaurante-Especia-Parador-de-Corias-Corias,86,3020
https://es.restaurantguru.com/La-Calzada-Cangas-del-Narcea,80,282
https://es.restaurantguru.com/Del-Rio-Cangas-del-Narcea,78,20
https://es.restaurantguru.com/Restaurante-Penagrande-Cangas-del-Narcea,78,363
https://es.restaurantguru.com/Sidreria-Suiss-Cangas-del-Narcea-2,76,66
https://es.restaurantguru.com/Riesco-Cangas-del-Narcea,70,26
https://es.restaurantguru.com/Hotel-Rural-Casa-Grabelon-Fuentes-Del-Narcea-Cangas-del-Narcea,76,59
https://es.restaurantguru.com/Restaurante-Santuario-del-Acebo-Cangas-del-Narcea-2,70,23
https://es.restaurantguru.com/Cafe-Madrid-Cangas-del-Narcea,80,685
https://es.restaurantguru.com/Pizzeria-Canto-Cangas-del-Narcea,70,32
https://es.restaurantguru.com/Zaycor-Cangas-del-Narcea,64,26
https://es.restaurantguru.com/Sidreria-Suiss-Cangas-del-Narcea,76,627
https://es.restaurantguru.com/Moreno-Cangas-del-Narcea,74,190
https://es.restaurantguru.com/La-Ruta-Cangas-del-Narcea-2,64,22
https://es.restaurantguru.com/Bar-El-Mercao-Recinto-ferial-la-imera-Cangas-del-Narcea-Spain,64,22
https://es.restaurantguru.com/Magadan-Restaurante-Cangas-del-Narcea-2,72,94
https://es.restaurantguru.com/Pulperia-Tierras-Gallegas-Cangas-del-Narcea-2,65,20
https://es.restaurantguru.com/Street-Food-Cangas-del-Narcea,70,178
https://es.restaurantguru.com/Pizzeria-Lablugo-Cangas-del-Narcea,76,285
https://es.restaurantguru.com/Hotel-Restaurante-El-Molinon-Cangas-del-Narcea,64,38
https://es.restaurantguru.com/Bar-El-Escano-Cangas-del-Narcea,74,152
https://es.restaurantguru.com/M-Mallo-Menendez-Cangas-del-Narcea,74,99
https://es.restaurantguru.com/Chicote-Cangas-del-Narcea,76,508
https://es.restaurantguru.com/El-Forno-de-Manolo-Cangas-del-Narcea-2,70,342
https://es.restaurantguru.com/La-Himera-Cangas-del-Narcea,68,219
https://es.restaurantguru.com/La-Criolla-Cangas-del-Narcea,70,89
https://es.restaurantguru.com/Caniecho-Cangas-del-Narcea,76,40
https://es.restaurantguru.com/Cafe-Cadillac-Cangas-del-Narcea,72,116
https://es.restaurantguru.com/Panaderia-Manin-Cangas-del-Narcea,82,793
https://es.restaurantguru.com/Bar-Trasgu-Cangas-del-Narcea,72,67
https://es.restaurantguru.com/Cafeteria-Magdalena-Cangas-del-Narcea,72,60
https://es.restaurantguru.com/El-Molino-Cangas-del-Narcea,70,164
https://es.restaurantguru.com/Estacion-de-Servicio-Repsol-Cangas-del-Narcea,72,139
https://es.restaurantguru.com/Bar-Casa-Naxio-Corias,74,217
https://es.restaurantguru.com/Energy-Diner-Cangas-del-Narcea,70,42
https://es.restaurantguru.com/Restaurante-Casa-Elvira-Cangas-del-Narcea,70,160
https://es.restaurantguru.com/Roble-Pola-de-Lena,94,549
https://es.restaurantguru.com/Monte-San-Feliz-2,92,492
https://es.restaurantguru.com/Filanguiru-Pola-de-Lena,86,983
https://es.restaurantguru.com/Los-collacios-Pola-de-Lena,86,295
https://es.restaurantguru.com/El-Lleron-Pola-de-Lena,78,272
https://es.restaurantguru.com/Sidreria-El-Acebo-Pola-de-Lena-2,76,116
https://es.restaurantguru.com/Vinoteca-La-Cava-Pola-de-Lena-2,80,606
https://es.restaurantguru.com/Paralelo-Social-Club-Pola-de-Lena,74,65
https://es.restaurantguru.com/Cazampola-Pola-de-Lena,88,395
https://es.restaurantguru.com/La-Fragata-Pola-de-Lena,76,170
https://es.restaurantguru.com/Pizzbit-Pola-de-Lena-Pola-de-Lena,72,23
https://es.restaurantguru.com/King-Doner-Kebab-Bar-Asia-Pola-de-Lena,70,82
https://es.restaurantguru.com/La-Bodeguina-Pola-de-Lena,84,308
https://es.restaurantguru.com/Canterbury-Pola-de-Lena-Pola-de-Lena,74,34
https://es.restaurantguru.com/La-boca-el-fraile-Pola-de-Lena,64,79
https://es.restaurantguru.com/Casa-Chus-Pola-de-Lena,72,138
https://es.restaurantguru.com/Sidreria-Mino-Pola-de-Lena-2,88,779
https://es.restaurantguru.com/El-Valle-de-Lena-Pola-de-Lena,57,16
https://es.restaurantguru.com/Sidreria-el-lobo-Pola-de-Lena,76,56
https://es.restaurantguru.com/La-Gobeta-Pola-de-Lena,76,197
https://es.restaurantguru.com/Sunset-Llena-Pola-de-Lena,72,73
https://es.restaurantguru.com/La-Esquisa-Pola-de-Lena,74,163
https://es.restaurantguru.com/Cafeteria-El-Nene-Lena-Asturias,65,51
https://es.restaurantguru.com/Cafe-Calalluna-Pola-de-Lena,74,176
https://es.restaurantguru.com/Monterrey-Pola-de-Lena,72,85
https://es.restaurantguru.com/Xurde-Cb-Pola-de-Lena,72,90
https://es.restaurantguru.com/Maria-Lopez-Alegre-Pola-de-Lena,70,44
https://es.restaurantguru.com/Restaurante-Yomar-Pola-de-Lena,70,348
https://es.restaurantguru.com/Sidreria-la-sierra-Pola-de-Lena,74,464
https://es.restaurantguru.com/El-Molin-de-la-Pedrera-Cangas-de-Onis,94,5149
https://es.restaurantguru.com/Casa-Pedro-Parres-San-Juan-de-Parres,90,3432
https://es.restaurantguru.com/LLantares-de-Pelayo-Cangas-de-Onis,88,2504
https://es.restaurantguru.com/Bar-Tienda-Enol-Cangas-de-Onis-3,88,808
https://es.restaurantguru.com/La-Madreneria-Cangas-de-Onis,88,7336
https://es.restaurantguru.com/Balbona-Picos-de-Europa-Cangas-de-Onis,88,1654
https://es.restaurantguru.com/Los-Arcos-Cangas-de-Onis,86,2280
https://es.restaurantguru.com/Sidreria-El-Polesu-Cangas-de-Onis,86,5790
https://es.restaurantguru.com/A-La-Sombra-De-Un-Sifon-Cangas-de-Onis,86,327
https://es.restaurantguru.com/El-Horru-Encantau-Cangas-de-Onis,84,891
https://es.restaurantguru.com/Sidreria-Marivuelta-Cangas-de-Onis,84,820
https://es.restaurantguru.com/Parador-de-Cangas-de-Onis-Spain,84,3159
https://es.restaurantguru.com/El-Palco-Cangas-de-Onis,84,2900
https://es.restaurantguru.com/La-Parolaccia-Cangas-de-Onis,82,1334
https://es.restaurantguru.com/Casa-Luisa-restaurante-sidreria-y-pizzeria-Cangas-de-Onis,82,641
https://es.restaurantguru.com/Casa-Manuela-Cangas-de-Onis,82,964
https://es.restaurantguru.com/Restaurante-La-Peskateria-Formigal,82,506
https://es.restaurantguru.com/Finca-Villa-Maria-Cangas-de-Onis,82,863
https://es.restaurantguru.com/Restaurante-Asador-La-Cabana-Cangas-de-Onis,78,412
https://es.restaurantguru.com/Meson-Puente-Romano-Cangas-de-Onis,82,1516
https://es.restaurantguru.com/Bar-Restaurante-Nellya-Cangas-de-Onis,78,819
https://es.restaurantguru.com/El-Parque-Cangas-de-Onis,78,260
https://es.restaurantguru.com/Restaurante-Sidreria-El-Monarca-Cangas-de-Onis,76,430
https://es.restaurantguru.com/AIIRE-CONCEPT-BAR-Cangas-de-Onis,76,244
https://es.restaurantguru.com/El-Ovetense-Cangas-de-Onis,88,3470
https://es.restaurantguru.com/Verdejonegro-Bistro-and-Wine-Bar-Cangas-de-Onis,90,263
https://es.restaurantguru.com/Fenix-Cafeteria-Bar-Comer-Comida-Casera-Cangas-de-Onis,76,227
https://es.restaurantguru.com/Rio-Grande-Cangas-de-Onis,76,266
https://es.restaurantguru.com/El-Abuelo-Cangas-de-Onis,82,6476
https://es.restaurantguru.com/Bodega-Chispa-Cangas-de-Onis,82,1115
https://es.restaurantguru.com/El-Campanu-Cangas-de-Onis,76,1135
https://es.restaurantguru.com/Sidreria-Picu-Urriella-Cangas-de-Onis,76,1520
https://es.restaurantguru.com/Vega-Redonda-Cangas-de-Onis,76,396
https://es.restaurantguru.com/Pension-la-Barca-Cangas-de-Onis,84,1425
https://es.restaurantguru.com/Cuarenta-Grados-Cangas-de-Onis,74,697
https://es.restaurantguru.com/Sidreria-El-Parque-Cangas-de-Onis-2,74,584
https://es.restaurantguru.com/Bar-Restaurante-Angel-Cangas-de-Onis,74,189
https://es.restaurantguru.com/El-Avila-Cafeteria-and-Restaurante-Cangas-de-Onis,74,410
https://es.restaurantguru.com/La-Guarnicioneria-Cangas-de-Onis,72,143
https://es.restaurantguru.com/Restaurante-El-Palaciu-Pintu-Cangas-de-Onis,72,2725
https://es.restaurantguru.com/La-Fabrika-Mejor-cachopo-Cangas-de-Onis-Fabada-Cocina-casera-Menu-del-dia-economico-Cangas-de-Onis,72,606
https://es.restaurantguru.com/Mirador-La-Cepada-Hotel-Cangas-de-Onis,76,579
https://es.restaurantguru.com/Restaurante-Estacion-autobuses-Cangas-de-Onis-Cangas-de-Onis,70,14
https://es.restaurantguru.com/Sidreria-Mayar-Cangas-de-Onis-3,70,279
https://es.restaurantguru.com/Doner-Kebab-House-Cangas-de-Onis,70,50
https://es.restaurantguru.com/Restaurante-La-Casa-de-la-Fabada-Cangas-de-Onis,70,256
https://es.restaurantguru.com/El-Templo-Cangas-de-Onis,70,609
https://es.restaurantguru.com/Pulperia-Octopus-y-Tapas-Cangas-de-Onis,70,126
https://es.restaurantguru.com/El-Prau-Cangas-de-Onis,68,56
https://es.restaurantguru.com/La-Estacion-Cangas-de-Onis,68,90
https://es.restaurantguru.com/Hotel-Nochendi-Cangas-de-Onis,74,116
https://es.restaurantguru.com/Cerveceria-Park-Cangas-de-Onis,68,916
https://es.restaurantguru.com/Cerveceria-stadium-Cangas-de-Onis,70,138
https://es.restaurantguru.com/Sidreria-La-Caldera-Cangas-de-Onis,86,2309
https://es.restaurantguru.com/Sidreria-vega-redonda-Cangas-de-Onis,76,2110
https://es.restaurantguru.com/El-Comedor-Cangas-de-Onis,70,12
https://es.restaurantguru.com/Restaurante-casa-dago-Cangas-de-Onis,64,243
https://es.restaurantguru.com/Sidreria-El-Polesu-Casa-Pinin-Cangas-de-Onis,68,27
https://es.restaurantguru.com/Los-Robles-Cangas-de-Onis,86,333
https://es.restaurantguru.com/Ca-Melan-Cangas-de-Onis,78,1079
https://es.restaurantguru.com/Cafe-y-Copas-Cesar-Llosas-Cangas-de-Onis,62,70
https://es.restaurantguru.com/Los-Robles-Cangas-de-Onis-2,62,15
https://es.restaurantguru.com/El-Monarca-Cangas-de-Onis-2,62,24
https://es.restaurantguru.com/El-Llagar-Casa-Juan-Cangas-de-Onis,80,685
https://es.restaurantguru.com/Parrilla-Cangas-de-Onis,57,23
https://es.restaurantguru.com/Bar-Gijones-Cangas-de-Onis,68,83
https://es.restaurantguru.com/La-regenta-Cangas-de-Onis,78,539
https://es.restaurantguru.com/La-Huera-Cangas-de-Onis,70,73
https://es.restaurantguru.com/Panaderia-Santa-Rita-Sociedad-Cooperativa-Limitada-Cangas-de-Onis,72,147
https://es.restaurantguru.com/Aiire-Cangas-de-Onis,76,14
https://es.restaurantguru.com/Meson-Xico-Cangas-de-Onis,80,276
https://es.restaurantguru.com/Hamburgueseria-la-Carcel-Cangas-de-Onis,55,32
https://es.restaurantguru.com/Sidreria-Los-Nogales-de-Cano-Cangas-de-Onis-3,78,12
https://es.restaurantguru.com/Confiteria-Penalver-Cangas-de-Onis,76,274
https://es.restaurantguru.com/Confiteria-Covadonga-Cangas-de-Onis,80,210
https://es.restaurantguru.com/Restaurante-La-Santina-Gastro-Bar-Cangas-de-Onis,74,295
https://es.restaurantguru.com/Cafeteria-Reconquista-Cangas-de-Onis,72,461
https://es.restaurantguru.com/Cafe-Lanza-Cangas-de-Onis,68,107
https://es.restaurantguru.com/Cafe-Pandora-Aviles,92,817
https://es.restaurantguru.com/Restaurante-Gunea-Illas,92,535
https://es.restaurantguru.com/El-Panol-Aviles,90,1371
https://es.restaurantguru.com/Alkasbah-Aviles,90,1526
https://es.restaurantguru.com/Yume-Aviles,90,1077
https://es.restaurantguru.com/Ronda-14-Aviles,90,3703
https://es.restaurantguru.com/El-Circulo-Restaurante-and-Vinoteca-Aviles,88,602
https://es.restaurantguru.com/La-Darsena-Aviles,88,1665
https://es.restaurantguru.com/Restaurante-Joses-Aviles-4,88,669
https://es.restaurantguru.com/El-Poeta-Aviles,88,1101
https://es.restaurantguru.com/Restaurante-Rexidor-Luanco,86,376
https://es.restaurantguru.com/La-Chalana-Marisquerias-Aviles,86,5837
https://es.restaurantguru.com/Sidreria-San-Cristobal-Casa-Patxi-Aviles,86,1176
https://es.restaurantguru.com/La-Botella-Aviles,86,1508
https://es.restaurantguru.com/Yamiqueo-Aviles,86,411
https://es.restaurantguru.com/LAlfareria-Aviles,86,1065
https://es.restaurantguru.com/Pazo-de-Monterrey-Aviles,86,816
https://es.restaurantguru.com/Tataguyo-Aviles,84,2868
https://es.restaurantguru.com/Don-Pascuale-Aviles,84,1091
https://es.restaurantguru.com/Trattoria-Mascareta-Aviles,84,597
https://es.restaurantguru.com/DelAlba-Aviles,84,181
https://es.restaurantguru.com/Tierra-Astur-Aviles,82,13296
https://es.restaurantguru.com/La-Garnacha-Aviles,82,221
https://es.restaurantguru.com/Yumay-Aviles,82,2102
https://es.restaurantguru.com/Sidreria-La-Ruta-Aviles-2,82,1758
https://es.restaurantguru.com/Santa-Cecilia-Aviles-Aviles,82,309
https://es.restaurantguru.com/Casa-Alvarin-Aviles,82,2233
https://es.restaurantguru.com/Sidreria-Cabrunana-Aviles,82,729
https://es.restaurantguru.com/Pulperia-A-Feira-Spain,80,1585
https://es.restaurantguru.com/Restaurante-el-Balcon-Aviles,80,196
https://es.restaurantguru.com/Restaurante-La-Capilla-Aviles,80,1039
https://es.restaurantguru.com/El-Nogal-Aviles,80,1489
https://es.restaurantguru.com/Casa-German-Aviles,80,1581
https://es.restaurantguru.com/La-Comtienda-Aviles-Aviles,78,491
https://es.restaurantguru.com/Restaurante-la-Vieja-Rula-Aviles,78,1129
https://es.restaurantguru.com/La-Quinta-Restaurante-Aviles,80,1998
https://es.restaurantguru.com/Picakechinga-Aviles,88,1586
https://es.restaurantguru.com/Punto-de-Encuentro-Aviles-2,84,772
https://es.restaurantguru.com/Casa-Lin-Aviles,86,5042
https://es.restaurantguru.com/Meson-de-Salamanca-Aviles,84,809
https://es.restaurantguru.com/Plazas-Aviles,82,917
https://es.restaurantguru.com/Panorama-Aviles,78,3090
https://es.restaurantguru.com/LAlma-Restaurante-Aviles,78,110
https://es.restaurantguru.com/Sidrerias-ElMallu-Aviles,76,2752
https://es.restaurantguru.com/El-Espartal-Aviles,76,71
https://es.restaurantguru.com/Rias-Baixas-Aviles,78,970
https://es.restaurantguru.com/Vinoteca-Sal-de-vinos-Aviles-3,88,1004
https://es.restaurantguru.com/Casa-Carreno-Aviles,76,40
https://es.restaurantguru.com/El-pez-burro-Aviles,76,190
https://es.restaurantguru.com/Meson-El-Bodegon-Aviles,76,202
https://es.restaurantguru.com/Restaurante-Copacabana-Aviles,74,581
https://es.restaurantguru.com/Sidreria-Casa-Gelu-Aviles-3,74,557
https://es.restaurantguru.com/La-Arana-Aviles-4,80,666
https://es.restaurantguru.com/Sidreria-Astur-Aviles,82,677
https://es.restaurantguru.com/La-Cantina-de-Villalegre-Aviles-3,84,1341
https://es.restaurantguru.com/La-Smash-Aviles,74,409
https://es.restaurantguru.com/Casa-Carreno-Con-Los-Fogones-De-Dani-Aviles,86,1838
https://es.restaurantguru.com/El-Ambigu-del-Lar-Gallego-Aviles,76,165
https://es.restaurantguru.com/La-Bodega-De-Rivero-Aviles,80,625
https://es.restaurantguru.com/Sidreria-Los-Sauces-Aviles,84,5981
https://es.restaurantguru.com/Shanghai-City-II-Aviles,72,27
https://es.restaurantguru.com/HIKARI-SUSHI-Aviles,72,475
https://es.restaurantguru.com/Meson-Casero-Aviles-2,72,75
https://es.restaurantguru.com/Bar-Don-Pelayo-Aviles,72,166
https://es.restaurantguru.com/La-terraza-de-Llaranes-Aviles,78,608
https://es.restaurantguru.com/MESON-DE-FURACU-Aviles,90,1379
https://es.restaurantguru.com/Cueto-18-El-Cueto,74,62
https://es.restaurantguru.com/GoWok-Aviles,72,181
https://es.restaurantguru.com/Sidreria-Montera-Aviles,82,964
https://es.restaurantguru.com/Casa-Moises-Aviles,70,16
https://es.restaurantguru.com/La-Cachoperia-Aviles,86,1865
https://es.restaurantguru.com/Casino-de-Aviles-centro-social-Cafeteria-Restaurante-Aviles,70,11
https://es.restaurantguru.com/Shanghai-City-II-Aviles-2,70,448
https://es.restaurantguru.com/Restaurante-La-Magdalena-Aviles,70,230
https://es.restaurantguru.com/Drinks-and-Food-33400-Aviles,70,130
https://es.restaurantguru.com/Parrilla-San-Pelayo-Aviles,74,357
https://es.restaurantguru.com/Confiteria-Almabe-Aviles,80,730
https://es.restaurantguru.com/A-Fuego-Lento-Aviles-2,68,20
https://es.restaurantguru.com/Cafeteria-Restaurante-el-Forcon-Aviles,68,18
https://es.restaurantguru.com/La-Curuxa-Aviles,70,420
https://es.restaurantguru.com/Pulperia-Ria-de-Arosa-Aviles,68,101
https://es.restaurantguru.com/Meson-Viana-Aviles,86,761
https://es.restaurantguru.com/Burger-King-Aviles-2,68,812
https://es.restaurantguru.com/Sidreria-El-Rinconin-Aviles,68,136
https://es.restaurantguru.com/La-Competencia-Aviles,80,1666
https://es.restaurantguru.com/Casa-Marisa-Aviles,76,536
https://es.restaurantguru.com/Gastrobar-La-Plaza-Aviles,72,22
https://es.restaurantguru.com/Pura-Vida-Aviles-Aviles,74,162
https://es.restaurantguru.com/Hotel-Restaurante-LA-PEPA-Aviles,65,90
https://es.restaurantguru.com/Chigre-La-Barrosa-La-Cangueta,74,628
https://es.restaurantguru.com/El-Rinconin-Aviles-2,82,1204
https://es.restaurantguru.com/Pasaje-Roma-Aviles,86,867
https://es.restaurantguru.com/Restaurante-Cafeteria-El-Corte-Ingles-Aviles-2,64,197
https://es.restaurantguru.com/Bar-Mesa-Aviles,65,24
https://es.restaurantguru.com/Taqueria-Sol-Queretaro-Aviles,65,42
https://es.restaurantguru.com/Bocateria-Gyros-Pita-Aviles,86,203
https://es.restaurantguru.com/Taco-Bell-Aviles,74,687
https://es.restaurantguru.com/La-Antigua-Taberna-Gallega-Aviles,70,205
https://es.restaurantguru.com/City-Doner-Kebab-Aviles,72,236
https://es.restaurantguru.com/La-Bellota-Aviles,78,736
https://es.restaurantguru.com/La-Real-Compania-Sidrera-Y-Gastronomica-Aviles,76,298
https://es.restaurantguru.com/La-Celtica-Aviles,74,269
https://es.restaurantguru.com/Camara-4-Aviles,78,283
https://es.restaurantguru.com/Burger-King-Aviles,74,1722
https://es.restaurantguru.com/K-fe-Aviles-2,84,871
https://es.restaurantguru.com/La-Arana-Aviles-3,65,35
https://es.restaurantguru.com/telepizza-Corvera-de-Asturias,68,290
https://es.restaurantguru.com/Los-Molcajetes-Aviles,68,13
https://es.restaurantguru.com/Malvasia-Vinos-Tapas-Aviles,70,15
https://es.restaurantguru.com/Dominos-Aviles,78,1275
https://es.restaurantguru.com/Restautante-Rias-Baixas-Aviles-2,60,45
https://es.restaurantguru.com/Bar-Vieques-Aviles,84,650
https://es.restaurantguru.com/Burguer-King-Corvera-de-Asturias,72,2170
https://es.restaurantguru.com/Bar-Alfil-Aviles,70,20
https://es.restaurantguru.com/Bar-Marimar-Aviles,62,11
https://es.restaurantguru.com/Vinoteca-Sal-de-vinos-Aviles,80,350
https://es.restaurantguru.com/TAPUKAS-Aviles,74,387
https://es.restaurantguru.com/Almazara-Aviles,72,70
https://es.restaurantguru.com/McDonalds-Aviles,72,2279
https://es.restaurantguru.com/King-Doner-Kebap-Aviles,74,184
https://es.restaurantguru.com/La-Biblioteca-Aviles,78,4923
https://es.restaurantguru.com/Coliseo-Cafe-Aviles,74,478
https://es.restaurantguru.com/2000-Aviles,72,20
