Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Cala Salencia,Cudillero,+43.57245, -6.28010,"['Servicios:Admite animales', 'Longitud:150 m.', 'Tipo de Playa:Es una cala principalmente compuesta por bolos.', 'Accesos:Accedemos desde Novellana por la A8 y tomamos la salida 444.']","Territorio virgen con acceso para perros en cualquier época del añoCala Salencia está situada junto a la Playa de Lairín, no dispone de aparcamiento, aunque se puede acceder en coche, se recomienda dejarlo en el pueblo de Novellana. El estado habitual de la mar es oleaje moderado.Para caminar por la cala se recomienda llevar calzado resistente a las rocas y piedras de playa. Se trata de territorio virgen. Sin vigilancia, ni salvamento marítimo y sin otro tipo de servicios.Se recomienda extremar las precauciones a la hora del baño. En caso de emergencia llamar al 112.El camino de acceso a la playa se encuentra en la parte más oriental del pueblo de Novellana. El tiempo estimado de bajada a pie son quince minutos, por un camino amplio y asfaltado.Cala Salencia es la primera playa del concejo de Cudillero en tener permitido el acceso a perros durante todo el año. Está situada en Novellana.",Playa,https://www.turismoasturias.es/descubre/costa/playas/cala-salencia
Playa Arenal de Morís,Caravia,43.474690,-5.173349,"['Servicios:Aparcamiento de pago | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas y lavapiés | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tZona de merendero | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio de limpieza', 'Longitud:800 m.', 'Tipo de Playa:Arena fina, color tostado.', 'Accesos:Rodado.']","Muy bien equipada, accesible, versátil y en forma de concha800 metros de arena fina de color tostado,  para una de las playas más frecuentadas del concejo de Caravia, protegida por la punta de La Braniella que además delimita el concejo. El Arenal de Morís cuenta con excelentes equipamientos, y puntos accesibles para personas con movilidad reducida.Con un alto valor paisajístico, resulta muy adecuada para la pesca de roca y lapesca submarina. Además, dispone de una zona donde es frecuente la práctica del surf. En ella empieza un tramo de la senda costera,de unos diez kilómetros que termina en la playa de La Griega (Colunga).Ordenanza de tráficoOrdenanza de estacionamiento:Se prohíbe el estacionamiento y pernocta en los aparcamientos y en todo el perímetro del parque playa de cualquier caravana, autocaravana, vehículo mixto o cualquier vehículo apto para la acampada.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-caravia-arenal-de-moris
Playa Carranques,Carreño,+43.57753,-5.74332,"['Servicios:Aparcamiento gratuito | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas y lavapiés | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tCanchas deportivas en Ciudad de Vacaciones | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tPlaya sin Humo | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tParque infantil en Ciudad de Vacaciones | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tBarbacoa en Ciudad de Vacaciones | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tTransporte público, bus y tren', 'Longitud:220 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie y coche']","Un pasado como puerto ballenero, situado en la isla Entrellusa desde 1232.Dos pequeñas conchas separadas por un promontorio, así es la playa de Carranques, situada en la ciudad residencial de Perlora. Es un arenal muy frecuentado, con buenos equipamientos.De arena dorada y oleaje moderado, pierde casi toda su zona arenosa en pleamar. Su entorno es de gran interés paisajístico, con calas, cuevas y abundante vegetación.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-carranques
Playa Concha de Artedo,Cudillero,+43.56453,-6.18882,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:760 m.', 'Tipo de Playa:Bolos y arena dorada', 'Accesos:A pie fácil y coche']","En forma de concha y con aguas cristalinasLa Concha de Artedo es una de las playas más especiales de Asturias. Distinguida con Bandera Azul, son algo más de 700 metros de cantos rodados en la parte superior y arena dorada en bajamar, bien equipada y con bastante afluencia de bañistas.Disfruta de aguas cristalinas y se encuentra muy resguardada. Existen testimonios que hablan del fondeo de submarinos durante la Segunda Guerra Mundial en sus aguas, aunque no existen documentos escritos sobre ello que lo confirmen.Situada en Artedo.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-la-concha-de-artedo
Playa de Aguilar y Playa de Campofrío,Muros de Nalón y Cudillero,+43.55483,-6.11672,"['Servicios:Playa sin Humo | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tÁrea recreativa', 'Longitud:640 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie fácil y coche']","Un horizonte rocoso idóneo para fondear barcos de recreoLa presencia de enormes rocas de gran belleza confiere un gran atractivo a esta playa, la de mayor ocupación en el concejo de Muros de Nalón, aunque comparte el extremo occidental del arenal, con el concejo de Cudillero, denominado Playa de Campofrío, tras la desembocadura del arroyo del mismo nombre, siendo esta última la continuación natural de la Playa de Aguilar.Tiene un cómodo acceso en coche, aparcamiento, oferta hostelera, un pequeño paseo marítimo y es el punto de partida de la Ruta de los Miradores, que es un tramo espectacular de la senda costera que cruza Asturias.El Aguilar limita al oeste por la Punta del Gaveiro y al otro extremo por la Punta Castiello. Es un rincón de la costa perfecto para fondear embarcaciones de recreo y para practicar buceo y surf.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-aguilar-campofrio
Playa de Almenada,Llanes,+43.432541,-4.789482,"['Longitud:80 m.', 'Tipo de Playa:Arena blanca', 'Accesos:A pie fácil']","Un rincón increíble con doble salida al marUn tómbolo de tierra conforma esta playa distinta, preciosa y muy complicada de describir. La orilla, en ese caso son dos, una a cada lado del visitante. En frente, donde generalmente el bañista encuentra el mar abierto, aparecen acantilados rocosos que conducen a una pequeña isla. Detrás, más acantilados que resultan complicados de salvar.De difícil acceso, lo más sencillo es llegar a ella a través del agua, desde la playa de San Martín. Es especialmente peligroso permanecer en ella mientras sube la marea, ya que la salida es complicada.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-almenada
Playa de Andrín,Llanes,+43.410132,-4.707586,"['Servicios:Servicio de hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tSocorristas', 'Longitud:240 m.', 'Tipo de Playa:Arena blanca y bolos', 'Accesos:A pie fácil y coche']","Rocas y arena blanca rodeada de altos acantiladosDe fuerte oleaje e imprevisibles corrientes, la playa de Andrín es un bello paraje de arena blanca y rocas, situado a la derecha del mirador de la Boriza. Es una cocha de algo más de doscientos metros con buenos equipamientos aunque no muy masificada.Su entorno resulta impresionanterodeada de majestuosos acantilados. Por sus corrientes a los alrededores del islote que la separa de Ballota, en Andrín es aconsejable tener precaución en las actividades acuáticas.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-andrin
Playa de Anguileiro/La Grande/Campos,Tapia de Casariego,+43.566243,-6.949220,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento autocaravanas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:410 m.', 'Tipo de Playa:Arena fina dorada', 'Accesos:A pie y en coche']","El paraíso del surf y del sol en el occidenteEs una playa urbana, situada en el mismo Tapia, que se abre junto a los meandros del río Anguileiro y que aúna dos zonas conocidas como Los Campos y La Ribeira. Hacia el este, se encuentran más calas urbanas, como Maleguas, As Furadas y Ribeiría.Este arenal está formado por arena fina de color tostado. Dispone de todo tipo de servicios, un área recreativa, un amplio aparcamiento y un paseo marítimo que conecta con el puerto.Se trata del punto de la costa preferido por lossurfistas. De hecho, acoge unacompetición internacionalque se celebrada cada Semana Santa.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-anguileiro
Playa de Arnao,Castropol,+43.549084,-7.021937,"['Servicios:Duchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tÁrea recreativa | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:450 m.', 'Tipo de Playa:Arena fina dorada Entorno semiurbano', 'Accesos:A pie y coche']","La maravilla costera más occidental de AsturiasJusto antes de cruzar el Puente de los Santos sobre el río Eo, que une el Principado con Galicia, a la derecha, sale un desvío que nos lleva hasta la playa de Arnao, la más occidental de Asturias. De arena blanca y fina y con aguas tranquilas y cristalinas, Arnao ofrece una panorámica bellísima de las costas gallegas y asturianas.Cuenta con buenas instalaciones, un acceso fácil y salvamento en los meses estivales. En pleamar, su zona arenosa queda muy reducida.El acceso se efectuaba por un pequeño camino en la ladera y unas escaleras de hormigón.Situada en la localidad de Figueras. Forma parte de la Reserva de la Biosfera Río Eo, Oscos y Terras de Burón.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-arnao-castropol-
Playa de Arnao,Castrillón,+43.577520,-5.980806,"['Servicios:Playa sin Humo | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tBar/chiringuito (temporada estival) | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:300 m.', 'Tipo de Playa:Arena dorada y bolos Urbana', 'Accesos:A pie y coche']","A la sombra de un rehabilitado castillete mineroMar y minería, Asturias en estado puro en la playa de Arnao, una hondonada resguardada, de arena y piedras  dotada con buenos servicios y muy frecuentada por el turismo.La playa de Arnao tiene entre sus peculiaridadesLa Hollina, una piscina natural que se forma en bajamar, y la plataforma de Arnao, un conjunto fósil de formaciones coralígneas que cconstituyen un interesante arrecife.Con un oleaje entre moderado y fuerte, es frecuentada por surfistas, aunque sus aguas también son aptas para la pesca.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-arnao
Playa de Arnelles,Coaña,+43.560163,-6.731981,"['Servicios:Duchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tLavapiés | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento autocaravanas', 'Longitud:330 m.', 'Tipo de Playa:Arena fina dorada', 'Accesos:A pie']","Cien metros dorados al abrigo del cabo de San AgustínEn el margen oriental del Cabo de San Agustín, en el concejo de Coaña, encontramos la playa de Arnelles, un pequeño arenal de 100 metros de longitud, de arenas doradas, oleaje moderado ypoca ocupacióndebido a su acceso a pie.Encajada en un escarpado entorno, está situada cerca del bello puerto pesquero de Ortigueira, un lugar que merece una visita y donde se podrán encontrar distintos servicios. Está bien equipada.La playa forma parte de una Zona de Especial Protección para las Aves (ZEPA) y un Lugar de Importancia Comunitaria (LIC).",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-arnelles
Playa de Bahínas,Castrillón,+43.578277,-6.00626,"['Servicios:Playa sin Humo | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:210 m.', 'Tipo de Playa:Cantos, bloques y arena', 'Accesos:A pie fácil y coche']","Un paisaje agreste cubierto de oscuras arenasUna pequeña concha, resguardada de los vientos y con arena oscura. Así es la playa de Bahínas, en el concejo de Castrillón. Apenas 200 metros de gran belleza paisajística y fuerte oleaje,Poco frecuentada, la playa de Bahínas tiene entre sus sedimientos restos fósilesy cantos rodados. En sus inmediaciones, hay un camping por el que discurre un arroyo que termina en el extremo oriental del arenal.Clasificada como Zona de Especial Protección para las Aves (ZEPA) y Lugar de Importancia Comunitaria (LIC).",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-bahinas
Playa de Ballota,Llanes,+43.412431,-4.713786,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:350 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie y coche']","Un potente bufón que da personalidad a esta tranquila playaEs la hermana tranquila de la playa de Andrín. Separadas solo por el mirador de la Boriza, Ballota disfruta de unas aguas tranquilas con poco oleaje y una arena fina y blanca. El conjunto que forma junto con el islote del Castro es de espectacular belleza.Ballota tiene como peculiaridad un potente bufón activo en los días de oleaje. En pleamar, la zona de arena se cubre casi por completo dejando como resultado una playa de bolos y rocas. No dispone de muchos equipamientos y su acceso es sencillo.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-ballota
Playa de Barayo,Valdés y Navia,+43.561548,-6.615143,"['Servicios:Aparcamiento', 'Longitud:700 m.', 'Tipo de Playa:Arena fina oscura', 'Accesos:A pie fácil']","Reserva natural formada por arena, dunas y marismasLa Reserva Natural de Barayo está formada por el tramo final del río con el que comparte nombre, dunas, marismas y una playa salvaje de arena oscura.El arenal está compuesto por dos lenguas de arena, la que cubre el frente de la costa y una segunda que sirve de ribera a las aguas dulces.El acceso es peatonal, a través de una pista forestal o descendiendo por unas escaleras naturales enclavadas en el acantilado. En ambos extremos de la playa se han habilitado amplios aparcamientos.Está situada entre Sabugo y puerto de Vega.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-barayo
Playa de Barro,Llanes,+43.436783,-4.825736,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:250 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie y coche']","Una herradura de aguas tranquilas y fina arena blancaProtegida a ambos lados por sendos islotes, la playa de Barro es una hermosa concha de arena blanquecina y aguas cristalinas. Son unos trescientos metros abrigados del viento y del mar abierto, lo que hace que sus aguas sean idóneas para el baño por su baja peligrosidad. Quizá por ello soporta una fuerte ocupación.La playa de Barro es de una belleza serena. Así ha sido retratadaen numerosas ocasiones para la grande y la pequeña pantalla, apareciendo en ""El Portero"" de Gonzalo Suárez, ""Historia de un Beso"" de José Luis Garci y en la serie de televisión ""La Señora"".",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-barro
Playa de Bañugues,Gozón,+43.62915,-5.80975,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tCamping | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tVigilancia | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:131 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie fácil y coche']","Una tranquila playa de entorno rural y arenas doradasCon muy poco oleaje, la playa de Bañugues es una balsa tranquila, muy frecuentada y con buenos servicios, se trata de un arenal muy familiar, idealpara los niños, debido por un lado a su casi perpetua bandera verde y a las piscinas naturales que se forman en bajamar.Está enclavada en una ensenada donde se encuentran interesantesyacimientos del Paleolítico.Es una playa óptima para el baño y la práctica de la pesca deportiva.Forma parte del Paisaje Protegido del Cabo Peñas.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-banugues
Playa de Borizu,Llanes,+43.435713,-4.813811,"['Servicios:Servicio hostelería | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tDuchas | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAseos | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAparcamiento | \n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tServicio salvamento', 'Longitud:400 m.', 'Tipo de Playa:Arena dorada', 'Accesos:A pie y coche']","Está unida en bajamar a la isla de Borizu o ArniellesLa playa de Borizu es uno de los arenales de Celoriu, junto a Las Cámaras (o De los Frailes) y Palombina.Menos urbanizada que el resto, comparte con ellas su alta afluencia de bañistas, sus buenas equipaciones, las aguas cristalinas y la arena blanca.Como peculiaridad, Borizu destaca por estar unido en la bajamar a la isla de Borizu o Arnielles, a través de un tómbolo, lo que acrecienta su interés paisajístico y convierte el proceso pleamar-bajamar en un bello espectáculo.Aparece en las películas ""Remando al Viento"" (Gonzalo Suárez, 1988) y ""You're the One"" (José Luis Garci, 2000).",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-borizu
Playa de Buelna o Las Arenillas,Llanes,+43.395751,-4.618399,"['Servicios:Aparcamiento', 'Longitud:50 m.', 'Tipo de Playa:Arena blanca', 'Accesos:A pie fácil y coche']","Esta cala caprichosa es ideal para disfrutar en familiaEs una cala natural de gran belleza, con forma de canal caprichosa, que en bajamar impide ver el mar desde el fondo de la arena. Buelna es una playa que pasa de 50 a 1.000 metros en función de las mareas y que está formada por arena blanca y fina y rocas. Una de las más famosas es un pináculo calcáreo denominado El Picón. En sus inmediaciones se pueden visitar bufones.El arenal es muy familiar y con un baño seguro. Pese a que carece de equipamientos y no es accesible, registra un alto nivel de ocupación. Se accede a él mediante una pista desde Buelna.",Playa,https://www.turismoasturias.es/descubre/costa/playas/playa-de-buelna
