Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Archivo Histórico de Asturias,Oviedo,43.37055,-5.851186,"['Dirección:Arcipreste de Hita ■33012 - Oviedo/Uviéu', 'Teléfono985 225 769', 'Correo electrónico:archivohistorico@asturias.org', 'Sitio Web:https://archivosdeasturias.info/feaa/action/portada?buttons[0]=new']","El edificio de la Antigua Cárcel de Oviedo/Uviéu está situado en Ciudad Naranco. Se identifica por la cúpula, el remate del centro de la ""estrella"" que forman sus galerías.Fue construido entre 1886 y 1905 en lo que entonces era el arrabal de Ferreros. Inaugurado en 1907, el edificio responde al denominado modelo panóptico (tipología de establecimiento penitenciario propia del siglo XIX) con una rotonda o cuerpo central poligonal destinado a vigilancia, del que sale una estructura radial que traza una estrella de cinco puntas en la que estaban las galerías. El conjunto tiene tres pisos y el cuerpo central se cierra con una torre decagonal rematada con una cúpula con linterna.Todo el conjunto está rodeado por una muralla, con paseo de ronda y garitas, circulares y almenadas, en las esquinas. Fuera de esa muralla se construyó el pabellón de administración.Esta institución es unservicio de archivodonde los investigadores y usuarios buscan y consultan documentos para sus trabajos y estudios, o para otros requerimientos informativos. Dispone de una Sala de Consulta con capacidad para unas cincuenta personas.Se realizanvisitas guiadasa grupos como iniciativa de difusión del valioso patrimonio documental asturiano. Estas visitas, dirigidas especialmente a colectivos vinculados con las funciones del archico, como estudiantes universitarios de los Grados de Humanidades, Archiveros y profesionales de la información, así como estudiantes de Enseñanzas Medias de la rama de letras y diversos colectivos culturales, se llevan a cabo dos veces al mes y suelen tener un tamaño que oscila entre veinte y cincuenta personas.Es esencial destacar que, debido a la naturaleza del Archivo, estas visitas deben ser guiadas por el personal del Centro. Esto se debe a que se desarrollan en gran medida dentro de los depósitos documentales e instalaciones internas, ofreciendo a los visitantes una experiencia más completa y enriquecedora.Fecha de Construcción:Siglo XIX - XX",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/archivo-historico-de-asturias
Asturias si yo Pudiera,Gijón,43.453958, -5.625222,"['Dirección:Camín de la Xía, 932 ■33391 - Fano', 'Teléfono667 532 707', 'Correo electrónico:astures2006@hotmail.com']","A la exposición se han añadido representaciones internacionales como el Big Ben de Londres, la Torre de Pisa, el Cristo Redentor de Río de Janeiro, y, una de sus últimas incorporaciones, el Coliseo de Roma y la Santa Cueva, que son sin duda algunos de los atractivos principales de la visita.La visita guiada es perfecta para hacer con niños y es accesible con sillas de ruedas y carricoches, además de tener aparcamiento gratuito.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/exposicion-asturias-si-yo-pudiera
Aula de la Naturaleza y Centro Interpretación de la Palloza de Ibias,Ibias,43.039436,-6.869240,"['Dirección:■33810 - San Antolín', 'Teléfono615 164 329 / 985 816 101 (Ayuntamiento)', 'Correo electrónico:turismo@ibias.es', 'Sitio Web:https://www.ibias.es/informacion-general']","La finalidad del aula aunque es pedagógica, que aprovechan colegios o grupos ecologistas entre otros, también está abierta al público en general, ya que el centro cuenta con una exposición permanente sobre Ibias.A través de objetos, relatos, exposiciones que se pueden ver en el aula y de talleres que se realizan en la misma, el visitante descubrirá como era la vida en los pueblos asturianos de la zona hace siglos. Toda una experiencia que hay que vivir.En el edificio de al lado, La Palloza (construcción heredada de la edificación castreña y emparentada con la cabaña de las brañas somedanas), se recrea como eran las viviendas tradicionales, de planta circular u oval, con cerramientos de mampostería y cubiertas de paja de centeno, en ellas se muestra la forma de vida de nuestros antepasados.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/aula-de-la-naturaleza-del-parque-natural-de-las-fuentes-del-narcea-degana-e-ibias
Aula del Ferrocarril de Loredo,Mieres,43.269191,-5.833237,"['Dirección:Estación de Ferrocarril de Loredo ■33682 - Lloreo', 'Teléfono985 422 185', 'Correo electrónico:info@pozuespinos.com', 'Sitio Web:https://www.mieres.es/turismo/']","Es un equipamiento de tamaño reducido, con un contenido muy denso y técnico sobre ferrocarriles de una línea histórica al servicio de la minería, para público especializado.Hay que tener en cuenta que presenta algunos problemas de accesibilidad tanto a la zona donde se localiza el inmueble como a la exposición.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/espacios-culturales/aula-del-ferrocarril-de-loredo
Aula Didáctica del Castro de Coaña,Coaña,43.510837,-6.749303,"['Dirección:Castro de Coaña ■33796 - Villacondide', 'Teléfono985 978 401', 'Sitio Web:https://www.parquehistorico.org']","El Aula Didáctica del Parque Arqueológico de la Cuenca del Navia intenta acercar al visitante a la comprensión de lo que se dio en llamar ''Cultura Castreña del Noroeste''.Exposiciones permanentes:El Aula comienza con una exposición referente al método arqueológico. Un segundo apartado comenta el origen de la cultura castreña. El tercer capítulo se hace eco del análisis de la cultura castreña en Asturias.Estas vitrinas recogen la transición de la Edad del Bronce a la Edad del Hierro, así como información de los castros construidos en el siglo I d.C. Otro apartado se refiere a la minería del oro de época romana: poblamiento, minería y técnica minera.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/colecciones-museograficas/aula-didactica-del-castro-de-coana
Aula Didáctica del Oro,Belmonte de Miranda,43.282892,-6.218049,"['Dirección:Avda. del Parque ■33830 - Belmonte', 'Teléfono985 762 311 / 690 875 551', 'Correo electrónico:info@belmontedemiranda.com', 'Sitio Web:https://www.belmontedemiranda.es/aula-del-oro', 'Documentos:Ficha de accesibilidad']","Ubicada en el edificio de la antigua cárcel, da testimonio de la tradicional vinculación de Belmonte de Miranda con el oro. El aula didáctica parte de la época prehistórica para hacer un recorrido por los sucesos que marcaron el desarrollo de las distintas explotaciones mineras de metales, y lo que supusieron para la población de entonces.El oro, con sus significados económicos y simbólicos, sus formas de transformación y más concretamente, la evolución de sus técnicas de extracción forma parte inseparable de la historia de Belmonte de Miranda. El Aula del Oro pretende sintetizar esta impronta en el paisaje y en la memoria, desde sus orígenes hasta la actualidad.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/espacios-culturales/aula-didactica-del-oro
Aula Didáctica del Prerrománico Asturiano de la Cobertoria,Lena,43.130186,-5.816022,"['Dirección:Antigua Estación de La Cobertoria. ■33637 - La Cobertoria', 'Teléfono985 497 608 (imprescindible cita previa)', 'Correo electrónico:aulaprerromanico@aytolena.es']","Alojada en un edificio singular, el aula ha sido concebida como un equipo cultural eminentemente didáctico y divulgativo. Para ello ha sido dotado de paneles ordenados temáticamente en cuatro secciones, adaptándose a la distribución interior del propio edificio: introducción al aula, el reino de Asturias, la arquitectura asturiana, Santa Cristina de Lena. Asimismo, dispone de varias aplicaciones multimedia, en las que el visitante puede ampliar la información recogida en los paneles y observar reconstrucciones infográficas de Santa Cristina de Lena, Santa María del Naranco y San Miguel de Lillo. Posee igualmente un pequeño salón, susceptible de acoger pequeños seminarios, encuentros o cursillos relacionados con la materia.Por último, actúa como centro de orientación turística del concejo de Lena y del Principado de Asturias, y de la arquitectura prerrománica asturiana en particular.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/espacios-culturales/aula-didactica-del-prerromanico-asturiano-de-la-cobertoria
Aula Didáctica El Molín de la Chalana,Laviana,43.237043,-5.555502,"['Dirección:La Chalana ■33980 - La Pola Llaviana/Pola de Laviana', 'Teléfono689 285 677', 'Correo electrónico:info@elmolindelachalana.com']","Si lo que buscas es descubrir el proceso del trigo, la cebada, el maíz, el centeno o la escanda desde su siembra hasta su conversión en pan este es tu sitio.El molín de La Chalana es un molino hidráulico totalmente restaurado a orillas del río Nalón, para que todo tipo de visitantes puedan conocer los entresijos de la obtención de una buena harina con la que preparar un buen pan, unos tortos o una boroña.Por su situación en el valle de Laviana, en el centro de Asturias, podrás disfrutar también del fantástico entorno natural que rodea al molino. Conoce además toda la historia de su construcción o visita la galería de fotos.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/aula-didactica-el-molin-de-la-chalana
Bioparc Acuario de Gijón,Gijón,43.542198,-5.676489,"['Dirección:Playa de Poniente ■33212 - Gijón/Xixón', 'Teléfono985 185 220', 'Correo electrónico:info@acuariodegijon.es', 'Sitio Web:https://www.acuariogijon.es', 'Documentos:Ficha de accesibilidad']","El Acuario de Gijón/Xixón pone a tu alcance un recorrido por 60 acuarios de agua dulce y salada que te permitirán conocer al detalle la flora y la fauna de los mares del mundo.Un viaje por los mares del mundo, comenzando con un río cantábrico y especies de agua dulce como los esturiones, salmones y truchas, hasta llegar a las aguas cálidas llenas de corales y maravillosos peces repletos de color, y por supuesto, tiburones, tortugas...Aforo limitado.Se recomiendareservar la visita online. Aparcamiento público a cincuenta metros.",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/acuario-de-gijon
Bosque-Jardín de la Fonte Baxa,Valdés,43.547231,-6.541097,"['Dirección:Playa Segunda de Luarca ■33700 - Luarca/Ḷḷuarca', 'Teléfono616 318 198 / 985 640 083', 'Correo electrónico:turismo@ayto-valdes.net', 'Sitio Web:https://www.turismoluarcavaldes.es/bosque-jardin-de-la-fonte-baxa']","La casa familiar que dio origen a este jardín se ubica en El Chano, si bien tanto la entrada como el aparcamiento al Bosque-Jardín de la Fonte Baxa se hacen desde la playa de Luarca. Desde aquí descubrirás uno de los grandes tesoros de Luarca/Ḷḷuarca. La historia de los jardines es tan curiosa que dentro de unos años tal vez se transforme en una leyenda como la del Puente del Beso.Y es que estos jardines nacen de una gran historia de amor: la del marqués de San Nicolás de Noras, José Rivera y Larraya, que un día apareció por Luarca/Ḷḷuarca y se enamoró literal y absolutamente del lugar donde hoy viven árboles, arbustos y plantas del mundo entero, algunas de ellas con historias increíbles como de cuento fantástico.El jardín tiene una superficie de 10 hectáreas, que se extienden por un vallejo espectacular, que absorbe como ninguno los vientos del Cantábrico, y desde el que tendrás unas vistas estupendas de Luarca/Ḷḷuarca.Miles y miles de azaleas, rododendros, camelias, hortensias… se dibujan en el que hoy es el jardín con mayor riqueza botánica de Asturias, y en el que crecen especies que nunca antes se habían desarrollado fuera de su hábitat.Por si esto fuera poco, el jardín cuenta a cada paso con piezas y antigüedades de gran valor artístico, traídas desde distintos lugares del mundo, principalmente de Europa y España. Columnas romanas, la puerta de un convento, un humilde escaño de la Asturias rural, un mascarón de proa, y muchas más obras de arte de gran valor, te sorprenderán en el maravilloso paseo por los Bosque-Jardín de la Fonte Baxa, del cuál el Valdesano José Manuel Alba, fue el guía que dió a conocer al mundo este jardín, diseñado por el paisajista Rafael Ovalle de la mano del mecenas José Javier Rivera Larraya.Declarado Centro Azul",Cultura,https://www.turismoasturias.es/descubre/cultura/museos-y-espacios-culturales/otros-espacios/bosque-jardin-de-la-fonte-baxa
