Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Parque Nacional de Los Picos de Europa,"Amieva, Cabrales, Cangas de Onís, Onís y Peñamellera Baja",43.263064,-4.775271,"['Extensión:646 km2', 'Altitud Máxima:2.648 m. en Torrecerredo (macizo central)']","Centro de Recepción de Visitantes, Casa Dago(Cangas de Onís).Centro de Visitantes Pedro PidalLagos de Covadonga (Cangas de Onís).Cueva-Exposición del Quesuy centros de producción artesanal del Queso Cabrales (DOP) (Cabrales).Rutas:delCares(Cabrales), Entrelagos (Cangas de Onís),Panes-Alles(Peñamellera Alta y Peñamellera Baja).Espacios protegidos dentro del Parque: Monumentos Naturales de la Torca de Urriellu (Cabrales), Sistema del Trave (Cabrales), Sistema del Jitu (Onís), Red de Toneyu (Amieva).Observación de flora y fauna: águila real, rebeco, hayas.Real Sitio de Covadonga(Cangas de Onís).Lagos de Covadonga (ErcinayEnol) (Cangas de Onís).Majada de Belbín (Onís).Bulnes y sufunicularCabrales).¿Qué debo saber antes de visitar el Parque Nacional de Los Picos de Europa?.Así suenan Los Picos de Europa.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-nacional-de-los-picos-de-europa
Parque Natural de Somiedo,Somiedo,43.092362,-6.256084,"['Extensión:283 km2', 'Periodo de visita:Todo el año.', 'Altitud Máxima:2.194 m en el Pico Cornón.', 'Contacto:Centro de Recepción eInterpretación del ParqueNatural de Somiedo33840. La Pola Somiedo985 763 758']","Centro de Recepción e Interpretación del Parque Natural de Somiedo.Ecomuseo de Somiedo(Caunedo) y Casas de Teito (Veigas).Rutas:Lago del Valle,Lagos de Saliencia, Las Brañas de la Pornacal y Brañavieja, Ruta de Sousas, Ruta del Cornón.Espacios protegidos en el Parque: Monumento NaturalConjunto Lacustre de Somiedo.Observación flora y fauna: Senderos Interpretativos del Oso, Senda Interpretativa de Castro, senda accesible de Pola de Somiedo.Brañas: Mumián,La Pornacal, La Peral, Sousas.CódigoBUENAS PRÁCTICAS.ACTIVIDADES NO PERMITIDAS:Causar molestias a la fauna o dañar a la flora.La acampada libre, caravanas u otros albergues móviles (excepto el vivac en ZUG, ZUA y ZAM).Las actividades acuáticas como descenso de cañones y barrancos, aguas bravas, rafting, etc. en los ríos del Parque Natural.Las actividades deportivas con vehículos a motor.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-natural-de-somiedo
Parque Natural de Redes,Caso y Sobrescobio,+43.1658938,-5.3520876,"['Extensión:376 km2', 'Periodo de visita:Todo el año.', 'Altitud Máxima:2.002 m. en La Rapaína.', 'Contacto:Centro de\xa0Interpretación de laNaturaleza del ParqueNatural de Redes-CasoPráu la Feria33990 El CampuTeléfono985 608 022 / 985 608 145Casa del Agua de Sobrescobio33993 Rusecu/RiosecoTeléfono985 652 132 / 610 574 320']","Declarado Parque Natural en 1996, y reconocido por la UNESCO como Reserva de la Biosfera en 2001, el Parque de Redes ocupa la zona centro oriental del Principado de Asturias.Su riqueza ambiental se manifiesta en una multitud de paisajes y contrastes. Pueden observarse incluso formaciones de origen glaciar, como morrenas o circos, formas kársticas en cuevas, y amplios campos de pasto y montes. Redes cuenta con una superficie arbolada que ocupa el 40% del territorio.Destacan cumbres como el Retriñón, la Peña'l Vientu, Cantu l'Osu, el Tiatordos y la Rapainal, la máxima altitud del parque con 2.002 m. La acción de los ríos ha dado lugar a la aparición de valles abiertos que forman grandes vegas en sus fondos o a los impresionantes desfiladeros de roca caliza, como el del río Alba o el de los Arrudos, principales destinos de las familias amantes del senderismo. Uno de los lugares más impresionantes del parque se halla en su zona alta: de fácil acceso desde el pueblo de Bezanes y aislada por los contrafuertes montañosos, a 1.215 m. se encuentra la vega de Brañagallones.En el Parque de Redes se encuentran todas las especies características del norte peninsular, el oso pardo, el urogallo y el lobo; y se localizan también las mayores poblaciones de rebecos y ciervos de Asturias. El hayedo es la formación vegetal dominante en los montes de Redes, aunque estos albergan importantes manchas de roble albar.En el Parque Natural de Redes los perros deben de ir bajo el control efectivo de su dueño (preferiblemente sujetos con correa), excepto perros guardianes de rebaños, perros de caza en cacerías y perros guía.ACTIVIDADES NO PERMITIDASCausar molestias a la fauna o dañar a la flora.La acampada libre, caravanas u otros albergues móviles (excepto el vivac en ZUG, ZUA y ZAM).Las actividades acuáticas como descenso de cañones y barrancos, aguas bravas, rafting, etc. Así como los usos recreativos y el baño en lagos y embalses.Las actividades deportivas con vehículos a motor.Las actividades aéreas deportivas de vuelo sin motor, paracaidismo, parapente y similares.CÓDIGO DE BUENAS PRÁCTICASFloraEl hayedo es la formación vegetal dominante en los montes de Redes, aunque estos albergan importantes manchas de roble albar. Sus bosques, fragmentados por áreas de pasto y matorral, son los más destacados de las cuencas altas del río Nalón. El hayuco, nutritivo fruto de las hayas, forma parte de la alimentación de la preciada fauna del Parque de Redes.Salteados por todo el territorio surgen fresnos, tejos, abedules o acebos. En la alta montaña se desarrollan los matorrales de enebro rastrero, con gayuba en las peñas calcáreas y con brecina y arándano en los sustratos silíceos.FaunaPor el Parque de Redes pasean todas las especies características del norte peninsular. El oso pardo, que merodea desde Peloño. El lobo abunda por todo Redes, con zonas estables de cría. Encontramos también las mayores poblaciones de rebecos de la región y ciervos reintroducidos y perfectamente adaptados. El fastuoso urogallo, alimoches, águilas reales y un sin fin de aves; reptiles y anfibios se benefician del estado de conservación del parque.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-natural-de-redes
"Parque Natural de las Fuentes del Narcea, Degaña e Ibias","Cangas del Narcea, Degaña e Ibias",43.195990, -6.542865,"['Extensión:555 km2', 'Periodo de visita:Todo el año', 'Altitud Máxima:2.002 m. en el Pico Cueto de Arbas', 'Contacto:Casa del Parque Natural de lasFuentes del Narcea, Degañae Ibias33816 Courias.\xa0Cangas del Narcea985 813 981pnfuentes@tragsa.esCentro de Interpretación e Información delParque Natural de las Fuentes del Narcea, Degaña e Ibias ""Casa Florencio""33812 Zarréu.\xa0Degaña610 588 462turismodegania@degania.orgAula de la Naturaleza y Centro Interpretaciónde la Palloza de Ibias33810. San Antolín.\xa0Ibias615 164 329turismo@ibias.es']","Casa del Parque Natural de las Fuentes del Narcea, Degaña e Ibias. Courias (Cangas del Narcea).Aula de la Naturaleza y Centro Interpretación de la Palloza de Ibias. San Antolín (Ibias).Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias ""Casa Florencio"". Zarréu (Degaña)Museo del Vino(Cangas del Narcea).Rutas:Laguna del Cueto de Arbas(Cangas del Narcea),Pomar de las Montañas(Cangas del Narcea), Laguna de Chagüeños (Degaña), Dolmen da Hucha (Ibias).Espacios protegidos en el Parque:Reserva Natural Integral de Muniellos(Cangas del Narcea e Ibias).Observación flora y fauna: Senderos Interpretativos del Oso (consultar:tierradeosos.es), vegetación de laguna en el Cueto de Arbas (Cangas del Narcea).Mirador del Alto del Acebo(Cangas del Narcea).Artesanos de la madera (lostixileiroso cunqueiros).Código deBUENAS PRÁCTICAS.Así suenan Las Fuentes del Narcea, Degaña e Ibias.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-natural-de-las-fuentes-del-narcea-degana-e-ibias
"Río Eo, Oscos y Terras de Burón","Castropol, Taramundi, San Tirso de Abres, Vegadeo, San Martín de Oscos, Santa Eulalia de Oscos y Villanueva de Oscos",+43.515568,-7.043293,"['Extensión:1.588 km2', 'Periodo de visita:Todo el año.', 'Altitud Máxima:1.202 m. en el Pico de A Bobia.', 'Contacto:CEDER Oscos-Eo33770 A Veiga/Vegadeo985 476 509ceder@oscos-eo.net']","Centro de Interpretación de la Ría del Eo - (Castropol).Conjunto Etnográfico de Os TeixóisyMuseo de los Molinos de Mazonovo(Taramundi).Museo Etnográfico de Esquíos(Taramundi).Conjunto Etnográfico de Mazonovo(Santa Eulalia de Oscos).Casa Natal del Marqués de Sargadelos(Santa Eulalia de Oscos).Ecomuseo del Pan(Villanueva de Oscos).Rutas:Senda Verde San Martín de Oscos, Ruta de los Bosques de Villanueva de Oscos,Cascada Cioyo(Castropol), de las Minas (Castropol).Espacios protegidos dentro de la Reserva: Monumento Natural de laPlaya de Penarronda(Castropol y Tapia de Casariego).Observación flora y fauna: Salmonera del río Eo (San Tirso de Abres), aves migratorias en la ría del Eo (Castropol y Vegadeo), vegetación de ribera y bosques mixtos.As Veigas (Taramundi).Monasterio deSanta María de Villanueva(Villanueva de Oscos).",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/oscos-eo
Parque Natural de Las Ubiñas-La Mesa,"Lena, Quirós y Teverga",43.160709,-5.827519,"['Extensión:451 km2', 'Periodo de visita:Todo el año', 'Altitud Máxima:2.417 m. en el Fontán Norte.', 'Contacto:LenaOficina de Turismo33630 La Pola985 497 608turismo@aytolena.esQuirósOficina de Turismo33117 Bárzana985 768 096info@quiros.esTevergaOficina de Turismo33111 Samartín985 764 293info@tevergaturismo.com']","Museo Etnográfico de Quirós.Parque de la Prehistoria (Teverga).Rutas:Senda del Oso(Santo Adriano, Proaza, Quirós y Teverga),Cascada del Xiblu(Teverga), Bosque de Valgrande (Lena), Camín Real del Puerto Ventana o delas Reliquias(Quirós), Camín Real de la Mesa yVía de la Carisa.Espacios protegidos en el Parque: Monumentos Naturales deCueva Huerta(Teverga), de losPuertos de Marabio(Teverga, Yernes y Tameza y Proaza) yTejo de Bermiego(Quirós).Observación de flora y fauna: Hayedos de Montegrande y Valgrande, rodales de acebo en elPuerto de Agüeria, Senderos Interpretativos de la Berrea (consultar:tierradeosos.es), oso, águila real, desmán de los Pirineos, alimoche y buitre leonado.Paisajes: Valle del Meicín, a los pies de Ubiña (Lena),Embalse de Valdemurio(Quirós), Los Garrafes (Quirós).CódigoBUENAS PRÁCTICAS.Más rutas de senderismo",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-natural-de-las-ubinas-la-mesa
Parque Natural de Ponga,Ponga,+43.1938484,-5.1640605,"['Extensión:255 km2', 'Altitud Máxima:2.142 m. Peña Ten', 'Contacto:Centro de\xa0Interpretación del ParqueNatural de Ponga33557 San Xuan/San Juan de Beleño. PongaTeléfono985 843 113']","El Parque Natural de Ponga fue declarado Reserva de la Biosfera por la UNESCO, en el año 2018. Entre sus alineaciones montañosas más importantes destaca el sector de la Cordillera Cantábrica que forma su límite meridional y que constituye la divisoria de aguas entre las cuencas del Sella y del Duero, albergando picos tales como El Abedular (1.813 m.), Les Pandes (1.879 m.) y Peña Ten (2.142 m.), entre otros. El Cordal de Ponga forma su límite occidental e incluye cumbres notables, tales como Maciéndome (1.899 m.), Tiatordos (1.951 m.) y Campigüeños (1.838 m.), entre otros.Los ríos más importantes del concejo son el Sella, que atraviesa la zona oriental del territorio para seguir su curso por Amieva, y el Ponga, que recorre el concejo de sur a norte. Entre los afluentes locales del Sella destacan el arroyo Roabín, río Mojizo, río Porciles y Santa Bustia. Los afluentes más importantes del Ponga son los ríos de Taranes y del Valle Moro. La mayor parte de estos valles fluviales son angostos y sus laderas presentan pendientes muy elevadas, siendo los casos más espectaculares el Desfiladero del Ponga y el Desfiladero de los Beyos.El Parque de Ponga mantiene una elevada diversidad ambiental, representativa de las montañas centro-orientales de Asturias, así como un notable grado de conservación de sus recursos naturales (geológicos, vegetales y animales).Desde el punto de vista geológico el territorio del Parque Natural de Ponga se sitúa en la denominada ""Unidad del Ponga"", cuyo rasgo estructural más destacado es la presencia de una serie de cabalgamientos de trazado sinuoso, debido a la existencia de pliegues transversales a los mismos. Existe además un importante conjunto de fracturas que cortan a ambos grupos de estructuras, presentando algunas de ellas una notable extensión lateral, como sucede con la Falla de Ventaniella que, debido a la Orogenia Alpina, ha sufrido un desplazamiento vertical con elevación del bloque nororiental, dando así lugar a la alineación montañosa del Cordal de Ponga.En el Parque Natural de Ponga los perros deben de ir bajo el control efectivo de su dueño (preferiblemente sujetos con correa), excepto perros guardianes de rebaños, perros de caza en cacerías y perros guía.ACTIVIDADES NO PERMITIDASCausar molestias a la fauna o dañar a la flora.La acampada libre, caravanas u otros albergues móviles (excepto el vivac en ZUG, ZUA y ZAM).Las actividades acuáticas como el descenso de cañones y barrancos, aguas bravas, rafting, etc. (con la excepción de los cañones de Viboli y Carangas, que será uso autorizable).Las actividades deportivas con vehículos a motor.Las actividades aéreas deportivas de vuelo sin motor, paracaidismo, parapente y similares.CÓDIGO DE BUENAS PRÁCTICASFloraEl Parque Natural de Ponga se caracteriza por presentar un excelente grado de conservación. Prueba de ello es la elevada superficie que se encuentra ocupada por bosques maduros que comprenden el 37 % del territorio, incluyendo diversos tipos de robledal, abedulares, fresnedas con arce, alisedas, pero sobre todo hayedos.Tal es la importancia ecológica de los bosques ponguetos que en el seno del parque se encuentra la Reserva Natural Parcial de Peloño, una gran extensión continua de hayas.Estas masas boscosas se alternan con otras formaciones como prados, pastos, piornales, brezales y tojales, consecuencia del uso ancestral del territorio, confiriéndole al paisaje de Ponga una singular belleza. Destaca también la presencia de plantaciones de castaño, que son muy llamativos, pues se concentran en el área central del parque, en torno a las localidades de San Xuan/San Juan de Beleño, Abiegos y Tarañes.Por último, mencionar la presencia de numerosas comunidades azonales como las rupícolas, que encuentran en las escarpadas laderas del Tiatordos un hábitat óptimo, o las de alta montaña, relegadas a las zonas de mayor altitud en el noreste del parque.De la flora del parque destaca la presencia de diversas especies incluidas en el Catálogo de Flora Amenazada del Principado de Asturias. En los medios forestales crecen el tejo y el acebo, este último llegando a formar pequeños rodales. Así mismo en el Parque se puede encontrar al narciso asturiano así como a la genciana, ambos ampliamente distribuidos en la región asturiana.FaunaEn el Parque Natural de Ponga se encuentran representados todos los elementos que configuran la riqueza faunística de la montaña centro oriental de la región. El buen estado de conservación de sus hábitats permite la presencia en esta zona de las especies más emblemáticas de la Cordillera Cantábrica.Entre los mamíferos, además de las especies típicas de la montaña oriental asturiana, se pueden observar de forma esporádica ejemplares de oso pardo, catalogado como especie en peligro de extinción. La nutria y el desmán se distribuyen por la mayoría de los ríos de este espacio constituyendo un reflejo del buen estado de conservación de este tipo de ecosistemas, dados los estrictos requerimientos ecológicos de ambas especies.En los piornales y praderías es abundante la presencia de liebre de piornal, pudiendo observarse además la liebre europea, que encuentra en Ponga uno de sus últimos refugios.Entre las especies cinegéticas destaca la presencia de ciervo, corzo, rebeco cantábrico y jabalí.El Parque Natural de Ponga alberga una rica y diversa avifauna. Entre las especies más destacadas se encuentra el urogallo cantábrico y el pico mediano, catalogadas como especies sensibles a la alteración de su hábitat por el Catálogo Regional, o el pico negro. Así mismo, este territorio alberga numerosas rapaces entre las que se encuentran el águila real, el buitre leonado, el alimoche común y el azor. En las zonas más elevadas del concejo se pueden observar especies ligadas a hábitats de alta montaña como el gorrión alpino o la perdiz pardilla.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/reservas-de-la-biosfera/parque-natural-de-ponga
Guía para visitar Muniellos,Cangas del Narcea e ibias,+43.047738,-6.654593,"['Extensión:55 km2', 'Periodo de visita:Todo el año.', 'Altitud Máxima:Pico la Candanosa con 1676 m.', 'Contacto:Centro de Interpretación de Muniellos(entre Oubachu y Mual)Centro de Recepción de Visitantes de Muniellos(Las Tablizas)']","Comprende los montes de Munieḷḷos y La Vilieḷḷa (Cangas del Narcea) y el monte de Valdebois (Ibias). El Bosque de Muniellos, el mayor robledal de España y uno de los mejores conservados de Europa, acoge en su entorno a una verdadera naturaleza virgen que renace en cada estación con sorprendentes muestras de su adaptación al medio ambiente. Siempre cambiante, es ejemplo claro del paraíso asturiano en todas las épocas del año. Robles de distintas especies y de hasta seis metros de diámetro, hayedos y abedules que se ven salpicados por la continua presencia de acebos y tejos, reyes perennes del otoño de Muniellos.Este fantástico bosque, lleno de leyendas y mitología astur, se asienta sobre un sustrato paleozoico de unos 500 millones de años de antigüedad; en él se pueden observar antiguos circos glaciares y lleronas, canchales de cuarcitas desmenuzadas. Del origen glaciar de Muniellos dan fe las famosas lagunas del Pico de la Candanosa, cuatro escalones de agua, de belleza enigmática, que se esconden entre valles, senderos y cimas. La ascensión a estas lagunas: la Peña, Grande, Fonda y La Isla conforman uno de los recorridos de máximo interés entre los amantes del senderismo.El río Muniellos o Tablizas, afluente del Narcea, atraviesa todo el bosque, recogiendo las aguas de los numerosos arroyos que se deslizan torrencialmente a sus lados. La climatología es típicamente montañosa, con una pluviosidad elevada, del orden de los 1.800 litros por metro cuadrado, y una temperatura de 10º en la media montaña y por debajo de los 6 en la región de cumbres. La nieve es frecuente durante la estación fría, llegando a permanecer gran parte del invierno en las zonas más elevadas.FloraOtro de los fascinantes secretos deMunielloses su gran variedad de hongos y setas, la mayoría de ellas comestibles, que siembran los bosques con más de cuatrocientas especies. Las plantas aprovechan cualquier descuido del sol de invierno para echar sus frutos de intenso colorido. Casi cuatrocientas especies diferentes, algunas de las cuales forman parte del catálogo de Especies Amenazadas de la Flora del Principado de Asturias.FaunaLos amantes de los animales tienen en el Bosque deMuniellosun importente referente sobre la fauna asturiana. Abundante, variada y escurridiza, se esconde en los entresijos del bosque, huyendo de la presencia humana. El más relevante es el oso pardo cantábrico, que encuentra en la zona las condiciones adecuadas para su desarrollo y supervivencia. El lobo puebla los montes con áreas estables de cría y presencia de grupos familiares, alimentándose de otros animales que habitan los montes como el jabalí o el corzo. Es posible observar la muda del pelaje del zorro en otoño, cuando las ardillas, arrendajos y urogallos cambian su dieta primaveral por los abundantes frutos que llenan el bosque: arándanos, moras, avellanas y bellotas.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/espacios-protegidos/bosque-de-muniellos
Reserva Natural Parcial Barayo,Navia y Valdés,+43.561548,-6.615143,"['Extensión:2 km2', 'Periodo de visita:Primavera y verano']","Prohibido perros y otros amínales domésticos.El ámbito geográfico objeto de protección comprende el tramo costero, a caballo entre los concejos de Valdés y Navia. El río Barayo forma en su desembocadura, un complejo estuarino de alto valor natural y elevada calidad paisajística.A nivel europeo, la Reserva Natural Parcial Barayo, se encuentra dentro de la Red Natural 2000, por estar declarado Zona Especial de Conservación (ZEC) y Zona de Especial Protección para las Aves (ZEPA).El río, a pesar de su curso corto, apenas 12 km, ha excavado en esta rasa un valle angosto, con laderas escarpadas, en cuya desembocadura forma un estuario con varios meandros.El río se acerca a la zona de playa por la parte oriental, aunque desemboca en la parte occidental, y salvo la playa de Barayo y la de Sabugo, el resto de la costa es acantilada, con varios islotes de pequeño tamaño. Estos acantilados sufren el constante azote del oleaje, conformando durante esta eterna batalla numerosos pedreros y cuevas.FloraLa vegetación de playas y dunas se encuentra en excelente estado de conservación, con una buena representación de las comunidades de arribazón de la claseCakiletea maritimae. En los extremos de la ensenada de Barayo existen complejos de vegetación de acantilados típica de la costa occidental asturiana, y en las laderas que cierran la desembocadura del río domina la serie de las carbayeras oligótrofas galaico-asturianas.La existencia de comunidades de vegetación de acantilados, dunas, cañaverales y las alisedas postdunares bien conservadas constituyen un conjunto único en la región.FaunaLos ejemplares más importantes de la fauna de Barayo son la nutria, emblema de la reserva, que en ocasiones se puede contemplar recorriendo la playa -hecho exclusivo del occidente asturiano-, y el ostrero, del que conviene destacar aproximadamente una decena de parejas cría anualmente en la región. Ambas especies están incluidas en las categorías de Interés Especial y Sensibles a la alteración de su hábitat dentro del Catálogo Regional de Especies de Vertebrados Amenazados.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/espacios-protegidos/barayo
Reserva Natural Parcial de Cueva de las Caldas,Oviedo,+43.337255,-5.907951,['Extensión:0.45 km2'],"Situada a pocos kilómetros de Oviedo/Uviéu, en el término de Priorio, la Reserva Natural Parcial de la Cueva de las Caldas abarca una zona de protección de 45 hectáreas. La cavidad principal de las Cuevas, de 5 metros de anchura, posee tres entradas: la principal, otra entrada menor, que actúa como surgencia discontinua y la surgencia principal, por debajo de la segunda.El desarrollo del complejo es sencillo, desde la entrada principal, un estrecho paso conduce a la galería del río subterráneo. En época de crecidas, parte del caudal rebosa por la surgencia discontinua. Aguas arriba, la galería se hace más amplia y con un desarrollo lineal, sin apenas ramificaciones. En su tramo medio aparece la sima de la Figalina, que enlaza con la entrada superior. Siguiendo la galería llegamos a un punto en que se hace impenetrable y solo la corriente de agua accede a la cavidad. En el interior de la cueva destaca la abundante presencia de quirópteros.Esta cueva-surgencia merece especial atención como ecosistema subterráneo y, sobre todo, por su yacimiento prehistórico de los periodos solutrense y magdaleniense.",Naturaleza,https://www.turismoasturias.es/descubre/naturaleza/espacios-protegidos/cueva-de-las-caldas
