Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Cámara Santa,Oviedo,43.362488,-5.843598,"['Dirección:Pza. de Alfonso II (interior de la Catedral)', 'Titularidad:Eclesiástica', 'Teléfono:985 219 642', 'Correo electrónico:reservas@catedraldeoviedo.com', 'Sitio Web:https://catedraldeoviedo.com']","La Cámara Santa de la Catedral de El Salvador en Oviedo/Uviéu luce luminosa y espléndida desde su última restauración, que ha hecho posible que desde el pasado catorce de abril muestre al público toda su belleza medieval, que la convierte en un símbolo de Asturias y en un significativo reclamo religioso, cultural y turístico. Fundada como capilla palatina por un rey asturiano, que la historia nombra como Alfonso II el Casto, y que vivió y amó en el siglo IX, la Cámara Santa de la Catedral de El Salvador de Oviedo/Uviéu ha sido testigo activo de miles de historias y avatares: punto de encuentro de peregrinos, devotos, viajeros, aventureros y hasta revolucionarios. Para todos ellos, de una u otra forma, ha sido referencia ineludible. Ha reído, sentido, llorado, latido, rezado, pensado al mismo tiempo que la Humanidad.Como su creador, la Cámara Santa albergó el sueño espiritual de miles de personas que desde el siglo IX hasta nuestros días se acercaron al recinto sagrado con distintos propósitos y con una sensación común: ante sus ojos se alzaba unos de los tesoros mejor guardados de la cultura y la historia de la Europa Occidental de los últimos mil años.El devenir del tiempo hizo de la Cámara Santa una recóndita y oscura cueva, que nunca dejó de albergar el Arca Santa y el Santo Sudario. La restauración acometida en los últimos meses le ha dado luminosidad y una atmósfera etérea, muy acorde con su naturaleza. Ahora se aprecia en toda su magnitud la pátina marfileña medieval, la perfección de las tallas románicas que reproducen las figuras de los apóstoles o la sobriedad de las cabezas del calvario. Ya no hay pinturas y se perciben las cicatrices de la intensa historia de Asturias, pero el escenario conserva intacto su mensaje y su atractivo. La nueva etapa de la Cámara Santa se inició el 14 de abril de 2014, y durante unos días los visitantes - que acceden en grupos no superiores a veinticinco personas – pudieron contemplar (concretamente) hasta el 26 de abril) el Santo Sudario, adecuadamente protegido en una cámara anóxida que hace posible su pervivencia milenaria. En el año en curso, el Sudario se mostrará en otras dos ocasiones, el 14 y el 21 de setiembre coincidiendo con el Jubileo de la Santa Cruz.Si Alfonso II levantará la cabeza y viera los miles de visitantes que pululan estas semanas por la Catedral de Oviedo, y se agolpan en la torre de San Miguel – la torre románica de la catedral -, a la puerta de su Cámara Santa, comprobaría que su sueño de arquitecto de la Europa medieval se ha cumplido: la Catedral de Oviedo es única y será para siempre la Santa Ovetensis; la Ruta Jacobea que él pensó y trazó la siguen cada año miles de peregrinos que sellan su credencial peregrina con orgullo en Oviedo, y la ciudad es la capital del Principado de Asturias…",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/camara-santa
Iglesia de San Julián de los Prados,Oviedo,43.367712,-5.837325,"['Dirección:Selgas, 2', 'Titularidad:Eclesiástica', 'Teléfono:687 052 826', 'Correo electrónico:visitasantullano1@gmail.com']","La iglesia prerrománica de San Julián de los Prados es el más antiguo y mayor de los edificios prerrománicos que aún se conservan. Construida durante el reinado de Alfonso II el Casto (791-842), fue dedicada a San Julián y su esposa Santa Basilisa. En el año 896 fue donada a la catedral de San Salvador junto ''con sus palacios, baños y triclinios'' por Alfonso III el Magno. Consta de planta basilical latina de tres naves, crucero formado por una gran nave transversal, cabecera tripartita con tres capillas cuadradas cubiertas con bóvedas de cañón, pórtico a los pies y cuartos laterales.En el interior, las naves están separadas por arcos de medio punto sobre pilares cuadrados. La nave central está separada de la transversal por un arco toral a cuyos lados hay dos huecos con arco de piedra. Las naves y el crucero se cubren con armadura de madera, mientras que en las capillas se emplea bóveda de cañón. Sobre la capilla central se encuentra un recinto con acceso desde el exterior a través de una ventana ajimezada con tres arquillos de ladrillo sobre dos pequeñas columnas de mármol. Destacan las pinturas que decoran el estuco que revocaba todo el interior de los muros y de las bóvedas, que derivan de motivos ornamentales romanos, así como la arquería ciega que recorre el ábside central, y las celosías que cierran los huecos (solamente una es original).Prohibido fotografías y/o grabaciones en el interior. Duración visitas 30 min. Aforo máximo 15 pax por visita. Los horarios de visita están supeditados a cambios imprevistos en función de celebraciones extraordinarias. Reserva previa para grupos obligatoria (visitasantullano1@gmail.com)Fecha de Construcción:Siglo IX",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-san-julian-de-los-prados
Iglesia de San Pedro de Nora,Las Regueras,43.36908,-5.962004,"['Titularidad:Eclesiástica', 'Teléfono:985 784 256 (Parroquia)']","La iglesia de San Pedro de Nora presenta grandes afinidades constructivas y estilísticas con la iglesia prerrománica de Santullano, que permiten circunscribirla en el mismo periodo, el reinado de Alfonso II el Casto (791-842).La referencia documental más antigua es el 20 de enero del año 905, fecha en que se consigna, en un documento real, su donación a la Catedral de San Salvador en Oviedo/Uviéu por Alfonso III junto con la de la Iglesia de Santa María de Bendones.Su estructura es la misma que la de Santullano a pesar de tener algunos rasgos diferentes, como son la ausencia de crucero, arcaísmo constructivo.La planta es basilical, con tres naves separadas por pilares, cabecera rectangular tripartita orientada al este y un pórtico al oeste.Los pilares que separan longitudinalmente las naves son cuadrangulares y sustentan cuatro arcos de medio punto de ladrillo, ligeramente peraltados, a cada lado de la nave mayor.La cabecera es rectangular y tripartita. Las tres capillas se comunican entre sí por una puerta, con arco de ladrillo, abierta en cada muro que las divide y, están cubiertas por bóveda de cañón sobre imposta, mientras que las naves lo hacen con cubierta de madera.Fecha de Construcción:Siglo IX",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-san-pedro-de-nora
Iglesia de San Salvador de Priesca,Villaviciosa,43.484586,-5.360632,"['Titularidad:Eclesiástica', 'Teléfono:985 891 759 / 985 976 712']","La iglesia presenta planta basilical formada por tres naves, la central más ancha y alta que las laterales, cubiertas de madera y separadas por pilares de mampostería de base cuadrada con capiteles-imposta de molduras y basas que sustenta tres arcos formeros de medio punto de ladrillo revocado. En los muros de la nave central, sobre los pilares, se abren cuatro vanos rectangulares a cada lado, cerrados con celosías (en su mayor parte reconstruidas). La cubierta es de armadura vista.La cabecera es tripartita; las tres capillas se cubren con bóvedas de cañón. La capilla central está rodeada por una arquería ciega sobre rebanco formada por arcos de medio punto sobre columnas adosadas con capiteles de hojas muy esquemáticas, que junto con los capiteles del arco de triunfo, recuerdan los de Valdediós. En el interior se conservan restos de pinturas con motivos vegetales, geométricos y arquitectónicos. A los pies de la iglesia hay un pórtico dividido en tres recintos y sobre el central se levanta una tribuna.La iglesia prerrománica deSan Salvador de Priesca(Villaviciosa) junto con la iglesia y casa rectoral deSanta María de Soto de Luiña(Cudillero), ambos en el Camino Costero, y laCatedral de El Salvadoren Oviedo/Uviéu y elMonasterio de San Salvador de Cornellana(Salas), ambos en el Camino Primitivo, han sido reconocidos comoPatrimonio Mundial de la Unesco.Fecha de Construcción:Siglo X",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-san-salvador-de-priesca
Iglesia de San Salvador de Valdediós,Villaviciosa,43.436857,-5.506621,"['Titularidad:Eclesiástica', 'Teléfono:985 974 966', 'Correo electrónico:reservas@monasteriovaldedios.com', 'Sitio Web:https://monasteriovaldedios.com']","Fue consagrada en el 893 por siete obispos, según reza la lápida que se conserva en la capilla lateral sur. Se estructura en planta basilical de tres naves, cabecera tripartita con capillas de pequeñas dimensiones, y dos compartimentos adosados a los muros norte y sur que hacen externamente de falso crucero. A los pies de la iglesia se abren tres compartimentos que se corresponden con los de la cabecera, y sobre el central se sitúa la tribuna real que recibe directamente la luz de una ventana ajimezada abierta en el frente principal.Las naves, altas y estrechas, se separan por arcos de medio punto sobre pilar de sección cuadrada sin decoración, mientras que las capillas absidiales se separan de las naves por arcos de medio punto que apoyan sobre columnas con capiteles decorados con motivos vegetales. Todos los espacios interiores están abovedados y se conservan importantes restos de pinturas murales.Grupos +25 pax imprescindible reserva previa.Fecha de Construcción:893",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-san-salvador-de-valdedios
Iglesia de San Tirso el Real,Oviedo,43.362194,-5.843767,"['Dirección:Pza. de Alfonso II', 'Titularidad:Eclesiástica', 'Teléfono:985 220 702']","De su antigua fábrica prerrománica únicamente conserva la parte superior del muro testero, de sillarejo, con medallones en los extremos de su alero y cubierta a dos aguas. Tiene un ventanal ajimezado de tres huecos formados por tres arquillos semicirculares de ladrillo sobre cuatro pequeñas columnas de mármol con capiteles de tipo romano, enmarcado por un alfiz formado por una moldura.A cada lado de la parte superior de éste, sobresalen dos piedras con un agujero en el centro. Probablemente servirían de goznes para las puertas que cerraban la ventana.La iglesia consta de tres naves separadas por pilares de sección cuadrada sobre los que apoyan arcos de medio punto y apuntados. La nave central se cubre con bóveda de arista nervada y de cañón con lunetos las laterales.La capilla lateral del Evangelio, con bóveda de crucería, es de finales del siglo XVI y la de la Epístola, del siglo XVIII.Fecha de Construcción:Siglo IX",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-san-tirso-el-real
Iglesia de Santa María de Bendones,Oviedo,43.3362,-5.806374,"['Titularidad:Eclesiástica', 'Teléfono:985 942 365 (reservas)']","Iglesia prerrománica edificada, probablemente, en tiempos del monarca Alfonso II. Destruida en 1936, e identificadas sus ruinas en 1954 por Joaquín Manzanares, fue sometida a una polémica reconstrucción en 1958. El templo actual presenta una nave central única, cabecera tripartita y nártex a los pies. En los muros norte y sur hay dos compartimentos que se comunican con el interior de la iglesia.Ante la iglesia, en su ángulo suroeste, se ha reconstruido una torre campanario. El exterior del templo se encuentra decorado por arcos de ladrillos y celosías reconstruidos. No obstante, en el templo hay piezas originales como el alfiz de triple arquería que ilumina la cámara oculta situada sobre la capilla central.El interior del templo tiene cubierta de madera, a excepción de la capilla de la nave central, que se cubre con bóveda. Al igual que otros templos prerrománicos estuvo decorado con pinturas murales de las que quedan restos sobre el arco del lado sur.Fecha de Construcción:792-842",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-santa-maria-de-bendones
Iglesia de Santiago de Gobiendes,Colunga,43.46928,-5.232562,"['Titularidad:Eclesiástica', 'Teléfono:655 809 773 (imprescindible reserva previa)', 'Correo electrónico:info@sierradelsueve.es', 'Sitio Web:https://sierradelsueve.es']","Construida en el siglo X y reedificada parcialmente en el siglo XIX, esta iglesia prerrománica cuenta con planta basilical; está dividida en tres naves y tiene cabecera tripartita.A los pies de la nave, se conservan dos compartimentos del pórtico primitivo a los que se accede por medio de dos puertas de arco de ladrillo.El interior se cubre con madera, excepto las capillas laterales de la cabecera, que se cubren con bóveda de cañón.Las naves se separan por pequeños arcos semicirculares de ladrillo que apoyan sobre pilar de sección cuadrada. En la zona de la cabecera las columnas se decoran con capiteles con motivos asturianos: sogueados y hojas de acanto.De época prerrománica se conserva la ventana ajimezada del muro sur, sobre la que se inscribió la fecha de reedificación, varios capiteles y restos de otra ventana.En el siglo XIX, se llevó a cabo una reedificación de la iglesia, producto de la cual son la capilla mayor, la sacristía del muro sur, el cuerpo de la espadaña y el pórtico que rodea las fachadas occidental y meridional.La iglesia de Santiago de Gobiendes fue restaurada entre los años 1985 y 1987 por el Gobierno del Principado de Asturias.Fecha de Construcción:Siglo X",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-santiago-de-gobiendes
Iglesia de Santo Adriano de Tuñón,Santo Adriano,43.291615,-5.981285,"['Titularidad:Eclesiástica', 'Teléfono:985 761 403 (imprescindible reserva previa) / 691 504 045 (WhatsApp)', 'Correo electrónico:info@laponte.org']","La iglesia de Santo Adriano fue fundada por el rey Alfonso III y su esposa Jimena en el año 891. Tiene planta rectangular, con tres naves separadas por arquerías de medio punto sobre pilares cuadrangulares de piedra, cubierta de madera a dos aguas y cabecera rectangular triple con bóvedas de cañón, siendo más alta la de la capilla central, sobre ésta se encuentra una habitación solamente accesible desde el exterior, a través de una ventana ajimezada.El pórtico de los pies, que consta de tres cuerpos, fue aprovechado en época moderna para prolongar la iglesia.De los espacios laterales que conformaban la planta, solamente se conserva el sur, dedicado a sacristía.Los restos decorativos más importantes son las pinturas murales, principalmente en la capilla mayor, contemporáneas de la construcción de la iglesia.Se conserva una lápida de 1108, restos de un cancel de mármol, un arquillo de medio punto, así como un par de columnas con capiteles de hojas en el arco de triunfo. La espadaña fue construida en el siglo XVII-XVIII.La iglesia sufrió varias restauraciones y remodelaciones: la primera en el 1108, en 1950 (por Luis Menéndez-Pidal y Álvarez), en 1983 y en 1987-1988 (por la Consejería de Educación, Cultura y Deportes).Fecha de Construcción:891",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/iglesia-de-santo-adriano
La Foncalada,Oviedo,43.365280,-5.846036,"['Dirección:C/ Foncalada (esquina C/ Gascona)', 'Titularidad:Eclesiástica']","La fuente de Foncalada data del siglo IX y fue construida durante el reinado de Alfonso III el Magno (866-910). Constituye el único ejemplo de construcción de carácter civil con fines de utilidad pública de la Alta Edad Media.Protege el alumbramiento de un manantial de agua potable que brota del mismo suelo que se recoge en una piscina cubierta por un cuerpo de sillería, de planta rectangular con arco y bóveda de cañón peraltada, cuya parte superior se remata en doble vertiente, a norte y a sur, y termina lateralmente en imposta lisa en nacela.La fachada principal mira al este y en su frontón está esculpida en relieve la Cruz de la Victoria con el alfa y la omega pendiente de sus brazos. El arco semicircular está peraltado y despiezado en grandes dovelas de piedra.Hacia 1848 la Comisión de Monumentos reparó la fuente y seguramente se tapió el arco posterior.Fecha de Construcción:Siglo IX",Prerromanico,https://www.turismoasturias.es/descubre/cultura/prerromanico/la-foncalada
