Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Catedral de El Salvador,Oviedo,43.362439,-5.843627,"['Dirección:Pza. de Alfonso II, El Casto ■33003 - Oviedo/Uviéu', 'Teléfono:985 219 642', 'Correo electrónico:catedral@catedraldeoviedo.com,grupos@catedraldeoviedo.com', 'Sitio Web:https://catedraldeoviedo.com/', 'Época:Gótico', 'Documentos:Ficha de accesibilidad']","Doce siglos de historia, atesora la Catedral de El Salvador, principalmente por la cantidad y calidad de las reliquias que conserva. Nacida del espíritu que animó el primer reino cristiano de la Península Ibérica, resistente y resiliente frente a la invasión musulmana, la Catedral ha sido siempre y lo sigue siendo un enclave estratégico. Tiene sus orígenes en la basílica mandada construir por el rey Alfonso II el Casto, bajo la advocación de El Salvador. Fue edificada sobre las ruinas de una iglesia anterior levantada por su padre Fruela I.Durante el siglo XIV comienza la construcción de la Catedral Gótica, demoliéndose la anterior basílica Románica y Prerrománica, dicha construcción finaliza a mediados del siglo XVI, con el remate de la torre, es decir casi tres siglos dura la construcción del templo. Además, fue necesario trabajar durante otros cien años en la construcción de las capillas y panteones que hoy vemos adosados a las naves laterales. Por consiguiente, el proceso completo de construcción de la catedral abarca aproximadamente cuatro siglos, destacando el intenso trabajo durante el siglo XV, época en la que prevalece el estilo gótico florido o flamígero, al que pertenece nuestra catedral.El edificio se compone de tres naves, siendo la central la mayor, y las laterales con capillas, precedidas por un pórtico. El crucero sobresaliente confiere a la planta una forma de cruz latina, rematada por una cabecera donde se inserta la girola. Durante laEtapa Románica, Alfonso III el Magno enriqueció considerablemente el tesoro catedralicio al donar la Cruz de la Victoria, aunque no llevó a cabo ampliaciones de la basílica de El Salvador. Con el traslado de la corte a León en el siglo X, los monarcas sucesivos, continuaron enriqueciendo la basílica con sus donaciones, lo que le valió un gran prestigio durante la Edad Media y, convirtiéndola en un destino imprescindible para peregrinos y devotos. A esta época pertenecen el apostolado de la Cámara Santa y la Torre Vieja.En laEtapa Gótica, el Claustro Gótico, sustituyo al románico anterior, destacando el él sus ménsulas y capiteles con una rica y variada iconografía que abarca tanto temas profanos como religiosos, así como leyendas medievales y motivos específicamente asturianos, como la lucha de Favila con el oso. En el muro sur del Claustro se encuentra la Puerta de la Limosna, con figuras esculpidas de Santiago, San Pedro, San Pablo y San Andrés en las jambas, la figura de El Salvador en el tímpano, y la Virgen de la Leche en el pilar central. Junto a esta puerta se sitúa la llamada Capilla de la Hidria, donde, según la tradición, se guarda una hidria de las Bodas de Caná, uno de los milagrosos vestigios más visitados por los peregrinos.El Pórtico está formado por tres arcos, de diferente tamaño, que tiene su correspondencia en las naves del templo, posteriores, aunque del mismo siglo, son las puertas, en ellas aparecen labrados los relieves de El Salvador y de Santa Eulalia. La Torre Gótica(visitable)está coronada por la aguja con una altura de sesenta metros. El estilo del Retablo Mayor, situado en el ábside de la catedral, oscila entre el gótico flamígero y el Renacimiento. Obra monumental de madera policromada, se divide en cinco calles. En la calle central se representan las escenas principales: la Crucifixión, la Asunción y Coronación de la Virgen y El Salvador. Se considera uno de los mejores retablos góticos españoles junto a los de Sevilla y Toledo.Ya en laEtapa Barroca, se añade la girola o deambulatorio, hacia la mitad del XVII. Tiene forma heptagonal, con pequeñas capillas que nos ofrecen un grupo de retablos barrocos de acusada influencia italiana. La Sacristía Nueva se añadió en 1733.En la Catedral nos encontramos con seis capillas, cada una con su propia historia y significado, que enriquecen la experiencia del visitante y revelan la diversidad de estilos y épocas que conforman este monumento...Capilla de Santa Eulalia, Santa Eulalia fue una niña emeritense que vivió su fe cristiana durante las persecuciones del emperador Diocleciano a principios del siglo IV, recibiendo martirio por negarse a adorar a los dioses romanos. El conjunto de la capilla se terminó en 1702. LaCapilla de Santa Bárbara, llamada en su momento “de San Miguel” o “Nueva Cámara Santa”, se construyó entre los años 1660 y 1663. El obispo Bernardo Caballero de Paredes, está enterrado a la entrada de esta capilla, para que todos aquellos que entrasen pisasen su tumba, tal y como él había dejado por escrito en su testamento.Capilla de los Vigiles, en 1615 el cabildo catedralicio cedió al gijonés Juan Vigil de Quiñones, obispo de Valladolid y Segovia, la capilla situada en el costado norte de la Catedral para que edificase una capilla funeraria para él y su familia. La capilla se terminó en 1640 después de varios pleitos entre el cabildo y la familia del obispo. El modelo para esta capilla de carácter funerario fue el Panteón de Roma. LaCapilla de Cristo de Velarde, llamada así por ser los Velarde la familia propietaria, de la misma, desde mediados del siglo XVII. Esta capilla, tuvo que ceder parte de su espacio a la escalera barroca construida para dotar de acceso a la Cámara Santa, y alberga una magnífica escultura de Cristo crucificado, conocido como Cristo de Velarde, considerada por muchos, como la mejor escultura de la Catedral.Capilla de Covadonga o de San Ildefonso, se construyó entre 1379 y 1382, albergó numerosas tumbas. Contaba con tres altares, al construirse la girola en 1621, hubo que derribarla, y en el solar que ésta ocupaba se levantó una nueva capilla, dedicada actualmente a la Virgen de Covadonga. El retablo actual cobija una imagen de la Santina, y a los pies de la Virgen, en un arca, reposan los restos de San Melchor de Quirós, primer santo asturiano martirizado en Vietnam, por tanto, la capilla también está dedicada a él.Capilla de Santa María del Rey Casto, a la que accedemos a través de una hermosa portada gótica, del siglo XV. Se estructura en tres naves, siendo muy estrechas las laterales. En el crucero, un gran cimborrio reposa sobre pechinas decoradas con las efigies de monarcas asturianos. En esta capilla se entremezclan elementos góticos, clásicos y barrocos. En el retablo del presbiterio, destaca la Asunción de la Virgen, al fondo de la capilla se encuentra el Panteón de los Reyes.En la actualidad la Catedral de El Salvador vive una edad dorada, con el fuerte impulso experimentado en los últimos tiempos por el Camino Primitivo, que mantiene un flujo constante de peregrinos y turistas durante todo el año. En definitiva, la Catedral de Oviedo, que ha sido fuente de inspiración para artistas, escritores, peregrinos, te cuenta historias fascinantes en cada rincón y en cada piedra. Historias de reyes, de obispos, de reliquias y tesoros, de milagros, de patriotas, de revolucionarios y hasta de ladrones. Historias que han ido construyendo y modelando la vida de Europa occidental en los últimos doce siglos… Y precisamente por su importancia espiritual, histórica, social y artística, se hace imprescindible una visita guiada a la Catedral.La iglesia prerrománica deSan Salvador de Priesca(Villaviciosa) junto con la iglesia y casa rectoral deSanta María de Soto de Luiña(Cudillero), ambos en el Camino Costero, y laCatedral de El Salvadoren Oviedo/Uviéu y elMonasterio de San Salvador de Cornellana(Salas), ambos en el Camino Primitivo, han sido reconocidos comoPatrimonio Mundial de la Unesco.Fecha de Construcción:765",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/catedral-de-el-salvador
Basílica Sagrado Corazón de Jesús,Gijón,43.541568,  -5.662506,"['Dirección:C/ Instituto, 34 ■33201 - Gijón/Xixón', 'Teléfono:985 350 302', 'Sitio Web:https://basilicadegijon.com']","La basílica del Sagrado Corazón de Jesús es un templo católico de la ciudad de Gijón/Xixón, que también es conocido popularmente como la Iglesiona, por sus proporciones y por la tendencia asturiana a los aumentativos en –on, ante hitos que tienen un especial valor sentimental e histórico.El monumento aúna diferentes influencias, entre otras la tendencia modernista gaudiniana, y resonancias góticas.Pero sin lugar a dudas una de las notas más características y que hacen de este templo algo único es la figura del Sagrado Corazón - obra de Serafín Basterra -, ubicada en el campanario, y que se divisa desde diferentes puntos de la ciudad, añadiendo a la ""skyline"" gijonesa un plus artístico que siempre resulta interesante.La Iglesiona destaca además por sus impresionantes pinturas interiores, que hacen que sea conocida como la ""capilla sixtina de Asturias"". Por supuesto, sus arcos fajones parabólicos son también una novedosa solución adoptada debido a la estrechez de la parcela en la que fue construida.Pero la Iglesiona no solo destaca por su valor artístico sino por su intensa historia. Incendiada en 1930 y reparada en aquel entonces por Manuel del Busto, durante la Guerra Civil Española fue utilizada como cárcel.En el año 2003, la Santa Sede, atendiendo a sus méritos históricos y artísticos la proclama basílica.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/basilica-sagrado-corazon-de-jesus
Iglesia de Santa María de Soto de Luiña,Cudillero,43.561835,  -6.230496,"['Dirección:■33156 - Soto de Luiña', 'Teléfono:985 596 157', 'Sitio Web:https://www.cudillero.es', 'Época:Barroco', 'Gestión:Declarada Monumento Histórico Artístico']","La iglesia de Santa María, en la localidad de Soto de Luiña, es considerada una de las obras más destacables del barroco rural asturiano. Fue comenzada por la torre en 1712 y terminada por la cabecera de la nave central en 1752, habiendo ejercido como maestro de obras Pedro García de Avilés. Destaca por la originalidad de su diseño, presentando a los pies del templo una torre sustentada por robustas y armoniosas columnas, estando cubierta por cuatro aguas de sillares bien elaborados que sustentan una curiosa estatua conocida como ""El gigante"".A lo alto y ancho de sus tres fachadas vistas, la torre cuenta con diversas hornacinas que albergan estatuas, algunas de ellas elaboradas en madera y otras en piedra. El resto de los volúmenes que componen el edificio: pórtico, naves, sacristía, capillas, etc. conforman un conjunto armonioso que parece diseñado para agradar al que lo contempla. En el interior, son muy destacables las bóvedas estrelladas con rico ornamento, así como diversas pilas bautismales de gran interés histórico. En la nave central presenta un interesante y airoso ambón de piedra sobre columna helicoidal, adosado a uno de los arcos torales de la nave.Mención aparte, sin ninguna duda, merecen los retablos de este templo. Todos ellos destacan por su cuidada elaboración, que en el caso del central, forma un destacable ejemplo de retablo exedra de ""Cascarón"" contando con tallas y elementos artísticos bien elaborados que podrían atribuirse al taller de José Bernardo de la Meana.A los pies de la nave sur, se encuentra el retablo de Santa Inés, estructurado sobre un precioso árbol de la vida con escenas de la vida de Jesús. Este retablo fue construido por la familia dominante de la época, hecho que motivó un curioso pleito con los vecinos. En la nave norte, la iglesia cuenta con uno de los pocos ejemplos en Asturias de Retablo rosario, el cual, junto a otros elementos presentes en este singular edificio da testimonio de la fuerte presencia dominica en el entorno rural asturiano de la época. A lo largo y ancho de la nave, encontramos otros retablos menores pero no menos interesantes como el dedicado a Santa Rosa de Lima.Esta iglesia es perfecto ejemplo del esfuerzo popular como logro común, lo cual es interpretado por algunos estudiosos como un símbolo de la liberación de los señoríos por parte del pueblo. En ese sentido, el libro mayor refleja como los campesinos aportaron mano de obra y materiales para costear la construcción.La iglesia prerrománica deSan Salvador de Priesca(Villaviciosa) junto con la iglesia y casa rectoral deSanta María de Soto de Luiña(Cudillero), ambos en el Camino Costero, y laCatedral de El Salvadoren Oviedo/Uviéu y elMonasterio de San Salvador de Cornellana(Salas), ambos en el Camino Primitivo, han sido reconocidos comoPatrimonio Mundial de la Unesco.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/iglesia-de-santa-maria-de-soto-de-luina
Santuario de la Virgen de Miravalles,Aller,43.159832,-5.641257,"['Dirección:■33680 - Soto', 'Teléfono:985 494 102', 'Época:Barroco (siglo XVII)']","Según la historia, en su camino hacia Santiago los peregrinos se detenían en esta magnífica campa arbolada sobre la que después se construyó la actual capilla. Los papas Clemente XIII y Pío VI destacaron la importancia del Santuario concediendo bulas pontificias.En Soto de Aller, cerca del cementerio del pueblo, se alza esta bonita capilla barroca del siglo XVIII diseñada por Francisco de la Riba. Es un edificio de nave única, que posee un retablo del escultor asturiano José de la Meana. Allí se venera la imagen gótica en piedra (siglos XIV-XV) de la Patrona de Aller.La imagen policromada de la virgen es de estética medieval y en ella destacan los pliegues, de bastante plasticidad y los rasgos humanizados en su rostro, en el que predomina un sentimentalismo maternal.Es este un lugar de devoción religiosa y civil donde todos los años el 8 de septiembre se celebra la fiesta de la Virgen de Miravalles. Además fue un lugar histórico, escenario del levantamiento de los alleranos contra las tropas francesas durante la Guerra de la Independencia en 1808.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/santuario-de-la-virgen-de-miravalles
Santuario de los Mártires Cosme y Damián,Mieres,43.220808,-5.806600,"['Dirección:Parroquia de Cuna ■33615 - Insierto', 'Teléfono:985 426 097', 'Época:Siglo XVIII']","Según la tradición, el culto a los mártires Cosme y Damián se remonta al tiempo del traslado de las reliquias de Toledo a Oviedo/Uviéu en la época de la invasión musulmana.A la original planta de cruz latina, del siglo XVIII, se le añadió en el siglo XIX el pórtico que rodea la iglesia en tres de sus fachadas y la torre del campanario. Ésta última, de sección cuadrada, está dividida en tres plantas, la inferior abierta y recubierta por un paramento de piedra, las otras dos están separadas por una línea de impostas. Al templo se accede, bajo la torre, por una puerta con orejas barrocas. Los materiales utilizados en la fábrica son mampostería para muros, madera para el pórtico y sillería para esquinas, vanos, etc. La cubierta es a dos aguas en nave y cuatro en la torre.En el interior, la nave se cubre con bóveda de cañón, con lunetos y crucería la parte de la cabecera. Toda la bóveda está decorada con pinturas. Frente al santuario, existe aún la llamada Casa de la Novena, en cuyo interior se conserva un limosnero popular del siglo XVIII.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/santuario-de-los-martires-cosme-y-damian
Santuario de Nuestra Señora de Pastur,Illano,43.336350,-6.915541,"['Dirección:■33734 - Pastur', 'Época:Siglo XVII']","Construido en 1665, el Santuario de Nuestra Señora de Pastur se encuentra en la pequeña localidad del mismo nombre, a pocos kilómetros de Illano, la capital de concejo. Es el centro de peregrinación más visitado de occidente, y junto a él se levanta un gran teixo.La cabecera del edificio se cubre con bóveda de medio cañón, y la nave con madera a dos aguas, el coro está a los pies. Tiene arco de triunfo, apoyado en impostas molduradas. La bóveda de la cabecera está cubierta con pinturas, fechadas en 1868, que se disponen en tres franjas divididas en cinco escenas cuadradas, enmarcadas por cenefas florales, donde se representan los misterios del rosario.La espadaña es de tres ojos, del XVIII, rematada en frontón. En tres de los ángulos se labran relieves en piedra representando unos curiosos mascarones, muy expresivos y amenazadores, con la boca abierta y los ojos desorbitados.El templo guarda un retablo del XVII, barroco popular, y varias tallas de la misma época. La imagen de la Virgen de Pastur es del siglo XVIII, de vestir, y en ella sólo están trabajadas la figura del Niño y las partes vistas de la Virgen, manos y cabeza. El resto es un armazón formado por varios travesaños.Fecha de Construcción:1665",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/santuario-de-nuestra-senora-de-pastur
Santuario de Nuestra Señora de L'Acebu,Cangas del Narcea,43.15882,-6.49905,"[""Dirección:■33819 - L'Acebu""]","Situado en un alto a 1.180 metros de altitud, a 12 kilómetros de Cangas del Narcea, L'Acebu tiene su origen en el 8 de septiembre de 1575 cuando tuvo lugar el primer milagro en el lugar donde se levantaba una antigua capilla.La noticia de los múltiples milagros de L'Acebu se difundió a lo largo y a lo ancho del Principado, convirtiendo la ermita en un lugar de oración. Este motivo llevó a levantar un templo cuyas obras concluyeron 15 años después de ese primer milagro. Es de planta de cruz latina, con una torre al frente y una sacristía adosada al ángulo sureste, de construcción sobria en piedra pulida.El retablo mayor fue sustituido a fines del s. XVII por el que puede verse hoy, siguiendo el estilo marcado por el retablo mayor del Monasterio de Corias, con columnas salomónicas emparradas y que también aparece en iglesias cercanas como en la Iglesia de Santa María de Celón.La imagen románica de la Virgen se remonta probablemente al siglo XIII. El Padre Alberto Colunga, dominico, la describe así: ""En su forma primitiva era de talla y estaba sentada en un trono, y sobre la rodilla izquierda tenía sentado el Niño, que miraba hacia adelante, con la mano derecha daba la bendición y con la izquierda sostenía un libro"". Con el paso del tiempo, esta imagen fue retocada para adaptarla a la moda de vestir las imágenes y en 1900 se reformó nuevamente para sustituir al Niño por el actual.El 8 de septiembre se celebra una multitudinaria romería, en el Día de las Promesas y el domingo siguiente, Día de las Ofrendas, se celebra con una procesión y bendición de ganado.Los miradores situados en las inmediaciones de la ermita muestran vistas panorámicas de los valles y sierras que rodean la villa de Cangas del Narcea.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/santuario-de-nuestra-senora-del-acebo
Monasterio e Iglesia de San Antolín de Bedón,Llanes,43.438146,-4.869111,"['Dirección:■33594 - Bricia', 'Teléfono:626 990 398', 'Época:Románico']","Se desconoce su año de construcción, ya que las primeras noticias que tenemos son del siglo XII. El único testimonio que se conserva es la iglesia que se corresponde con un románico avanzado, de transición al gótico, estilo que se insinúa en la utilización del arco apuntado.La planta es basilical de tres naves a distinta altura, separadas por arcos ojivales que se apoyan en sencillos pilares, menos los del crucero y la cabecera que adquieren mayor desarrollo. Finaliza en una cabecera triple con ábsides semicirculares, destacados al exterior y cubiertos con bóveda de cuarto de esfera. El sistema de cubiertas se concibe jerárquicamente pues las naves se cubren con armadura de madera, mientras que en el crucero se utilizan las de crucería y las de cañón apuntado.Los sillares de piedra y los contrafuertes caracterizan el exterior del templo, donde se aprecia un marcado escalonamiento de los volúmenes, pues las naves se cubren a diferente altura, sobresaliendo la central.Molduras horizontales y ventanas sirven para romper la monotonía exterior de los muros semicirculares de la cabecera. A pesar de la sobriedad decorativa del templo, la decoración escultórica subsiste por su carácter didáctico y ocupa espacios exteriores, como los canecillos de los aleros que protegen las portadas. El templo tiene dos portadas; la occidental se compone de cinco arquivoltas apuntadas, con una cornisa adornada con bellísimos canecillos antropomórficos (cazadores), animalísticos (aves) y vegetales. La portada lateral sur responde a muy parecida estructura y ornamentación. Una de ellas servía para conectar la iglesia con el monasterio. El conjunto trasmite la imagen de austeridad de la orden del Císter, basada en la desornamentación y en una parca estética decorativa.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/san-antolin-de-bedon
Monasterio de San Juan Bautista de Corias,Cangas del Narcea,43.195001,-6.544087,"['Dirección:■33816 - Courias', 'Teléfono:659 277 277 / 626 991 157', 'Correo electrónico:greendoorasturias@gmail.com', 'Época:Renacimiento']","El monasterio de San Juan Bautista está situado en la margen derecha del río Narcea, y se comunica con el pueblo de Courias a través de un puente de piedra del siglo XIV.Fue fundado en 1032 por los condes Piniolo y Aldonza. Su mayor época de esplendor se desarrolló en los siglos XII y XIII. En 1763 sufrió un gran incendio que destruyó todas las dependencias monásticas, salvándose únicamente la iglesia, la sacristía y la biblioteca. La remodelación dejó sobre todo su huella en la nueva fachada, monumental y sobria.De su primera fábrica románica no queda resto arquitectónico alguno. Se sabe que tenía un claustro y una iglesia de tres naves.El monasterio fue reconstruido entre los siglos XVI-XVII en estilo herreriano, pero sufrió un incendio en el siglo XVIII que obligó a la reconstrucción del claustro y del perímetro exterior. El conjunto de Corias se estructura en un gran rectángulo en torno a un patio central, en cuya parte derecha se encuentran la iglesia, la sacristía, el refectorio y las cocinas.La fachada exterior se caracteriza por su sobriedad decorativa, apenas rota por los huecos (alternancia de ventanas y balcones) y por las dos portadas laterales. Las puertas se abren bajo arcos de medio punto y el piso se decora con simples pilastras jónicas, pirámides con bola y el escudo de la orden, todo ello en torno a una hornacina con imágenes.La iglesia actual se comenzó en 1593 en estilo renacentista, según los cánones de Juan de Herrera. La planta es de cruz latina, con crucero destacado, amplio presbiterio y una nave con capillas adosadas. Todo el interior se cubre con bóveda de cañón con arcos fajones, excepto en la intersección del crucero que se cubre con cúpula sobre pechinas, iluminada por una linterna. La portada interior de la iglesia se distribuye en tres tramos.El primero corresponde a la portada en arco de triunfo con cuatro pilastras dóricas. En el segundo cuerpo se sitúa una hornacina del santo patrón, también con pilastras. Sobre la imposta se abre el óculo que ilumina el coro.El último tramo se remata en frontón coronado por tres chapiteles de grandes bolas, al gusto clasicista herreriano.Se permite la visita al claustro y zona de uso común, a través del Parador.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/monasterio-san-juan-bautista-de-corias
Monasterio de San Miguel,Tineo,43.36534,-6.51813,"['Dirección:■33874 - Bárzana', 'Época:Románico']","El monasterio de San Miguel está situado en Bárzana, a sólo ocho kilómetros de Tinéu en la Ruta Jacobea. Su construcción se realizó en distintas épocas y de la primera etapa, los siglos X y XI, sólo se conserva una ventada geminada y una lápida funeraria.Al periodo románico corresponde la nave del templo, las portadas y la cabecera con tres ábsides, destacando el del centro por su mayor tamaño. El claustro se fecha a finales del siglo XVIII y ha sido recientemente restaurado.Las dos portadas románicas presentan un diseño estructural bastante complejo. La orientada al oeste, a los pies del templo, se oculta bajo un edificio construido en época posterior, a la vez que sirve de arranque a las escaleras que conducen a las dependencias conventuales. Está dividida en tres arcos de medio punto abocinados, que descansan en columnas con capiteles vegetales. La portada lateral es resguardada bajo el pórtico que la separa del claustro y está compuesta por un arco semicircular adornado con clavos prismáticos.En el interior, la nave de gran anchura se abre a los tres ábsides mediante arcos de medio punto y se separa del ábside central mediante un arco triunfal de dos arquivoltas. El interior de las capillas estaba decorado con pinturas murales de confección sencilla. La temática es religiosa con escenas muy diversas. En la capilla mayor se descubrió una pintura bastante deteriorada con dos figuras humanas, un buey y un águila.",Patrimonio religioso,https://www.turismoasturias.es/descubre/cultura/patrimonio-religioso/san-miguel-de-barcena
