Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Acantilados de Pimiango,Ribadedeva,43.39288410991442, -4.527212476016342,"['Distancia:8,1kms', 'Dificultad:Baja', 'Altitud:61 m.', 'Desnivel:294 m.', 'A pie:2 h. 30 min.', 'Punto de partida:Pimiango (aparcamiento Cueva del Pindal)', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Circular', 'Trazado de la ruta:Descargar kml,Descargar gpx']","En el límite más oriental de Asturias nos encontramos una ruta que reúne arte parietal, restos del Románico y naturaleza y paisaje con miradores entre el mar y la montaña. Declarada Patrimonio Mundial de la Unesco, la cueva del Pindal, frente al mar y resguardada de él por un buen encinar atlántico, esconde en lo más profundo de la cavidad pinturas rupestres con entre 13.000 y 18.000 años de antigüedad.Desde aquí, la senda nos lleva en todo momento cerca del acantilado para llegar a los restos del monasterio románico de Santa María de Tina.Entre bosques y plantaciones de eucaliptos aparece la punta de Tina, lugar en el borde del acantilado donde se acaba Asturias y la brecha de la ría de Tinamayor nos separa de Cantabria. Sin duda, las encinas son la que dominan la vegetación de la zona por su particularidad, pero no lo son menos, aunque más escasos, los acebuches (olivos silvestres), que se encuentran desperdigados en el interior del encinar y colgados sobre el acantilado en lugares aislados.Las aves rapaces, como los halcones, dominan los cielos, y si tenemos paciencia y nos fijamos bien, en los matorrales y suelos puede que nos encontremos con alguna mantis religiosa, especie presente en toda la zona.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/acantilados-de-pimiango
Acantilados del Infierno,Ribadesella,43.45941330453343, -5.005828477654885,"['Distancia:5,6kms', 'Dificultad:Baja', 'Altitud:73 m.', 'Desnivel:56 m.', 'A pie:1 h. 45 min.Sólo ida', 'Punto de partida:Área recreativa de Cuerres', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Ida y vuelta', 'Trazado de la ruta:Descargar kml,Descargar gpx']","En cualquier punto de esta ruta disfrutaremos de las esculturas que el mar ha ido esculpiendo en la roca a lo largo de los siglos. Entre monte bajo, vacas y cabras, vemos pequeñas embarcaciones de la cercana Ribadesella/Ribeseya faenar en las aguas del Cantábrico, buscando el pescado para que lo degustemos fresco al acabar su tarea.Pequeñas penínsulas verticales dan cobijo a los nidos de gaviotas y cormoranes a lo largo del camino. Un enorme tómbolo de roca se erige en un pequeño entrante del acantilado. Dos arcos de piedra gigantes aparecen, mientras caminamos, cual puentes hacia ninguna parte, uniendo fragmentos de acantilado. En el cielo, busardo ratonero y cernícalo común son frecuentes, dos cazadores escudriñando el suelo, listos para dejarse caer sobre los pequeños animales que forman parte de su dieta.Y en el área recreativa de Cuerres, en el extremo oriental de la ruta, la mejor panorámica de los Bufones de Pría y su acantilado, donde el agua se cuela por las cuevas de abajo y sale al exterior por los bufones.Especial atención y cuidado en las zonas de acantilados, sobre todo si se realiza con niños.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/acantilados-del-infierno
Alto La Llama - Majada de Espineres,Piloña,43.410528294992, -5.284703713463256,"['Distancia:8,9kms', 'Dificultad:Baja', 'Altitud:994 m.', 'Desnivel:443 m.', 'A pie:3 h. Ida y vuelta', 'Punto de partida:Alto La Llama', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Ida y vuelta', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Si hay un lugar ligado en Asturias al caballo asturcón, nuestra raza autóctona por excelencia, ese sitio es la majada de Espineres, en la Sierra del Sueve, lugar que se escogió para realizar la Fiesta del Asturcón cuando quedaban tan pocos ejemplares puros que era necesario un plan de recuperación.Espineres es una hondonada verde, rodeada del gris de la roca caliza con la que están construidas sus cabañas y en la que destaca por encima de todo el espino blanco o espinera, que da nombre al lugar. Llegar hasta aquí, a través de una pista ancha, supone un paseo de algo más de 4 kilómetros de continua subida que va ofreciéndonos vistas a los concejos de Colunga, Villaviciosa y Gijón y también a la Sierra del Aramo, Oviedo, Siero… en una amalgama de mar y montaña.Asturcones y gamos, entre los mamíferos; buitres leonados, alimoches y chovas piquigualdas y piquirrojas, entre las aves, son algunas de las especies de fauna que podemos ver.Sin duda, las vistas desde la ruta o desde las montañas del entorno nos dan una de las mejores panorámicas de Asturias, aunque hay que tener en cuenta que en esta zona no hay itinerarios marcados y la niebla entra con facilidad.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/ruta-alto-de-la-llama-majada-de-espineres
Bosque de Peloño,Ponga,43.15642230739511, -5.12929198358272,"['Distancia:11,3kms', 'Dificultad:Media', 'Altitud:334 m.', 'Desnivel:457 m.', 'A pie:8 h. 30 min.Ida y vuelta', 'Punto de partida:Les Bedules', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Ida y vuelta', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Entrar en Peloño es como hacerlo en un túnel de vegetación, naturaleza y paisaje; un túnel de tranquilidad, historia y etnografía. Peloño es, fundamentalmente, un gran hayedo que se recorre por una pista de unos dieciséis kilómetros hasta llegar a la vega del Arcenorio, una gran explanada regada de cabañas de pastores y en la que sólo el ganado, los habitantes y los senderistas rompen la serenidad del lugar.En el medio, la capilla del Arcenorio, y de camino el hayedo nos deja algunos claros que nos proporcionan vistas únicas de los Picos de Europa. A la llegada a la vega nos saludan un sinfín de gencianas amarillas, y en mitad del recorrido nos desviamos para visitar el Roblón de Bustiello, un gigantesco roble albar que merece la pena conocer, y en la Guaranga, apenas a dos kilómetros del Arcenorio, habremos echado la vista atrás para ver las trincheras de la guerra civil, medio escondidas por la vegetación.Buitres, pájaros carpinteros y arrendajos destacan entre la fauna de esta preciosa e imprescindible ruta.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/bosque-de-pelono
Bustio - Pendueles,Ribadedeva y Llanes,43.38712212798508, -4.577040542878124,"['Distancia:21,9kms', 'Dificultad:Alta', 'Código:GR204 Senda Costera E9 - Etapa 1', 'Altitud:225 m.', 'Desnivel:656 m.', 'A pie:6 h. 30 min.Sólo ida', 'Punto de partida:Bustio', 'Tipo de ruta:senderismo', 'Tipo de recorrido:Lineal', 'Trazado de la ruta:Descargar kml']","Bustio - Pendueles21.9Se accede al punto de comienzo desde la LLN-3 en Pendueles y desde las estaciones de FEVE de Llanes y Pendueles.El trazado comienza en el parque de la Remansona de Bustio (Ribadedeva), localidad en la que es interesante la visita al puerto pesquero. Una vez cruzada la N-634 la senda continúa por un paso inferior, recorriendo los barrios de la Texera y Salcea, hasta enlazar con el camino real. Posteriormente cruza la Ería Nueva y atraviesa el eucaliptal de la zona de Tina, que desciende hacia las ruinas del monasterio cisterciense de Tina, fundado en el siglo XII.Después de cruzar el reguero de Bartolo por una pasarela, la senda bordea el Monte Las Gurizas, y desemboca en la carretera del Faro de San Emeterio. Desde aquí se llega a la Ermita de San Emeterio, datada en el siglo XVI y situada en la campa del mismo nombre, así como al área recreativa de El Pindal.Es recomendable la vista a la cueva prehistórica de El Pindal, situada al borde de los acantilados cercanos y que cuenta con excepcionales representaciones rupestres, pinturas y grabados, fundamentalmente de ciervos, caballos y bisontes Incorporándose a la carretera, se llega al mirador del Picu de Pimiango, de ahí la senda nos lleva directamente al núcleo de Pimiango.El mirador ofrece unas vistas maravillosas: a la izquierda, valle prelitoral a los pies del Cuera y de fondo los Picos de Europa, y a la derecha, rasa costera y el horizonte marino.Se sale de Pimiango por la carretera RD-1 cruzando sobre la vía de FEVE y se sigue hasta cruzar la N-634. Tras lo cual, girando a la derecha, se continúa por un camino asfaltado que pasa por delante de la capilla de El Cristo, para luego girar a la izquierda por la RD-3.La senda pasa por delante del camping El Mirador del Llavendes y desemboca en un camino que cruza por delante de las cuadras L'Aixu, atraviesa los parajes de Serra y Tejavana, y lleva a una carretera asfaltada que desemboca en La Franca.Antes de llegar a la N-634 y sin cruzarla, se toma el camino que va a Tresgrandas que se abandona al encontrar otro de zahorra que lleva a la zona de La Peña. Tras cruzar el río Cabra por el puente viejo, sobre la traza del Camino de Santiago, se toma el camino que sube a la Sierra Plana de la Borbolla, hasta la carretera local LLN-4, donde se gira a la derecha para llegar a Buelna, atravesando los lugares del Tobiu y Llavadero.Tras recorrer las calles de Buelna en dirección a la costa, y cruzada nuevamente la línea de FEVE, encontraremos la senda que se dirige a Pendueles, lugar en el que destaca una variada representación de casas indianas.Una vez en Pendueles, se habrá recorrido un total de 21,9 km de senda costera.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/sendas-costeras/bustio-pendueles
Cabo Busto,Valdés,43.56164406383133, -6.466679996286173,"['Distancia:7,9kms', 'Dificultad:Baja', 'Código:PR4', 'Altitud:81 m.', 'Desnivel:83 m.', 'A pie:2 h. 30 min.', 'Situación geográfica:Occidente de Asturias', 'Punto de partida:Bustu', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Circular', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Inmensidad, paz y tranquilidad son las sensaciones que uno tiene cuando se asoma a cualquiera de los siete miradores sobre el mar que hay en esta ruta. Acantilados imposibles que miran al Cantábrico, sobre playas de rocas, y horizonte al frente, a Oriente y a Poniente.Empezando y acabando en el pueblo de Bustu, en medio del cabo, esta ruta circular nos lleva a través de fincas agrícolas, de pinares, robledales, bosque de ribera, pero, sobre todo, por el borde del acantilado, disfrutando del mar y de la costa con fantásticas vistas tanto a Oriente, hacia el cabo Vidio, como a Occidente, mirando a Luarca/Ḷḷuarca.Desde los miradores se aprecian aguas cristalinas bajo el faro y fondos marinos de singular belleza que llaman a darse un baño haciendo snorkel o bien buceando por ellos.Sus bosques guardan arrendajos y gavilanes, que podemos escuchar y ver, con suerte, si encontramos alguna de sus plumas en el suelo. Todo esto manteniendo un especial cuidado en la zona de los acantilados sobre todo si vamos con niños.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/cabo-busto
Camino Real del Puerto de la Mesa,"Belmonte de Miranda, Somiedo y Teverga",43.185196970589, -6.2061610165983,"['Distancia:16,8kms', 'Dificultad:Baja', 'Código:GR101 - Camino Real del Puerto de la Mesa', 'Altitud:1.785 m.', 'Desnivel:634 m.', 'A pie:5 h. 30 min.Ida y vuelta', 'Punto de partida:Puerto de San Lorenzo', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Travesía', 'Trazado de la ruta:Descargar kml,Descargar gpx']","La huella del ser humano se encuentra en esta ruta a cada paso, en cada piedra que fue colocada por los romanos para construir su vía de comunicación con la Meseta; la hallamos también en los rastros previos, los de las necrópolis tumulares, cuyos vestigios aún se pueden ver en la ruta.La naturaleza se manifiesta en las diferentes especies de árboles y arbustos, así como en muchas de las especies de fauna que se ven, o que nos dejan sus huellas. Pero, sin duda, el elemento principal de la naturaleza en esta ruta es el paisaje.Caminando por la cresta de la sierra, donde el paso es más sencillo, vamos viendo a derecha e izquierda los valles más cercanos y las montañas más lejanas, los ríos, bosques y pastos de Somiedo, Teverga, Grado, Belmonte de Miranda, Yernes y Tameza y más. Una ruta a vista de águila.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/camin-real-de-la-mesa
Camín de Careses,Siero,43.41172114125963, -5.618510025837598,"['Distancia:15,1kms', 'Dificultad:Baja', 'Código:PR216', 'Altitud:425 m.', 'Desnivel:415 m.', 'A pie:3 h. 45 min.', 'Punto de partida:Careses', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Circular', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Siero esconde un secreto: Samartino, Careses y el Picu Fario, una zona rural al lado de la ciudad donde los prados de siega y pasto se alternan con manchas de bosque, y donde la separación entre las fincas aún la hacen los matorrales, cargados de cobijo, alimentos y vida para muchas especies animales.Los alimoches sobrevuelan la vega en busca de carroñas por encima de cuevas, túneles de un antiguo tren y trincheras de la guerra civil, en un paisaje bucólico.Garduñas, corzos, zorros y lechuzas son habitantes habituales de esta zona de la ""campiña asturiana"". Sus fuentes y abrevaderos guardan aún diferentes especies de anfibios, entre ellos varias clases de tritones.Un paseo para conocer la parte más rural de esta ruta, un lugar desconocido en el centro de Asturias, a pie o en bicicleta (en casi su totalidad).  Quien quiera más puede hacer el PR completo desde La Pola Siero.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/camin-de-careses
Capillas del Monsacro,Morcín,43.26504914283916, -5.884043513243037,"['Distancia:5,3kms', 'Dificultad:Baja', 'Altitud:937 m.', 'Desnivel:519 m.', 'A pie:2 h. 30 min.Ida y vuelta', 'Punto de partida:La Collá', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Ida y vuelta', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Paisaje y más paisaje es lo que nos ofrece la subida a las capillas del Monsacro desde Morcín.Dejando atrás La Collá, comenzamos a subir entre enormes castaños y nos sumergimos durante unos cientos de metros en este paisaje forestal que poco a poco va cambiando hacia otro un poco más abierto de matorral alto y de aquí a un monte bajo.El ascenso es continuo y a cada paso el horizonte se va abriendo, el panorama se amplía y con él el paisaje sonoro, en el que se mezclan lo rural y lo urbano. Cada vez vemos más: Oviedo, Siero, Gijón, el Sueve, los Picos de Europa…, cada vez más allá y, de repente, dejamos de subir y retrocedemos varios siglos en el tiempo.La presencia de las capillas nos lleva a la época en la que aquí se guardaban las reliquias de la Cámara Santa; a un lugar en el que los buitres, las chovas y los mirlos son los únicos que se atreven a perturbar la paz y el sosiego.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/capillas-del-monsacro
Cascada Xurbeo,Aller,43.13019298663939, -5.672208612749952,"['Distancia:1,3kms', 'Dificultad:Baja', 'Código:PR295', 'Altitud:605 m.', 'Desnivel:46 m.', 'A pie:1 h. 15min.Ida y vuelta', 'Punto de partida:Murias', 'Tipo de ruta:Senderismo', 'Tipo de recorrido:Ida y vuelta', 'Trazado de la ruta:Descargar kml,Descargar gpx']","Apenas un kilómetro separa el pueblo de Murias (en el concejo de Aller) de una de las cascadas más bonitas de Asturias, recogida en un pequeño rincón en la ladera del valle excavado por el río Negro. Un espeso manto verde, de denso arbolado, cubre todas las laderas de las montañas que flanquean el valle, roto sólo por algunos prados y la presencia del pueblo de Murias, con sus huertos familiares y sus casas ordenadas una sobre otra en la ladera de la montaña.La ruta es, en realidad, una galería formada por árboles, castaños y robles en su mayoría, además del bosque de ribera, que es otra galería sobre el río. En el suelo, en el sotobosque, destaca la arandanera negra, importantísima fuente de alimento para gran cantidad de especies de aves. Algunos escalones nos ayudan en las subidas y bajadas.Al final, como metida en una hornacina, aparece la cascada, abierta, blanca, destacando sobre la piedra oscura, con pequeños saltos laterales que la ensanchan y embellecen. Otra ruta imprescindible.",Ruta,https://www.turismoasturias.es/descubre/naturaleza/rutas/senderismo/cascada-xurbeo
