Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Castropol,Oscos-Eo,43.5247676,-7.0277708,"['Dirección:Plaza del Ayuntamiento. 33760, Castropol', 'Teléfono:985 635 001 / 684 602 408', 'Correo electrónico:oficinadeturismo@castropol.es|turismocastropol@gmail.com', 'Sitio Web:https://www.castropol.es', 'Callejero:DescargarCallejero']","Castropol se baña en la Ría del Eo, una Reserva Natural que le da a este concejo costero aires al mismo tiempo fluviales y marinos. La ría es el marco perfecto para tranquilos paseos en barco donde se observan las especies de flora y fauna y la apacible vida de una ría en la que hay un poco de todo: cultivo de ostras, cuyas vistosas bateas en plena ría son visitables por los turistas, pesca, paseos en canoa o piragua, wind-surf, paddle-surf, vela, avistamiento de aves y un largo etcétera… en definitiva un oasis de tranquilidad y ocio inigualable, que tiene también como testigo al puerto de As Figueiras, un sitio acogedor con puerto deportivo y astillero, así como excelente cocina marinera. Otra de las bellezas naturales del concejo es su parte alta, destacando elValle de Obanzay laCascada de Cioyo.La capital del concejo, la Villa de Castropol posee asimismo un casco histórico de interés cultural en el que se pueden contemplar señeros ejemplos de casas-palacio y arquitectura indiana. Un lugar que en los días del Corpus se viste dearte floral en forma de alfombra, dando pie a una de las celebraciones más originales y espectaculares de Asturias.Población: 3.713 habitantesSuperficie: 125,77 km2Mercado semanal: Miércoles",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/castropol
San Martín de Oscos,Oscos-Eo,43.2650908,-6.9616133,"['Dirección:Plaza de las Infantas. 33777, Samartín', 'Teléfono:664 113 815 / 985 626 000 / 985 626 046', 'Correo electrónico:turismo@sanmartindeoscos.es|sanmartindeoscos@yahoo.es', 'Sitio Web:https://www.oscoseoturismo.com']","El tiempo transcurre lentamente, como detenido, en un entorno ideal para el relax total, para la vida contemplativa que se desgrana contemplando la envergadura y el impresionante escudo nobiliario delPalacio de Mon, o haciendo la ruta en torno a este paraje, o disfrutando con la llegada a la capital del municipio, Samartín, que deleita al foráneo con su hospitalidad, con su gastronomía, o con la visita a la iglesia parroquial o a la casa de los Guzmanes…Si en Asturias hubiera que buscar o imaginar a los guardianes del tiempo, de la memoria, de las costumbres y la vida de los pueblos, sin duda uno de los más poderosos estaría enLos Oscos, una comarca que parece diseñada para la ciencia etnográfica y que puede colmar las expectativas de los viajeros e investigadores que quieren viajar al pasado… Una metáfora perfecta de este tiempo detenido es laCasa del Marco, en Villarquille, una muestra de la vida de los campesinos del occidente más recóndito y auténtico hasta bien entrado el siglo XX.Por sus ríos y arroyos, sus fuentes, sus dulces valles, el color de sus bosques en otoño, y sus asequibles montañas, los Oscos y San Martín de Oscos en particular es un lugar más que idóneo para el senderismo.Población: 466 habitantesSuperficie: 66,56 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/san-martin-de-oscos
San Tirso de Abres,Oscos-Eo,43.4100173,-7.1413822,"['Dirección:Avda. de Galicia. 33774, O Chao', 'Teléfono:985 634 402 / 985 634 905', 'Correo electrónico:santirsotur2@hotmail.com|centropescaeo@hotmail.com', 'Sitio Web:https://www.santirsodeabres.es/turismo']","Pueblo Ejemplar de Asturias 2011, ribereño del Eo y etapa en el Primitivo Camino de Santiago. El paisaje natural y la morfología de San Tirso de Abres están marcados por elrío Eo, que les da forma y belleza, convirtiéndolos en frondosos bosques de galería y dando forma a un espléndido valle fluvial con sus vegas fértiles y el discurrir del anhelado Eo. Río afamado por las capturas de salmones, de truchas y reos con sus aguas cristalinas sobre fondos pizarrosos donde suenan los cantos al rodar y las ranas al croar, ésos que se pueden ver desde el antiguo refugio de pescadores de Xesteira, al que se accede por un puente colgante…El Eo transcurre modelando el paisaje de este enclave ribereño que recibe el sobrenombre de ""la perla del Eo"", quedando accesible en el paseo fluvial de O Chao y su área recreativa, lugares simbólicos de la apacible vida de este pueblo siempre acogedor que ofrece al visitante un recuperado y bien conservado patrimonio histórico- artístico visible en las capillas de San Juan, San Isidro y Santa Apolonia y en laIglesia de San Salvador.San Tirso de Abres ha visto y vivido a lo largo de los siglos el paso de peregrinos hacia Santiago de Compostela y el transcurrir del tren minero que transportaba limonita de hierro hacia destinos europeos en la pasada centuria, hoy se convierten en rutas para disfrutar.Población: 522 habitantesSuperficie: 31,41 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/san-tirso-de-abres
Santa Eulalia de Oscos,Oscos-Eo,43.2583998,-7.0182598,"['Dirección:Ctra. General. 33776, Santalla', 'Teléfono:985 621 261', 'Correo electrónico:turismosantalla@yahoo.es', 'Sitio Web:https://www.oscoseoturismo.com']","Agua y fuego, tierra húmeda y verde, los elementos de la naturaleza toman forma en Santa Eulalia de Oscos, de una manera prodigiosa y bellísima… Y por supuesto Santalla, la capital de este concejo, es un espacio para disfrutar sin tapujos de la naturaleza y la cultura autóctona, que sus habitantes respiran como un patrimonio para compartir, y del que se sienten orgullosos.Santa Eulalia de Oscos es tierra de precursores, y eso es lo que fue el Marqués de Sargadelos, avanzado de la siderurgia y de la industria de la cerámica, y su personalidad y entorno social queda a la vista en suMuseo Casa Natal. También es tierra de ingenios, sobretodo hidraúlicos, teniendo en cuenta el talento local y la riqueza hidrológica del territorio. Pues bien, estos ingenios se pueden ""palpar"" in situ en elConjunto Etnográfico de Mazonovo, donde el viajero cae en la cuenta de la capacidad de supervivencia e inventiva de las gentes del lugar, las mismas que son verdaderas especialistas en el manejo del telar o en el arte de las navajas, artilugios que componen gracias a su habilidad como ""ferreiros""… y así se cierra el círculo del fuego y el agua… Agua como la de la cascadaSeimeira, que forma parte de una ruta de gran belleza, lo mismo que la del Forcón de los ríos… y ambas nos aportan esa sensación de inmenso manantial de fuego, luz y color que es Santa Eulalia de Oscos, verdadero paraíso del hierro que nos recibe en su capital, Santalla, con una obra escultórica – un clavo de cuatro metros - que simboliza esta devoción al hierro, y a los oficios tradicionales, dado que en la actualidad la cuchillería, el barro, el azabache, el telar y la herrería son actividades que hacen de este concejo un verdadero laboratorio en vivo de la Asturias de antaño.Población: 528 habitantesSuperficie: 47,12 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/santa-eulalia-de-oscos
Taramundi,Oscos-Eo,43.3603936,-7.1083458,"['Dirección:C/ Solleiro, 18. 33775, Taramundi', 'Teléfono:985 646 877', 'Correo electrónico:turismo@taramundi.net', 'Sitio Web:https://www.taramundi.es/oficina-de-turismo', 'Callejero:DescargarCallejero']","Es referencia en el mundo por ser uno de los núcleos pioneros del turismo rural en España. El pueblo de Taramundi, capital del concejo, y su antigua casa rectoral saltaron a la notoriedad mediática en la década de los ochenta del siglo veinte por ser un experimento pionero y piloto de turismo rural en una zona entonces deprimida. Salió tan bien que hoy el municipio es emblema de este tipo de turismo y un modelo de desarrollo sostenible a seguir, en el que el turista disfruta de rutas a pie, en bici, etc., además de tener la posibilidad de degustar cocina tradicional de la tierra o adentrarse en el mundo de la cuchillería y las herrerías, cuya tradición se debe a la abundancia de hierro en la zona y se remonta a la Edad Media.Los ingenios hidráulicos vinculados a la tierra, al agua, al fuego y al hierro están muy bien puestos en valor en elConjunto Etnográfico de Os Teixóis, y paralelamente ese mundo del pasado lleva aparejado un universo de oficios tradicionales que aún hoy perviven como es el caso de la cuchillería - que es una de las marcas de Taramundi en el mundo -, que puede observarse en la CasaMuseo de la Cuchillería Tradicionalde Taramundi - donde está la navaja más grande del mundo -, o verse en vivo en algún taller. El museo del Telar también en Taramundi, elMuseo Etnográfico de Esquíos, o elMuseo de los Molinos de Mazonovoson equipamientos que también nos transportan a ese mundo de oficios y artesanía tan característico y con tanto arraigo en esta parte de la geografía asturiana.Población: 739 habitantesSuperficie: 82,16 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/taramundi
Vegadeo,Oscos-Eo,43.4646918,-7.0485041,"['Dirección:Plaza del Ayuntamiento. 33770, A Veiga/Vegadeo', 'Teléfono:985 634 022', 'Correo electrónico:ayuntamiento@vegadeo.es', 'Sitio Web:https://www.vegadeo.es/turismo']","Entre puentes y palacios, ríos y mazos, huertas y caserías,Camino de Santiagoe influjo delrío Eo, así transcurre la vida en Vegadeo, concejo limítrofe con Galicia, que ha sido y es paso de los peregrinos que hacen el camino de Santiago de la costa. El influjo jacobeo deja su huella en este territorio y como muestra está la Cruz de Paramios, en Monticelo, el típico crucero a pie de camino que servía a los peregrinos para hacer una parada y rezar. Como consecuencia de los distintos caudales que desembocan en el Eo, Vegadeo es un terreno donde existe una arraigada cultura del agua y los ingenios hidráulicos, por ello una de las visitas más recomendables es la delmazo de Meredoo Suarón, que además cuenta con área recreativa.Vegadeo cuenta asimismo con un importante patrimonio arquitectónico civil donde destacan algunos conjuntos palaciegos y casas nobles, como la Casa de los Lastra en Vixande, y tal es así que existe toda unaRuta de los Palacios, al igual que hay otra llamadaSenda de los doce puentes, que ofrece una caminata por los distintos puentes y lugares circundantes entorno a los ríos Monjardín y Suarón. El hecho de ser fronterizo convirtió a este territorio en zona de estraperlistas, y esa realidad es la que se rememora en laRuta del Estraperlo, sin olvidar su condición de ribera fluvial, lo que se percibe con nitidez en laSenda de la Ría del Eo. La capital, A Veiga/Vegadeo, es una animada localidad con abundante actividad comercial y ferial.Población: 4.131 habitantesSuperficie: 82,75 km2Mercado semanal: Sábados",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/vegadeo
Villanueva de Oscos,Oscos-Eo,43.3113918,-6.9864039,"['Dirección:Plaza del Ayuntamiento. 33777, Vilanova', 'Teléfono:985 626 084 / 985 626 124', 'Correo electrónico:ayuntamiento@villanuevadeoscos.es', 'Sitio Web:https://www.oscoseoturismo.com']","Como sus dos compañeros de comarca, el municipio de Villanueva de Oscos se antoja al viajero como un verdadero remanso de paz para disfrutar de una naturaleza amable y profundamente apacible que invita a caminar, a pie, en bici, y desde luego siempre de una forma respetuosa con el medio. Tanto es así que el concejo tiene puestas en valor numerosas rutas de senderismo ygeocaching, además de ofrecer una red de servicios turísticos donde se puede disfrutar con la atmósfera típica del occidente de Asturias y con las esencias de su cocina tradicional.Base de esta cocina es la fabricación casera y ecológica del pan, una experiencia que conoceremos al visitar elEcomuseo del Pan, en Santa Eufemia, no solo por las explicaciones del guía sino porque tal vez podamos participar en algún taller de fabricación del mismo. En toda la zona podremos fotografiar la arquitectura típica de la zona, ésa que el arquitecto Félix Gordillo bautizo comoarquitectura desnuda, y que basa su identidad en la piedra, la pizarra negra, la madera y el cristal, y hablando de arquitectura no podemos marchar de Villanueva sin acercarnos alConjunto Monástico de Santa María, ubicado en la tranquila capital del municipio, Vilanova.Además, como otros territorios del occidente asturiano, Villanueva de Oscos fue reserva aurífera del Imperio romano, y conserva la huella de aquellas explotaciones mineras de oro, así como de otras de hierro, cobre, plomo y zinc.Población: 404 habitantesSuperficie: 72,98 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/villanueva-de-oscos
Boal,Parque Histórico del Navia,43.4289894,-6.8196922,"['Dirección:Ctra. AS-12, junto a la Casa de la Apicultura. 33720, El Mazo, Boal/Bual', 'Teléfono:985 620 629 / 985 620 003 / 985 620 249', 'Correo electrónico:casadelaapicultura@boal.es|emigracion@boal.es|info@boal.es', 'Sitio Web:https://www.boal.es/turismo', 'Callejero:DescargarCallejero']","ElNaviay su cuenca marcan su vida y su orografía. De rica prehistoria y singular historia, Boal presenta en las cuatro estaciones del año diferentes aspectos y espectaculares paisajes como los de las Sierras de Penouta y la Bobia, tan vinculadas a la cultura tumular y dolménica, que constituye junto con castros como el dePendiauna de las señas de identidad no sólo de este concejo sino de todo el Parque Histórico del Navia. Otra de sus innegables señas de identidad es el mundo de laapicultura, que adquiere su máxima expresión con la celebración de la feria de la miel, habitualmente a finales del mes de octubre.Espectacular es también el Navia embalsado a la altura de la presa deDoiras, como lo son sus posibilidades de ocio y turismo activo en cuanto a la práctica de deportes y aventuras fluviales. Un territorio de historias y leyendas, con lugares llenos de magia como la Cova del Demo, o con villas como la capital del concejo, Boal/Bual, donde la arquitectura indiana es uno de sus grandes baluartes patrimoniales, puestos en valor a través delCentro de Interpretación de la Emigraciónen el pueblo de San Llouguís. Tierra de ""ferreiros"" y ""claveros"", elCentro de Interpretación de la Artesanía del Hierro, en Rozadas, nos muestra también estos oficios.Población: 1.814 habitantesSuperficie: 120,28 km2Mercado semanal: Lunes",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/boal
Coaña,Parque Histórico del Navia,43.5167037,-6.7466776,"['Dirección:Plaza del Ayuntamiento. 33795, Cuaña', 'Teléfono:679 810 007', 'Correo electrónico:areadeturismo@hotmail.com', 'Sitio Web:https://ayuntamientodecoana.com']","Si algún territorio en Asturias simboliza y resume el significado de la cultura castreña, ése es Coaña. Su afamado castro está enclavado en un lugar de espectaculares vistas y entorno de gran belleza y es un exponente fidedigno de esta cultura. Además suAula didácticaes el complemento ideal para una toma de contacto más profunda con el mundo castreño y su estilo de vida. Si bien el de Cuaña es el más popular, otros como el deMouguías/Mohíasson también lugares clave para entender una cultura que proliferó de manera específica en el occidente asturiano.Pero Coaña no es sólo castros. Ahí está un puerto tan emblemático como Ortigueira, y un faro como el de San Agustín, que se ‘come' con su mirada ávida la inmensidad del océano, ese mar que transcurre en paralelo alCamino de Santiago de la Costa, el primigenio, que tiene en Coaña uno de sus tramos carismáticos e inolvidables.Coaña, marcada por los castros, por elrío Navía, por las playas deArnellesyTorbasy los privilegiados miradores del ‘Pico de Jarrio' y ‘Bustabernego', y por tantas experiencias y recuerdos imborrables.Población: 3.462 habitantesSuperficie: 65,8 km2",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/coana
El Franco,Parque Histórico del Navia,43.5512766,-6.8291853,"['Dirección:C/ As Quintas. Aula Etnográfica A Bodega As Quintas. 33750, A Caridá', 'Teléfono:985 637 233 / 985 478 601', 'Correo electrónico:turismo@elfranco.es', 'Sitio Web:https://www.elfranco.es', 'Callejero:DescargarCallejero']","Mira al mar y vive el mar, de ahí que uno de sus enclaves más históricos, la villa y puerto de El Porto/Viavélez conserve todo el sabor marinero de los viejos puertos del Cantábrico. Pasear por las calles de El Porto/Viavélez es un continuo descubrimiento que nos conduce al placer supremo: la contemplación de la infinidad océana desde atalayas privilegiadas. El Porto/Viavélez destila romanticismo como su Hija Predilecta, gran maestra universal de la novela romántica, Corin Tellado.Y ese romanticismo se extiende por todo el municipio, un territorio donde lasenda costera, el Camino de Santiago, elMuseo de la Forja, o las calles y arquitectura de su capital, A Caridá, completan un cuadro de emociones, sentimientos y experiencias únicos en este ‘trozo' de litoral del occidente asturiano, salpicado de playas sorprendentes.Población: 3.946 habitantesSuperficie: 78,04 km2Mercado semanal: Martes",Pueblo,https://www.turismoasturias.es/descubre/donde-ir/municipios/el-franco
