name,lat,lon
Allande,43.2372182,-6.688504
Aller,52.5817974,10.2336748
Arriondas,43.3892173,-5.1848708
Aviles,43.5554436,-5.9222466
Belmonte de Miranda,43.27306,-6.2613944
Bimenes,43.3254793,-5.5676797
Boal,43.4102403,-6.8351539
Cabrales,43.2678898,-4.8266084
Candamo,43.4556841,-6.0566603
Candás,43.5900556,-5.7641846
Cangas de Onis,43.3136138,-5.0658503
Cangas del Narcea,43.1774374,-6.5499784
Castropol,43.5276581,-7.0300508
Coaña,43.5126258,-6.7610106
Colunga,43.4851194,-5.2706728
Cudillero,43.5433575,-6.1936313
El Franco,43.5092428,-6.8339455
Gijon,43.5449422,-5.66275
Grado Asturias,43.3888553,-6.069462
Grandas de Salime,43.2176587,-6.8757234
Langreo,43.2950131,-5.683431
Lastres,42.7404422,-7.2953002
Laviana,43.2322032,-5.5473475
Llanera,43.4545737,-5.8506426
Llanes,43.4211205,-4.7530835
Luanco,43.6155907,-5.7937263
Luarca,43.5439003,-6.5357408
Lugones,43.404341,-5.8120701
Mieres,43.2349957,-5.769932
Muros de Nalon,43.5430891,-6.1110363
Nava Asturias,43.3582544,-5.5057607
Navia,43.5391112,-6.7233704
Noreña,43.3940202,-5.7067183
Oviedo,43.3618625,-5.8483581
Pilona,54.1080126,19.524829
Pola de Lena,43.1615692,-5.8281354
Pravia,43.4895855,-6.1139029
Puerto de Vega,43.564007,-6.6475329
Ribadesella,43.4617962,-5.0588575
Salas,43.5235412,-0.7136478
Salinas Asturias,43.5704918,-5.9565128
Siero,43.3952982,-5.6357024
Somiedo,43.1028012,-6.2514557
Soto del Barco,43.5263201,-6.0521143
Tapia,43.5692581,-6.9436488
Taramundi,43.3605685,-7.1088221
Tineo,43.333974,-6.4165462
Vegadeo,43.4153116,-6.9991066
Villaviciosa,43.4813776,-5.4344978
