Nombre,Localización,Latitud,Longitud,Dirección,Teléfono,Precio,Horario,Tipos_cocina,Valoración,Votos,Características,Descripción,url,url_web,url_ig
Sidrería Narcea, Cangas del Narcea,43.1781453,-6.5515103,"C. Dos Amigos, Cangas del Narcea, Principado de Asturias, España",+34985810038,"['21', '32']","['11:00-00:00', 'Cerrado', 'Cerrado', '11:00-00:00', '11:00-00:00', '11:00-00:00', '11:00-00:00']","['Española', 'Opciones vegetarianas']",90,5048,"['Asientos al aire libre', 'Para llevar', 'Tarjetas de crédito aceptadas', 'Wifi', 'Reserva', 'No hay entrega', 'Accesible para sillas de ruedas', 'TV']","Visita Puente Colgante Cangas del Narcea y acércate por este restaurante. Explora aquí el universo de la cocina española. Sidrería Narcea te garantiza una casera ensalada de tomate de la huerta, un generoso buey y unas perfectamente elaboradas croquetas de jamón. Prueba su singular tarta de chocolate, su delicado pastel de frutas y su atrayente tarta de queso con arándanos. En este lugar, sus visitantes pueden pedir una espectacular sidra, un insuperable cordial o un extraordinario vino de la casa. De acuerdo con las opiniones de los usuarios, el café cortado es sensacional. Vas a llevarte un buen recuerdo de este lugar, puesto que es bien conocido por su gran servicio y su amable personal, siempre dispuesto a ayudar. Pagarás unos precios adecuados cuando comas en este restaurante. Sin duda vas a disfrutar de su exótica atmósfera y su interesante decoración. Sidrería Narcea ha logrado en Google un 4,7 de acuerdo con las opiniones de sus clientes.",https://es.restaurantguru.com/Sidreria-Narcea-Cangas-del-Narcea,X,https://www.instagram.com/sidrerianarcea/?hl=es
Restaurante Casa del Río, Cangas del Narcea,43.178093,-6.5507762,"C. Mayor, 38, Cangas del Narcea, Principado de Asturias, España",+34985812356,"['10', '24']","['Cerrado', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '11:00-17:00']","['Grill', 'Española', 'Opciones vegetarianas']",90,1591,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Reserva', 'TV', 'Accesible para sillas de ruedas', 'No hay entrega', 'Para llevar']","Primero, disfruta de Puente Colgante Cangas del Narcea y, después, come algo en Restaurante Casa del Río. Su cocina española ofrece en este bar unas comidas sabrosas. Si todavía no has probado el tierno pulpo a la parrilla, el sorprendente chuletón o el generoso jamón de Restaurante Casa del Río, entonces no has disfrutado aún de la vida. Probar su bien preparado pastel de frutas, su delicada tarta de queso y sus sabrosos helados son aquí una experiencia estupenda. Es fácil encontrar este lugar gracias a su gran ubicación. Algunos de sus invitados recomiendan probar el insuperable vino de este lugar. Aquí puedes beber un delicioso chocolate caliente, un magnífico café cortado o una extraordinaria tónica. Su abnegado personal demuestra un alto nivel de calidad en este bar. La mayoría de clientes han reparado en el hecho de que el servicio es sofisticado. Restaurante Casa del Río te sirve manjares a unos precios interesantes. Sin duda vas a agradecer su tranquilo ambiente y su espectacular decoración. Este lugar ha sido galardonado con un 4,5 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/Restaurante-Casa-Del-Rio-Cangas-del-Narcea,https://restaurantecasadelrio.es,X
Bar Blanco Restaurante, Cangas del Narcea,43.1765432,-6.5499204,"C. Mayor, 11, Cangas del Narcea, Principado de Asturias, España",+34985810316,"['10', '24']","['Cerrado', '10:30-16:00/19:00-01:30', '10:30-16:00/19:00-01:30', '10:30-16:00/19:00-01:30', '10:30-16:00/19:00-02:30', '10:30-16:00/19:00-02:30', '10:30-16:00']","['Española', 'Opciones vegetarianas']",88,1513,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'No es para llevar', 'Reserva', 'Accesible para sillas de ruedas', 'TV']","Para un turista, tanto este restaurante como Puente Colgante Cangas del Narcea pueden ser igual de atrayentes. Descubre nuevos sabores de la cocina española cómodamente en Bar Blanco Restaurante. Servir unos tiernos salmorejo, un sabroso jamón y unas atrayentes croquetas de jamón es la principal característica de este lugar. Prueba sus generosos helados, sus delicados brownies y su casera crema de chocolate. La carta de vinos es muy variada, para que todos los visitantes puedan encontrar alguno que satisfaga su gusto. En este lugar tendrás la oportunidad probar una deliciosa tónica, un insuperable café cortado o una magnífica limonada. Comprueba por ti mismo lo cordiales que son sus camareros y camareras. Vas a disfrutar con su abnegado servicio. Pagarás unos precios bajos cuando comas en este restaurante. No hay duda de que vas a disfrutar de su distendido ambiente y su sofisticada decoración. Bar Blanco Restaurante tiene en Google una nota de 4,5 según sus usuarios.",https://es.restaurantguru.com/Bar-Blanco-Cangas-del-Narcea,https://barblancorestaurante.es,https://www.instagram.com/barblancorest/?hl=es
Restaurante Leitariegos, Cangas del Narcea,42.99868389,-6.41844034,"Puerto de Leitariegos, s/n, Cangas del Narcea, Principado de Asturias, España, 33818",+34985056201,"['19', '29']","['12:30-22:00', '12:30-22:00', 'Cerrado', '12:30-22:00', '12:30-22:00', '12:00-01:00', '12:00-01:00']","['Española', 'Opciones vegetarianas']",86,507,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Estacionamiento', 'Reserva', 'TV', 'Accesible para sillas de ruedas']","RESTAURANTE LEITERIEGOS, en un sitio privilegiado, el pueblo mas alto de Asturias, PUERTO DE LEITARIEGOS (#techodelparaíso). Cuenta con unas instalaciones únicas que te permiten disfrutar de unas vistas de postal, mientras disfrutas de una comida tradicional, con los mejores productos de la tierra, elaborada y servida por un equipo de jóvenes emprendedores",https://es.restaurantguru.com/Restaurante-Leitariegos-Cangas-del-Narcea,https://restauranteleitariegos.com,https://www.instagram.com/restaurante_leitariegos/?hl=es
Parador de Corias, Cangas del Narcea,43.1954839,-6.5434622,"s/n, Monasterio de San Juan Bautista, Cangas del Narcea, Principado de Asturias, España",+34985070000,"['41', '69']","['13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00', '13:30-16:00/20:30-23:00']","['Opciones vegetarianas', 'Española', 'Saludable']",86,3020,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Wifi', 'Estacionamiento', 'Reserva', 'Accesible para sillas de ruedas']","Pásate por aquí si eres un amante de las cocinas mediterránea y española. Tráete a tus compañeros y tomad su casero laing, su atrayente entrecot y su bien trabajado entrecote. Según las opiniones de los usuarios, los camareros te ofrecen aquí una singular tarta de queso, un sabroso pastel de frutas y unos bien preparados helados. La gente normalmente visita Parador de Corias para probar su estupendo vino, su delicioso vino blanco o su sorprendente cerveza. Aquí puedes pedir un sensacional café cortado. Puedes venir con niños, ya que este lugar les ofrece un menú infantil muy amplio. Su genial personal demuestra un alto nivel de calidad en este lugar. Muchos visitantes destacan que el servicio es rápido. Te van a gustar sus precios razonables. En Parador de Corias podrás disfrutar de su cuidada decoración y de un agradable ambiente. Este lugar ha sido galardonado con un 4,7 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/Restaurante-Especia-Parador-de-Corias-Corias,https://parador.es,https://www.instagram.com/paradores/?hl=es
Restaurante Casa Parla, 28,43.1770995,-6.5489972,"C. Uría, 28, Cangas del Narcea, Principado de Asturias, España",+34984243376,['10'],"['08:00-22:30', '08:00-22:30', '08:00-22:30', '08:00-00:00', '08:00-00:00', '08:00-00:00', '10:00-18:00']","['Española', 'Mediterránea']",80,282,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Después de ver Santuario de la Virgen del Acebo, puedes comer algo en este restaurante. Restaurante Casa Parla ofrece a sus clientes degustar la cocina española. En este lugar, sus visitantes pueden probar un tierno atún, unos perfectamente elaborados callos y unas atrayentes empanadas. No hay duda de que te van a gustar su sorprendente flan y su casero pastel deComprueba por ti mismo lo estupendo que es su personal. Su sofisticado servicio muestra el alto nivel de calidad de este restaurante. Ven aquí si buscas una encantadora atmósfera. Los usuarios de Google que visitaron Restaurante Casa Parla afirman que la nota más adecuada es 4,4. ",https://es.restaurantguru.com/La-Calzada-Cangas-del-Narcea,https://casaparla.com,X
Restaurante del Río, Principado de Asturias,43.17778,-6.54875,"Calle Mayor, Cangas del Narcea, Principado de Asturias, España, 33800",+34985921429,X,"['10:00-20:00', '10:00-20:00', '10:00-20:00', '10:00-20:00', '09:00-20:00', '09:00-20:00', '09:00-20:00']","['Española', 'Mediterránea', 'Saludable']",78,20,['Reserva'],"Una vez que hayas disfrutado de Santuario de la Virgen del Acebo, visita este restaurante, que no está muy lejos. Sus cocinas mediterránea y española atraen a clientes que buscan algo distinto.",https://es.restaurantguru.com/Del-Rio-Cangas-del-Narcea,X,X
Restaurante Peñagrande, Principado de Asturias,43.1626792,-6.5409633,"Av. Leitariegos, 3, Cangas del Narcea, Principado de Asturias, España, 33818",+34985812066,['10'],"['08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00']",['Española'],78,363,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'No hay entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Se recomienda pedir la cocina española de este restaurante. Te va a encantar su comida, en particular su casero laing. Ven y prueba un magnífico café. Restaurante Peñagrande es muy recomendable por su acogedor personal. Su admirable servicio te hará sentirte especial. Los usuarios de Google le han asignado una nota de 4 a este lugar.",https://es.restaurantguru.com/Restaurante-Penagrande-Cangas-del-Narcea,https://turismodelnarcea.es,X
Suiss, Cangas del Narcea,43.1769,-6.55,"Avda del Acebo n5, Cangas del Narcea, Principado de Asturias, España, 33800",+34985810033,"['12', '36']","['08:00-00:00', '08:00-00:00', '08:00-00:00', '08:00-00:00', '08:00-00:00', '08:00-00:00', '08:00-00:00']","['Asado', 'Española', 'Churrasquería']",76,66,"['Solamente efectivo', 'Sin asientos al aire libre', 'Wifi', 'Reserva', 'Para llevar', 'TV']","Santuario de la Virgen del Acebo es uno de los lugares más impresionantes que suelen visitar los turistas. Su cocina española, bajo la dirección de su gran chef, es aquí estupenda. Tómate un descanso y prueba un perfectamente elaborado laing, una tierna parrillada o un singular cordero. Si tienes hambre, ven aquí a tomar su sorprendente pastel de frutas. EsteSe comenta que aquí el personal es competente. Te va a gustar su cuidado servicio. Pagarás unos precios asequibles por la comida. Suiss, con su hogareño ambiente, puede ser un buen sitio para cenar durante el camino. La nota media de este lugar en Google es de 4,7. ",https://es.restaurantguru.com/Sidreria-Suiss-Cangas-del-Narcea-2,X,X
Hotel Rural Casa Grabelon, Cangas del Narcea,43.17986,-6.55053,"Chess, 37, Cangas del Narcea, Principado de Asturias, España",+34985911370,"['10', '24']",X,"['Española', 'Mediterránea']",76,59,"['Asientos al aire libre', 'Reserva']","Después de visitar Puente Colgante Cangas del Narcea, puedes echarle un vistazo a la carta de Hotel Rural Casa Grabelon. Según las valoraciones de sus comensales, la comida mediterránea y española aquí es muy buena. Muchos visitantes vienen para disfrutar de su sabroso rape, su singular entrecote y sus tiernas croquetas. Prueba el perfectamente elaborado pastel de frutas y la generosa tarta de queso que ofrece este lugar. Por si todo esto fuera poco, su personal es competente. Te va a encantar su sorprendente servicio. El lema de este lugar es ""precios interesantes por comidas estupendas"".",https://es.restaurantguru.com/Hotel-Rural-Casa-Grabelon-Fuentes-Del-Narcea-Cangas-del-Narcea,X,X
