Nombre,Localización,Latitud,Longitud,Características,Descripción,Tipo_lugar_turistico,url
Abrigo de Santo Adriano,Santo Adriano,43.29858,-5.987977,"['Dirección:33115 - Tuñón', 'Teléfono:985 76 14 03 / 691 504 045', 'Correo electrónico:info@laponte.org', 'Sitio Web:https://laponte.org/']","Este abrigo alberga un importante conjunto de grabados del Paleolítico Superior compuesto por figuras zoomorfas (principalmente bisontes, ciervas y cabras) que en total suman unas 30 figuras distribuidas en las paredes este y oeste. También contiene algunos signos aspados. Santo Adriano pertenece a un conjunto de lugares con arte parietal denominados ""santuarios exteriores"" por su ubicación en los vestíbulos de las cuevas o en abrigos donde llega la luz solar. Se atribuyen cronológicamente a la etapa artística denominada ""Horizonte II"" del Nalón Medio, que se corresponde con los períodos Gravetiense e inicios del Solutrense. Aunque otros autores abogan por una mayor antigüedad de estas manifestaciones llevándolas hasta los inicios del Paleolítico superior, en el periodo Auriñaciense.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-abrigo-de-santo-adriano
Abrigos de Fresnedo,Teverga,43.123477,-6.054853,['Dirección:33111 - Fresnéu'],"Es la de Fresnedo la estación rupestre esquemática más compleja y rica en representaciones de Asturias y, al igual que Peña Tú y la Doma del Demo (Boal), uno de los mejores testimonios del esquematismo prehistórico en el Norte de la Península. En los tres lugares se eligieron emplazamientos altos y dominantes, de modo que la propia topografía del terreno denuncia la importancia del mensaje gráfico que se comunicaba a través de un arte tan sucinto y discreto en sus proporciones. Descubiertas las pinturas en 1968 son visibles en la actualidad detrás de los cierres protectores de malla metálica instalados hace algunos años por la Universidad de Oviedo. Sobre el desfiladero de La Estrechura, consiste la estación prehistórica en cinco covachas, más o menos desarrolladas pero expuestas todas a la luz solar, abiertas sobre el desfiladero entre los 650 y 850 metros sobre el nivel del mar, conteniendo diferentes representaciones pictóricas (superan ampliamente el medio centenar las figuras identificadas) del llamado ''arte esquemático'' y atribuíbles a la Edad del Bronce. Son frecuentes las representaciones, muy sumarias (unos trazos pareados que aluden a las patas o los cuernos unidos a otro largo correspondiente al tronco del animal) de cabras. Sucede así en los abrigos de La Collantoria, la Cuesta`l Pasu y abrigo de Ganau, enumerados de abajo a arriba según se asciende en el recorrido de la estación, casi siempre pintadas en rojo. También se repite la figura humana, que en ocasiones se expresa a través de motivos lineales muy sumarios.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-abrigos-de-fresnedo
Cueva de Covaciella,Cabrales,43.318232,-4.875262,"['Dirección:Alto de las Estazadas 33555 - Puertas', 'Sitio Web:https://artepaleoliticoenasturias.com/investigacion-y-paraiso-rupestre/la-covaciella']","La Covaciella fue descubierta fortuitamente en 1994. Posee pinturas de bisontes, caballos, ciervos. . . del periodo magdaleniense, más de 14.000 años. Las representaciones de la cueva son valoradas por la calidad de las mismas y su disposición, además de encontrarse en un gran estado de conservación. Estas pinturas están excepcionalmente conservadas, gracias en gran parte a que la cueva ha estado durante miles de años sellada. La Covaciella está en el desfiladero de Las Estazadas y tiene una galería de unos 40 metros de longitud que se abre a una gran sala, dividida en dos por los bloques vertidos antes de su descubrimiento; la parte oeste de la sala mide 11 x 13 metros y la este 25 x 15. El desarrollo total de la cueva, de este a oeste, ascendente, es de 80 metros; su entrada original es un pequeño orificio al noreste de la gran sala, y desde que fue cegado naturalmente hasta que se abrió a consecuencia de las obras, no hubo intromisión humana alguna en su interior. La cueva no se puede visitar, pero en Carreña, Cabrales podemos visitar el aula de interpretación de la cueva de Covaciella en ""La Casa Bárcena"".",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-covaciella
Cueva de El Buxu,Cangas de Onís,43.35773,-5.099614,"['Dirección:33589 - Cardes', 'Teléfono:608 175 467']","La Cueva de El Buxu se encuentra situada en las proximidades del pueblo de Cardes. Fue descubierta en 1916 y estudiada poco después por el conde de la Vega del Sella y H. Obermaier, que se ocuparon, sobre todo, de su arte parietal. Su estratigrafía alberga importantes niveles solutrenses con industria lítica y ósea, acompañada de diversas manifestaciones del arte mueble, entre las que destaca la rara escultura de un ave tallada sobre el colmillo de un oso de las cavernas y una plaqueta de piedra caliza grabada con diferentes motivos (animales, signos y antropomorfos). En la cueva se combinan las pinturas y grabados de caballos, cabras, ciervos, bisonte. . . , con figuras geométricas y zoomórficas. El arte parietal de la cueva de El Buxu contiene también representaciones variadas realizadas en diversas técnicas, grabados y pinturas, y con un amplio repertorio, figuras geométricas y zoomórficas. Según recientes excavaciones, durante alguna de sus ocupaciones solutrenses se ha podido precisar que El Buxu funcionó como un asentamiento estacional de verano y otoño para la caza de ciervos, rebecos y cabras. Acceso:A 5 Km de Cangas de Onís dirección a Panes, por la AS-114, tomamos un desvío a la izquierda que nos lleva al pueblo de Cardes donde se toma un sendera de 1 Km que será el que nos conduce a la Cueva.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-el-buxu
Cueva de El Pindal,Ribadedeva,43.397267,-4.532719,"['Dirección:33590 - Pimiango', 'Teléfono:608 175 284 (miércoles a domingo: 15:00 a 17:00 h)']","La Cueva de El Pindal está localizada en la desembocadura del Río Cares, Deva, en el extremo oriental de Asturias, en un sector de la rasa costera conocido como Cabo San Emeterio. Cuenta con una única entrada sobre el mar, dominando la línea de costa, y una galería longitudinal de unos 600 metros de la que sólo se visitan los primeros 300. Distribuido en cinco zonas, el conjunto magdaleniense alberga representaciones zoomorfas como cérvidos, caballos, bisontes, y destacan un pez y un mamut. El Pindal sería realizado en distintos momentos magdalenienses, y probablemente más antiguos, a lo largo de un tiempo amplio entre hace 18.000 y 13.000 años. Acceso:Desde la N-634, desviarse en la travesía de El Peral por la RD-1 en dirección a Pimiango. Una vez allí, bajar hacia la Ermita de San Emeterio.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-el-pindal
Cueva de La Lluera,Oviedo,43.334687,-5.933297,"['Dirección:Priorio 33174 - Les Caldes', 'Teléfono:674 800 385', 'Sitio Web:https://artepaleoliticoenasturias.com/cuevas-visitables/la-cuenca-del-nalon/la-lluera']","Su extraordinaria importancia se debe tanto a la escasez de este tipo de santuarios, -la mayoría son interiores-, como al magnífico conjunto de grabados que guardan las dos oquedades. Estas cuevas fueron descubiertas en 1979. En la primera de ellas el contenido principal son grabados que representan en su mayoría animales. Podemos descubrir en sus muros caballos, uros, ciervos y bisontes entre otros. A pocos metros de distancia se encuentra otra pequeña cueva cuyos muros acogen figuras geométricas realizadas con la misma técnica que en la anterior. Estas cuevas podrían haber actuado como santuarios exteriores complementarios, resultando de la suma de los contenidos artísticos de ambos, figurativismo en la primera y abstracción en la segunda, el modelo iconográfico característico de las fases de madurez del arte rupestre paleolítico.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-la-lluera
Cueva de La Peña o de Candamo,Candamo,43.4562,-6.07266,"['Dirección:33828 - San Román', 'Teléfono:985 828 056 (lunes a viernes: 09:00 a 14:00 h.) / 985 829 702 (sábados, domingos y festivos (09:00 a 10:00 h.)', 'Correo electrónico:casacultura@candamo.es']","La Cueva de La Peña se encuentra en San Román (Candamo), en el curso bajo del Río Nalón, próxima a su desembocadura y se trata de la cavidad con arte paleolítico más occidental de todo el continente europeo. Se abre en la base de un cerro calizo y consta de una pequeña galería que desemboca en una gran sala, completando unos 70 metros de longitud. El espacio artístico (parte del gravetiense y alcanza el final de magdaleniense) se ubica en el Salón de los Grabados, con seis paneles. La cueva y sus pinturas debieron de tener un sentido mágico-ritual, a tenor de las habituales interpretaciones de este tipo de arte. Además, en su interior apenas se encontraron restos ni utensilios propios de haber hecho vida dentro de la cueva. Destacan en él el Muro de los Grabados, por contar con el mayor número de imágenes y la organización más compleja con superposiciones, y el Camarín, una oquedad elevada con representaciones de caballos y bóvidos, dispuestas para ser vistas desde la propia sala, lo que demuestra una clara y atractiva concepción escenográfica. El Centro de Interpretación y Aula Didáctica de la Caverna de Candamo se ubica en el restaurado Palacio de Valdés-Bazán, una magnífica obra civil del siglo XVII, en donde se muestran reproducciones a escala natural de los tesoros de la caverna, junto con un sistema multimedia que desarrolla el arte parietal de la cornisa cantábrica. Está ubicada en la carretera de Grullos a Peñaullán (AS-236), entre los K, 4 y 5, se sitúa San Román, desde donde parte una carretera que lleva hasta el aparcamiento situado cerca de la cueva.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-la-pena-de-candamo
Cueva de Llonín,Peñamellera Alta,43.330556,-4.645278,['Dirección:33578 - Llonín'],"La Cueva de Llonín era conocida tradicionalmente como ""La Concha de la Cova"", y se localiza en el flanco meridional de la Sierra de Cuera, a unos 700 metros del lugar de La Molinuca, por el angosto valle que desde la orilla del río Cares asciende hacia el norte. Los restos extraídos de la cueva suponen la mejor muestra de arte paleolítico de la región y se exponen en el museo Arqueológico de Asturias en Oviedo/Uviéu. En 1957, la cueva fue utilizada para la fermentación de quesos de Cabrales, pero las pinturas no son identificadas como de probable origen prehistórico hasta 1971, cuando un grupo de espeleólogos explora la cavidad. Las manifestaciones artísticas apriétales de la cueva han sido clasificadas en cinco fases que van desde el gravetiense hasta el magdaleniense. Las representaciones animalísticas, grabadas y pintadas, alcanzan la treintena, y destacan por su abundancia los cérvidos, aunque también pueden contemplarse cabras, un bisonte y cuernos de reno.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-llonin
Cueva de Los Azules,Cangas de Onís,43.359864,-5.131429,['Dirección:33550 - Contranquil'],"La cueva de Los Azules se encuentra situada en el barrio de Contraquil, en Cangues d' Onís/Cangas de Onís. Fue descubierta en 1972 y las excavaciones arqueológicas comenzaron al año siguiente. Alberga niveles fértiles magdalenienses, pero si resulta verdaderamente conocida es por sus registros epipaleolíticos, correspondientes a la cultura Aziliense, (milenios X y VIII a. C. ) de la que se ha convertido en yacimiento tipo de todo el área cantábrica. Entre su industria ósea destacan los típicos arpones azilienses. La aparición en la cueva de una sepultura correspondiente a los últimos momentos de ocupación aziliense constituye una prueba de la existencia de un cierto ritual funerario. La recreación del enterramiento de Los Azules puede ser visitada en el Museo Arqueológico de Asturias (Oviedo/Uviéu). La cueva está situada en el barrio de Contranquil,Cangues d' Onís/Cangas de Onís, dentro de una finca privada.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-los-azules
Cueva de Tito Bustillo,Ribadesella,43.4607,-5.06735,"['Dirección:Avda. de Tito Bustillo 33560 - Ribadesella/Ribeseya', 'Teléfono:985 861 255 (centro) / 902 306 600 / 985 185 860 (central de reservas)', 'Correo electrónico:info@centrotitobustillo.com']","En la villa de Ribadesella/Ribeseya se localiza la Cueva de Tito Bustillo. Abierta en el macizo de Ardines, se integra en un complejo kárstico sito junto a la desembocadura del Sella, en el que destacan otras cavidades como La Lloseta o la cueva de Biesca. Descubierta en 1968, se corresponde con una única galería de unos 700 metros de longitud, a la que se abren estancias anexas. Su repertorio se organiza en 11 conjuntos (algunos integran varios paneles), que reúne más de cien representaciones grabadas y pintadas que se corresponden con dos fases, una premagdaleniense (signos en rojo y escasa figuración animal) y otra magdaleniense, con zoomorfos varios y distintas técnicas. En la cueva de Tito Bustillo las representaciones rupestres van variando según las épocas y se superponen entre sí, dependiendo de las preferencias de quienes habitaron la cueva entre el 22.000 y el 10.000 a. de C. Destacan los caballos y renos que gracias al uso de distintos pigmentos y el raspado de contornos, logran una extraordinaria y viva sensación de policromía. Hay que mencionar también la Galería de los Caballos, el Camarín de las Vulvas y la recientemente descubierta Galería de los Antropomorfos. De forma complementaria se puede visitar la contigua Cuevona de Ardines (fue habitada con posterioridad a Tito Bustillo). Cuenta con una amplia sala central y es visitable todo el año. Asimismo, en las inmediaciones se encuentra el Centro de Arte Rupestre de Tito Bustillo, un edificio vanguardista en el que se ofrece una visión del conjunto de la prehistoria asturiana, aportando información y piezas de interés arqueológico, en particular de la propia cueva con singulares recreaciones.",Arte rupestre,https://www.turismoasturias.es/descubre/cultura/arte-rupestre/rupestre-cueva-de-tito-bustillo
